نص السؤال	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2
حين خلق الله آدم , كان سبحانه يعلم أنَّ آدم سيهبط من الجنة ، و ما حصل مع آدم و حواء من تعليم ثم من التعرض لوسوسة الشيطان الذي أغراهما بالأكل من الشجرة كان كلُّه تهيئةً لمهمة عظيمة تتطلب أن يكون لديهما حرية الاختيار و أن ينتبها لعداوة الشيطان و مقاومة نوازع الشهوات . اذكر آية جزء منها يدل على ذلك	2	} وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰۤىِٕكَةِ إِنِّی جَاعِلࣱ فِی ٱلۡأَرۡضِ خَلِیفَةࣰۖ قَالُوۤا۟ أَتَجۡعَلُ فِیهَا مَن یُفۡسِدُ فِیهَا وَیَسۡفِكُ ٱلدِّمَاۤءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّیۤ أَعۡلَمُ مَا لَا تَعۡلَمُونَ }[سُورَةُ البَقَرَةِ: ٣٠ [	30	
الأدلة على صحة دين الله تعالى واضحة شافية كافية لكل طالب حق ، فإذا رفضها أحد ، فهذا دلالة على سوئه و على أن الخروج عن طريق الخير شأنه و دأبه ، و ذلك يهيئه للكفر بمثل هذه الأدلة . و في ذلك رد على من يدعي أن " الملحد المسكين " قد تُعرَضُ عليه أدلة الإسلام فلا يقبلها و يكون مع ذلك معذوراً لم يقتنع بها ! بل إذا رفض أيُّ أحد أدلة الإسلام فهذا لعيب فيه لا لنقصٍ في الأدلة . اذكر آية تدل على ذلك .	2	{ وَلَقَدۡ أَنزَلۡنَاۤ إِلَیۡكَ ءَایَـٰتِۭ بَیِّنَـٰتࣲۖ وَمَا یَكۡفُرُ بِهَاۤ إِلَّا ٱلۡفَـٰسِقُونَ }[سُورَةُ البَقَرَةِ: ٩٩]	99	
تكاليف الإسلام ثقيلة على ضعيف اليقين ، و كلما زاد يقينك بالله و باليوم الآخر سهل عليك القيام بها . اذكر الجواب في آيتين متتاليتين .	2	{ وَٱسۡتَعِینُوا۟ بِٱلصَّبۡرِ وَٱلصَّلَوٰةِۚ وَإِنَّهَا لَكَبِیرَةٌ إِلَّا عَلَى ٱلۡخَـٰشِعِینَ (٤٥) ٱلَّذِینَ یَظُنُّونَ أَنَّهُم مُّلَـٰقُوا۟ رَبِّهِمۡ وَأَنَّهُمۡ إِلَیۡهِ رَ ٰ⁠جِعُونَ (٤٦) }[سُورَةُ البَقَرَةِ: ٤٥-٤٦]	45	46
من عادة الظالمين و المتآمرين على المسلمين أنهم يعملون بعض الأعمال "الخيرية"  لضحايا ظلمهم و تآمرهم! فلا يقال في هذه الحال : ( أحسَنوا في هذا الجانب و إن كانوا أساؤوا في غيره )، بل هم مذمومون بالتسبب في الأذية للناس و لا يُحمَدون على تخفيف آثار اذيتهم بعد ذلك . الجواب في آيتين متتاليتين .	2	{ وَإِذۡ أَخَذۡنَا مِیثَـٰقَكُمۡ لَا تَسۡفِكُونَ دِمَاۤءَكُمۡ وَلَا تُخۡرِجُونَ أَنفُسَكُم مِّن دِیَـٰرِكُمۡ ثُمَّ أَقۡرَرۡتُمۡ وَأَنتُمۡ تَشۡهَدُونَ (٨٤) ثُمَّ أَنتُمۡ هَـٰۤؤُلَاۤءِ تَقۡتُلُونَ أَنفُسَكُمۡ وَتُخۡرِجُونَ فَرِیقࣰا مِّنكُم مِّن دِیَـٰرِهِمۡ تَظَـٰهَرُونَ عَلَیۡهِم بِٱلۡإِثۡمِ وَٱلۡعُدۡوَ ٰ⁠نِ وَإِن یَأۡتُوكُمۡ أُسَـٰرَىٰ تُفَـٰدُوهُمۡ وَهُوَ مُحَرَّمٌ عَلَیۡكُمۡ إِخۡرَاجُهُمۡۚ أَفَتُؤۡمِنُونَ بِبَعۡضِ ٱلۡكِتَـٰبِ وَتَكۡفُرُونَ بِبَعۡضࣲۚ فَمَا جَزَاۤءُ مَن یَفۡعَلُ ذَ ٰ⁠لِكَ مِنكُمۡ إِلَّا خِزۡیࣱ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَاۖ وَیَوۡمَ ٱلۡقِیَـٰمَةِ یُرَدُّونَ إِلَىٰۤ أَشَدِّ ٱلۡعَذَابِۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ (٨٥) }[سُورَةُ البَقَرَةِ: ٨٤-٨٥]	84	85
الله عز و جل يعجّب أمر الفاكهة التي تكون بنفس الشكل و لكن بمذاق مختلف . اذكر آية تدل على هذا المعنى .	2	{وَبَشِّرِ ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ أَنَّ لَهُمۡ جَنَّـٰتࣲ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُۖ كُلَّمَا رُزِقُوا۟ مِنۡهَا مِن ثَمَرَةࣲ رِّزۡقࣰا قَالُوا۟ هَـٰذَا ٱلَّذِی رُزِقۡنَا مِن قَبۡلُۖ وَأُتُوا۟ بِهِۦ مُتَشَـٰبِهࣰاۖ وَلَهُمۡ فِیهَاۤ أَزۡوَ ٰ⁠جࣱ مُّطَهَّرَةࣱۖ وَهُمۡ فِیهَا خَـٰلِدُونَ }[سُورَةُ البَقَرَةِ: ٢٥ [	25	
مغفرة الله لذنب العبد لا يلزم منها محو الآثار الدنيوية لمعصيته .اذكر آية جزء منها يوضح هذا المعنى .	2	} قُلۡنَا ٱهۡبِطُوا۟ مِنۡهَا جَمِیعࣰاۖ فَإِمَّا یَأۡتِیَنَّكُم مِّنِّی هُدࣰى فَمَن تَبِعَ هُدَایَ فَلَا خَوۡفٌ عَلَیۡهِمۡ وَلَا هُمۡ یَحۡزَنُونَ }[سُورَةُ البَقَرَةِ: ٣٨ [	38	
في الحديث أدلة وجود الله تعالى : نذكر دليل إيجاد المخلوقات . قد يقول قائل : أنا أُجِدتُ من الحيوان المنوي لأبي و بويضة أمي ... فنقول : هؤلاء الآباء بدورهم و آباء آبائهم لا بد لهم من خالق ينتهي عنده التسلسل.  يعني يستحيل عقلاً أن تتسلسل الأسباب إلى ما لا بداية . اذكر آية فيها ثلاث كلمات شير إلى هذا المعنى  	2	} یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ }[سُورَةُ البَقَرَةِ: ٢١ [	21	
من عُلوية الخطاب القرآني أنك تجد أن الله تعالى يهدد تهديداً يخلع القلوب ثم يُتبعه بخطاب فيه إيناس و إرشاد و فتح باب التوبة كما قال تعالى :{ لَّقَدۡ كَفَرَ ٱلَّذِینَ قَالُوۤا۟ إِنَّ ٱللَّهَ ثَالِثُ ثَلَـٰثَةࣲۘ وَمَا مِنۡ إِلَـٰهٍ إِلَّاۤ إِلَـٰهࣱ وَ ٰ⁠حِدࣱۚ وَإِن لَّمۡ یَنتَهُوا۟ عَمَّا یَقُولُونَ لَیَمَسَّنَّ ٱلَّذِینَ كَفَرُوا۟ مِنۡهُمۡ عَذَابٌ أَلِیمٌ ● أَفَلَا یَتُوبُونَ إِلَى ٱللَّهِ وَیَسۡتَغۡفِرُونَهُۥۚ وَٱللَّهُ غَفُورࣱ رَّحِیمࣱ }[سُورَةُ المَائـِدَةِ:٧٣، ٧٤]  . اذكر آية فيها إقبال من الله تعالى على عباده بعد تخويف و تقريع .	2	{ یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ }[سُورَةُ البَقَرَةِ: ٢١]	21	
قد يصل المرء مطموس القلب إلى مرحلة أنه لا يدرك سوء عاقبة أفعاله في الأرض و الخلق .	2	{ وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ (١١) أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ (١٢) }[سُورَةُ البَقَرَةِ: ١١-١٢]	11	12
يحتجُّ بعض المبطلين بقولهم : "  إنَّ الله كتب علينا الضلال ، و لو شاء الله لهدانا " . و كأن الله أجبرهم على الضلال و لم يخيّرهم . و قد بيَّن القرآن الكريم في عدة مواضع بطلان هذا الادعاء و أنَّ الإنسانَ يكتسب بعمل نفسه الحرمان من هداية الله و توفيقه ، كما قال الله تعالى : { وَقَالُوا۟ قُلُوبُنَا غُلۡفُۢۚ بَل لَّعَنَهُمُ ٱللَّهُ بِكُفۡرِهِمۡ فَقَلِیلࣰا مَّا یُؤۡمِنُونَ }[سُورَةُ البَقَرَةِ: ٨٨].	2	{ فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ }[سُورَةُ البَقَرَةِ: ١٠]	10	
