نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2	رقم آية 3
من الناس من إذا لم يتيسر له أسباب طاعة من الطاعات فإنه يُسر ولا يرجو حصول أسبابها بل يقول: "عملت ما علي". بينما يوجّهنا القرآن إلى ألا نفوّت فرصة الأعمال القلبية، بل نرجو تيسير أسباب الطاعة التي لم نتمكن منها. اذكر آية فيها هذا المعنى.	9	{وَلَا عَلَى الَّذِينَ إِذَا مَا أَتَوْكَ لِتَحْمِلَهُمْ قُلْتَ لَا أَجِدُ مَا أَحْمِلُكُمْ عَلَيْهِ تَوَلَّوا وَّأَعْيُنُهُمْ تَفِيضُ مِنَ الدَّمْعِ حَزَنًا أَلَّا يَجِدُوا مَا يُنفِقُونَ}[التوبة : 92 ]	92		
قد يتصور البعض أن سبب الخلاف والتشاحن بين أفراد المجتمع الواحد من المجتمعات الإنسانية هو اقتصادي بالدرجة الأولى ، بحيث إذا ازدهر اقتصاد هذا المجتمع وسدت حاجات الناس وتحققت لهم الرفاهية فإن هذا كفيل بأن يقضي على المشاكل الاجتماعية ويحدث الألفة والتماسك بين الأفراد . اذكر آية تدل على خلاف ذلك .	8	{وَأَلَّفَ بَيْنَ قُلُوبِهِمْ ۚ لَوْ أَنفَقْتَ مَا فِي الْأَرْضِ جَمِيعًا مَّا أَلَّفْتَ بَيْنَ قُلُوبِهِمْ وَلَٰكِنَّ اللَّهَ أَلَّفَ بَيْنَهُمْ ۚ إِنَّهُ عَزِيزٌ حَكِيمٌ} [الأنفال : 63]	63		
من أقبل بوجهه على الباطل وأهله وأعرض بظهره عن الحق وأهله فإن الجزاء يأتيه عند موته وفاقا . اذكر آية فيها هذا المعنى .	8	{وَلَوْ تَرَىٰ إِذْ يَتَوَفَّى الَّذِينَ كَفَرُوا ۙ الْمَلَائِكَةُ يَضْرِبُونَ وُجُوهَهُمْ وَأَدْبَارَهُمْ وَذُوقُوا عَذَابَ الْحَرِيقِ} [الأنفال : 50]	50		
قد يفكر المسلم بنقض عهده مع غير المسلمين ، متعذراً بأنهم أهل غدر . لكن هناك آية تمنعه ، إذ هي تطمئن النبي صلى الله عليه وسلم إلى أن الله تعالى يكفيه شـر الغادرين المخادعين . فالمسلم يتأسى بالنبي في الوفاء بالعهد مع المشركين ، ويرجو من الله أن يكفيه شر غدرهم . لكنه لا يغدر ولا يخون .	8	{وَإِن يُرِيدُوا أَن يَخْدَعُوكَ فَإِنَّ حَسْبَكَ اللَّهُ ۚ هُوَ الَّذِي أَيَّدَكَ بِنَصْرِهِ وَبِالْمُؤْمِنِينَ} [الأنفال : 62]	62		
اذكر آية جعل الله فيها غباوة الكفر منتقصة من قوة الكفار وإن كثروا .	8	{يَا أَيُّهَا النَّبِيُّ حَرِّضِ الْمُؤْمِنِينَ عَلَى الْقِتَالِ ۚ إِن يَكُن مِّنكُمْ عِشْرُونَ صَابِرُونَ يَغْلِبُوا مِائَتَيْنِ ۚ وَإِن يَكُن مِّنكُم مِّائَةٌ يَغْلِبُوا أَلْفًا مِّنَ الَّذِينَ كَفَرُوا بِأَنَّهُمْ قَوْمٌ لَّا يَفْقَهُونَ} [الأنفال : 65]	65		
آية يأمر الله فيها عباده بأمر ويضمن لهم فيها ضمانا ، لكنه تعالى عقب الضمان بعبارة تبين للمؤمنين أن عليهم طاعة الله في أمره هذا بغض النظر عن الضمان . أي أنهم ليس لهم أن يطالبوا الله بالضمان ليلتزموا الأمر ، فإنما الضمان تفضل من الله تعالى . اذكر هذه الجزء من الآية تحديدا ( من كلمتين )	9	{يَا أَيُّهَا الَّذِينَ آمَنُوا إِنَّمَا الْمُشْرِكُونَ نَجَسٌ فَلَا يَقْرَبُوا الْمَسْجِدَ الْحَرَامَ بَعْدَ عَامِهِمْ هَٰذَا ۚ وَإِنْ خِفْتُمْ عَيْلَةً فَسَوْفَ يُغْنِيكُمُ اللَّهُ مِن فَضْلِهِ إِن شَاءَ ۚ إِنَّ اللَّهَ عَلِيمٌ حَكِيمٌ} [التوبة : 28 [	28		
من أعظم أسباب هزيمة الأمة فساد ذات بينها في الجزئيات في زمن صـراع الكليات . اذكر خمس كلمات من آية تدل على ذلك .	8	{وَأَطِيعُوا اللَّهَ وَرَسُولَهُ وَلَا تَنَازَعُوا فَتَفْشَلُوا وَتَذْهَبَ رِيحُكُمْ ۖ وَاصْبِرُوا ۚ إِنَّ اللَّهَ مَعَ الصَّابِرِينَ} [الأنفال : 46 [	46		
عند سهولة التكاليف ويسر الطاعات يمكن لأي شخص كان ادعاء الإيمان والامتثال . لكن لا يتبين المؤمن الحقيقي من المنافق أو ضعيف الإيمان إلا في الشدائد والتكاليف الصعبة . اذكر آية تدل على هذا المعنى .	9	{لَوْ كَانَ عَرَضًا قَرِيبًا وَسَفَرًا قَاصِدًا لَّاتَّبَعُوكَ وَلَٰكِن بَعُدَتْ عَلَيْهِمُ الشُّقَّةُ ۚ وَسَيَحْلِفُونَ بِاللَّهِ لَوِ اسْتَطَعْنَا لَخَرَجْنَا مَعَكُمْ يُهْلِكُونَ أَنفُسَهُمْ وَاللَّهُ يَعْلَمُ إِنَّهُمْ لَكَاذِبُونَ} [التوبة : 42]	42		
الأمر بالمعروف والنهي عن المنكر ليس مهمة الدعاة والعلماء فقط ، بل مهمة كل مؤمن ، بما فيهم النساء . اذكر آية تدل على ذلك .	9	{وَالْمُؤْمِنُونَ وَالْمُؤْمِنَاتُ بَعْضُهُمْ أَوْلِيَاءُ بَعْضٍ ۚ يَأْمُرُونَ بِالْمَعْرُوفِ وَيَنْهَوْنَ عَنِ الْمُنكَرِ وَيُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَيُطِيعُونَ اللَّهَ وَرَسُولَهُ ۚ أُولَٰئِكَ سَيَرْحَمُهُمُ اللَّهُ ۗ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ} [التوبة : 71]	71		
كثيراً ما نتطلع إلى نعم زائدة على ما في أيدينا ، وننسى أن الله تعالى إن أتانا هذه النعم فقد لا نستطيع الوفاء بحقها ، فتتحول هذه النعم إلى سـبب فتنة لقلوبنا يهلكنا في أخرانا . اذكر مطلع ثلاث آيات متتابعات تبين ذلك .	9	{  وَمِنۡهُم مَّنۡ عَـٰهَدَ ٱللَّهَ لَىِٕنۡ ءَاتَىٰنَا مِن فَضۡلِهِۦ لَنَصَّدَّقَنَّ وَلَنَكُونَنَّ مِنَ ٱلصَّـٰلِحِینَ (٧٥) فَلَمَّاۤ ءَاتَىٰهُم مِّن فَضۡلِهِۦ بَخِلُوا۟ بِهِۦ وَتَوَلَّوا۟ وَّهُم مُّعۡرِضُونَ (٧٦) فَأَعۡقَبَهُمۡ نِفَاقࣰا فِی قُلُوبِهِمۡ إِلَىٰ یَوۡمِ یَلۡقَوۡنَهُۥ بِمَاۤ أَخۡلَفُوا۟ ٱللَّهَ مَا وَعَدُوهُ وَبِمَا كَانُوا۟ یَكۡذِبُونَ (٧٧) }[سُورَةُ التَّوۡبَةِ: ٧٥-٧٧]	75	76	77
