نص السؤال	رقم السورة	رقم الآية	رقم آية 1	رقم آية 2
يستخدم بعض الناس عبارة ( لا بيرحم ولا بيخلي من يرحم ولا بيخلي رحمة الله تنزل ) لوصـف شـخص عديم الرحمة ، لكن هذه العبارة غير مقبولة شـرعا . اذكر آية تبطل هذا العبارة وتبين أنه لا يستطيع أحد أن يمنع رحمة الله .	10	{وَإِن يَمْسَسْكَ اللَّهُ بِضُرٍّ فَلَا كَاشِفَ لَهُ إِلَّا هُوَ ۖ وَإِن يُرِدْكَ بِخَيْرٍ فَلَا رَادَّ لِفَضْلِهِ ۚ يُصِيبُ بِهِ مَن يَشَاءُ مِنْ عِبَادِهِ ۚ وَهُوَ الْغَفُورُ الرَّحِيمُ} [يونس : 107 [	107	
قد تجد إنسانا ظالما فيكون منك شدة عليه بل وتحاربه ويتضرر هو من حربك له ، حتى إذا خضع طيبت خاطره بقولك : لم يكن هينا علي أن أفعل ما فعلته بك ، ولم يكن هينا علي أن أرى المشـقة التي لحقت بك والضرر الذي آلمك ، لكني ما فعلت الذي فعلته بك إلا رغبة في خيرك وحسن العاقبة لك . اذكر آية تذكر بهذا الموقف .	9	{لَقَدْ جَاءَكُمْ رَسُولٌ مِّنْ أَنفُسِكُمْ عَزِيزٌ عَلَيْهِ مَا عَنِتُّمْ حَرِيصٌ عَلَيْكُم بِالْمُؤْمِنِينَ رَءُوفٌ رَّحِيمٌ} [التوبة : 128 [	128	
قد يعمل أحدنا معصية فتبقى تحدث شـكاً في قلبه -خاصـة ما كان منها في معاونة الكافرين أو الإضرار بالإسلام والمسلمين - مع أن صاحبها قد يكون نسيها فلا يفطن إلى هذا المصدر من مصادر مرض قلبه . اذكرآية تذكر حالة كهذه .	9	{لَا يَزَالُ بُنْيَانُهُمُ الَّذِي بَنَوْا رِيبَةً فِي قُلُوبِهِمْ إِلَّا أَن تَقَطَّعَ قُلُوبُهُمْ ۗ وَاللَّهُ عَلِيمٌ حَكِيمٌ} [التوبة : 110 [	110	
 الذي يعترف بذنبه ترجى له المغفرة بخلاف من يبرر ويشرعن معصيته . اذكر آية تدل على هذا .	9	{وَآخَرُونَ اعْتَرَفُوا بِذُنُوبِهِمْ خَلَطُوا عَمَلًا صَالِحًا وَآخَرَ سَيِّئًا عَسَى اللَّهُ أَن يَتُوبَ عَلَيْهِمْ ۚ إِنَّ اللَّهَ غَفُورٌ رَّحِيمٌ} [التوبة : 102]	102	
 قد تدعى إلى قناة تلفزيونية توجهها العام ســئ ، تدعى إليها لتتكلم عن موضوع من مواضيع الخير التي فيها منفعة للناس . اذكر آية تجعلك تميل إلى عدم الظهور في هذه القناة .	9	{لَا تَقُمْ فِيهِ أَبَدًا ۚ لَّمَسْجِدٌ أُسِّسَ عَلَى التَّقْوَىٰ مِنْ أَوَّلِ يَوْمٍ أَحَقُّ أَن تَقُومَ فِيهِ ۚ فِيهِ رِجَالٌ يُحِبُّونَ أَن يَتَطَهَّرُوا ۚ وَاللَّهُ يُحِبُّ الْمُطَّهِّرِينَ} [التوبة : 108]	108	
اذكر آية تدل على أن آيات القرآن إن لم تنفع أحدا ولم ترفعه وتطهره فهذا لخلل فيه لا لخلل في الآيات	9	{وَأَمَّا الَّذِينَ فِي قُلُوبِهِم مَّرَضٌ فَزَادَتْهُمْ رِجْسًا إِلَىٰ رِجْسِهِمْ وَمَاتُوا وَهُمْ كَافِرُونَ} [التوبة : 125]	125	
إذا رأيت إنسـانا يزيغ وينحرف بعد أن كان على هدى فيما يظهر ، فلا تسئ الظن بالله تعالى أنه لم يعط هؤلاء فرصـاً ، أو أنه لم يوضـح لهم الهدى من الضلال ، بل انحرافهم هذا لعيب فيهم وإهمالهم لما فصـل الله أن يعملوا به . اذكرآية تدل على ذلك	9	{وَمَا كَانَ اللَّهُ لِيُضِلَّ قَوْمًا بَعْدَ إِذْ هَدَاهُمْ حَتَّىٰ يُبَيِّنَ لَهُم مَّا يَتَّقُونَ ۚ إِنَّ اللَّهَ بِكُلِّ شَيْءٍ عَلِيمٌ} [التوبة : 115]	115	
من كرم الله تعالى أنه يثيب المؤمن على ما يعانيه في سبيل الغايات العظيمة ، وعلى أفعال لا يقصـد بها الأجر بذاتها ، لكن الله تعالى يثيبه باعتبار شـرف الغاية منها . ولتأكيد هذا المعنى زاد الله في خاتمة آية ثلاث كلمات تميزها عن الآية التي بعدها . ما هي هذه الكلمات الثلاثة ؟	9	{مَا كَانَ لِأَهْلِ الْمَدِينَةِ وَمَنْ حَوْلَهُم مِّنَ الْأَعْرَابِ أَن يَتَخَلَّفُوا عَن رَّسُولِ اللَّهِ وَلَا يَرْغَبُوا بِأَنفُسِهِمْ عَن نَّفْسِهِ ۚ ذَٰلِكَ بِأَنَّهُمْ لَا يُصِيبُهُمْ ظَمَأٌ وَلَا نَصَبٌ وَلَا مَخْمَصَةٌ فِي سَبِيلِ اللَّهِ وَلَا يَطَئُونَ مَوْطِئًا يَغِيظُ الْكُفَّارَ وَلَا يَنَالُونَ مِنْ عَدُوٍّ نَّيْلًا إِلَّا كُتِبَ لَهُم بِهِ عَمَلٌ صَالِحٌ ۚ إِنَّ اللَّهَ لَا يُضِيعُ أَجْرَ الْمُحْسِنِينَ} [التوبة : 120 [	120	
 كلمة جاءت تصريحا في موضع الضمير دلالة على أن ما ينعم به الله تعالى على عباده إنما هو محض تكرم منه سبحانه . ما هي هذه الكلمة	10	{وَإِن يَمْسَسْكَ اللَّهُ بِضُرٍّ فَلَا كَاشِفَ لَهُ إِلَّا هُوَ ۖ وَإِن يُرِدْكَ بِخَيْرٍ فَلَا رَادَّ لِفَضْلِهِ ۚ يُصِيبُ بِهِ مَن يَشَاءُ مِنْ عِبَادِهِ ۚ وَهُوَ الْغَفُورُ الرَّحِيمُ} [يونس : 107 [	107	
من الأساليب العربية أسلوب التهييج والإلهاب . كأن تقول لشخص : إن لم ترد مساعدتي فلا تفعل ، وأنت تعلم أنه يريد مساعدتك ولا يظن به إلا هذا . لكن كأنك تهيجه وتلهب حماسته ليقول لك : بل أساعدك بلا تردد . اذكر آية فيها تهييج وإلهاب للنبي صلى الله عليه وسلم	10	{فَإِن كُنتَ فِي شَكٍّ مِّمَّا أَنزَلْنَا إِلَيْكَ فَاسْأَلِ الَّذِينَ يَقْرَءُونَ الْكِتَابَ مِن قَبْلِكَ ۚ لَقَدْ جَاءَكَ الْحَقُّ مِن رَّبِّكَ فَلَا تَكُونَنَّ مِنَ الْمُمْتَرِينَ} [يونس : 94]	94	
