نص السؤال 	رقم السورة 	 رقم الآية	رقم آية 1	رقم آية 2	رقم آية 3 	رقم آية 4	رقم آية 5	رقم آية 6
اذكر عبارة دقيقة استخدمها القرآن تبين حذريوسـف من الكذب حتى وإن كان لإتمام خطة له منها مقصد نبيل 	12	{قَالَ مَعَاذَ ٱللَّهِ أَن نَّأۡخُذَ إِلَّا مَن وَجَدۡنَا مَتَـٰعَنَا عِندَهُۥۤ إِنَّاۤ إِذࣰا لَّظَـٰلِمُونَ }[سُورَةُ يُوسُفَ: ٧٩ [	79					
اذكر جزءا من آية يبين أن الله عز وجل إذا قدر أمرا يسـر له أسبابا خفية لا تخطر بالبال	12	{وَرَفَعَ أَبَوَیۡهِ عَلَى ٱلۡعَرۡشِ وَخَرُّوا۟ لَهُۥ سُجَّدࣰاۖ وَقَالَ یَـٰۤأَبَتِ هَـٰذَا تَأۡوِیلُ رُءۡیَـٰیَ مِن قَبۡلُ قَدۡ جَعَلَهَا رَبِّی حَقࣰّاۖ وَقَدۡ أَحۡسَنَ بِیۤ إِذۡ أَخۡرَجَنِی مِنَ ٱلسِّجۡنِ وَجَاۤءَ بِكُم مِّنَ ٱلۡبَدۡوِ مِنۢ بَعۡدِ أَن نَّزَغَ ٱلشَّیۡطَـٰنُ بَیۡنِی وَبَیۡنَ إِخۡوَتِیۤۚ إِنَّ رَبِّی لَطِیفࣱ لِّمَا یَشَاۤءُۚ إِنَّهُۥ هُوَ ٱلۡعَلِیمُ ٱلۡحَكِیمُ }[سُورَةُ يُوسُفَ: ١٠٠ [	100					
 اذكر موطنين من مواطن أدب يوسف في التعبير مع إخوته	12	{وَرَفَعَ أَبَوَیۡهِ عَلَى ٱلۡعَرۡشِ وَخَرُّوا۟ لَهُۥ سُجَّدࣰاۖ وَقَالَ یَـٰۤأَبَتِ هَـٰذَا تَأۡوِیلُ رُءۡیَـٰیَ مِن قَبۡلُ قَدۡ جَعَلَهَا رَبِّی حَقࣰّاۖ وَقَدۡ أَحۡسَنَ بِیۤ إِذۡ أَخۡرَجَنِی مِنَ ٱلسِّجۡنِ وَجَاۤءَ بِكُم مِّنَ ٱلۡبَدۡوِ مِنۢ بَعۡدِ أَن نَّزَغَ ٱلشَّیۡطَـٰنُ بَیۡنِی وَبَیۡنَ إِخۡوَتِیۤۚ إِنَّ رَبِّی لَطِیفࣱ لِّمَا یَشَاۤءُۚ إِنَّهُۥ هُوَ ٱلۡعَلِیمُ ٱلۡحَكِیمُ }[سُورَةُ يُوسُفَ: ١٠٠ [ ، {قَالَ هَلۡ عَلِمۡتُم مَّا فَعَلۡتُم بِیُوسُفَ وَأَخِیهِ إِذۡ أَنتُمۡ جَـٰهِلُونَ }[سُورَةُ يُوسُفَ: ٨٩ [	100	89				
سلامة الدين نعمة يمتن الله بها على العبد وإن كانت من خلال مصيبة تصيب المرء في دنياه . اذكر آية تدل على ذلك	12	{ فَٱسۡتَجَابَ لَهُۥ رَبُّهُۥ فَصَرَفَ عَنۡهُ كَیۡدَهُنَّۚ إِنَّهُۥ هُوَ ٱلسَّمِیعُ ٱلۡعَلِیمُ }[سُورَةُ يُوسُفَ: ٣٤]	34					
كم كلمة قالها يوسف في قضية خروجه من السجن ، مقارنة بكم كلمة قالها في الدعوة إلى ربه سبحانه ؟	12	{وَقَالَ لِلَّذِی ظَنَّ أَنَّهُۥ نَاجࣲ مِّنۡهُمَا ٱذۡكُرۡنِی عِندَ رَبِّكَ فَأَنسَىٰهُ ٱلشَّیۡطَـٰنُ ذِكۡرَ رَبِّهِۦ فَلَبِثَ فِی ٱلسِّجۡنِ بِضۡعَ سِنِینَ }[سُورَةُ يُوسُفَ: ٤٢ [ ، {قَالَ لَا یَأۡتِیكُمَا طَعَامࣱ تُرۡزَقَانِهِۦۤ إِلَّا نَبَّأۡتُكُمَا بِتَأۡوِیلِهِۦ قَبۡلَ أَن یَأۡتِیَكُمَاۚ ذَ ٰ⁠لِكُمَا مِمَّا عَلَّمَنِی رَبِّیۤۚ إِنِّی تَرَكۡتُ مِلَّةَ قَوۡمࣲ لَّا یُؤۡمِنُونَ بِٱللَّهِ وَهُم بِٱلۡـَٔاخِرَةِ هُمۡ كَـٰفِرُونَ (٣٧) وَٱتَّبَعۡتُ مِلَّةَ ءَابَاۤءِیۤ إِبۡرَ ٰ⁠هِیمَ وَإِسۡحَـٰقَ وَیَعۡقُوبَۚ مَا كَانَ لَنَاۤ أَن نُّشۡرِكَ بِٱللَّهِ مِن شَیۡءࣲۚ ذَ ٰ⁠لِكَ مِن فَضۡلِ ٱللَّهِ عَلَیۡنَا وَعَلَى ٱلنَّاسِ وَلَـٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا یَشۡكُرُونَ (٣٨) یَـٰصَـٰحِبَیِ ٱلسِّجۡنِ ءَأَرۡبَابࣱ مُّتَفَرِّقُونَ خَیۡرٌ أَمِ ٱللَّهُ ٱلۡوَ ٰ⁠حِدُ ٱلۡقَهَّارُ (٣٩) مَا تَعۡبُدُونَ مِن دُونِهِۦۤ إِلَّاۤ أَسۡمَاۤءࣰ سَمَّیۡتُمُوهَاۤ أَنتُمۡ وَءَابَاۤؤُكُم مَّاۤ أَنزَلَ ٱللَّهُ بِهَا مِن سُلۡطَـٰنٍۚ إِنِ ٱلۡحُكۡمُ إِلَّا لِلَّهِ أَمَرَ أَلَّا تَعۡبُدُوۤا۟ إِلَّاۤ إِیَّاهُۚ ذَ ٰ⁠لِكَ ٱلدِّینُ ٱلۡقَیِّمُ وَلَـٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا یَعۡلَمُونَ (٤٠) یَـٰصَـٰحِبَیِ ٱلسِّجۡنِ أَمَّاۤ أَحَدُكُمَا فَیَسۡقِی رَبَّهُۥ خَمۡرࣰاۖ وَأَمَّا ٱلۡـَٔاخَرُ فَیُصۡلَبُ فَتَأۡكُلُ ٱلطَّیۡرُ مِن رَّأۡسِهِۦۚ قُضِیَ ٱلۡأَمۡرُ ٱلَّذِی فِیهِ تَسۡتَفۡتِیَانِ (٤١) }[سُورَةُ يُوسُفَ: ٣٧-٤١ [	42	37	38	39	40	41
 تكلمت باللهجة المحلية لتقرب مفهوماً إلى الناس وأنت تعلم أنهم ما كانوا ليفهموه بغير هذا . فعـاتبـك صـديقـك أن هذا يخل بالحفاظ على اللغة الفصحى . اذكر جزءا من آية ترد بها عليه	14	{وَمَاۤ أَرۡسَلۡنَا مِن رَّسُولٍ إِلَّا بِلِسَانِ قَوۡمِهِۦ لِیُبَیِّنَ لَهُمۡۖ فَیُضِلُّ ٱللَّهُ مَن یَشَاۤءُ وَیَهۡدِی مَن یَشَاۤءُۚ وَهُوَ ٱلۡعَزِیزُ ٱلۡحَكِیمُ }[سُورَةُ إِبۡرَاهِيمَ: ٤ [	4					
من أسـالـيـب أهل الباطل أنهم يتكلمون عن مخالفة مقدساتهم كتهمة مسلمة لا نقاش فيها ، تهربا من مساءلة صحة ما قدسوه . اذكر سبع كلمات من آية تشير لهذا المعنى	14	{قَالَتۡ رُسُلُهُمۡ أَفِی ٱللَّهِ شَكࣱّ فَاطِرِ ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضِۖ یَدۡعُوكُمۡ لِیَغۡفِرَ لَكُم مِّن ذُنُوبِكُمۡ وَیُؤَخِّرَكُمۡ إِلَىٰۤ أَجَلࣲ مُّسَمࣰّىۚ قَالُوۤا۟ إِنۡ أَنتُمۡ إِلَّا بَشَرࣱ مِّثۡلُنَا تُرِیدُونَ أَن تَصُدُّونَا عَمَّا كَانَ یَعۡبُدُ ءَابَاۤؤُنَا فَأۡتُونَا بِسُلۡطَـٰنࣲ مُّبِینࣲ }[سُورَةُ إِبۡرَاهِيمَ: ١٠ [	10					
 من ثمرات معرفة الحق واتباعه يقينك بأن الله إذ وفقك لذلك فإنه أراد بك خيراً فسيدبر لك ويحسن عاقبتك متى لجأت إليه اذكر جزءا من آية يدل على ذلك	14	 } وَمَا لَنَاۤ أَلَّا نَتَوَكَّلَ عَلَى ٱللَّهِ وَقَدۡ هَدَىٰنَا سُبُلَنَاۚ وَلَنَصۡبِرَنَّ عَلَىٰ مَاۤ ءَاذَیۡتُمُونَاۚ وَعَلَى ٱللَّهِ فَلۡیَتَوَكَّلِ ٱلۡمُتَوَكِّلُونَ }[سُورَةُ إِبۡرَاهِيمَ: ١٢ [	12					
من حسن خلق يوسف عليه السلام أنه لم يسند الظلم لإخوته رغم وقوعه منهم . اذكر خمس كلمات تبين ذلك	12	{مِنۢ بَعۡدِ أَن نَّزَغَ ٱلشَّیۡطَـٰنُ بَیۡنِی وَبَیۡنَ إِخۡوَتِیۤۚ }[سُورَةُ يُوسُفَ: ١٠٠ [	100					
أنكر الله على من لا يقف على شـواهـد عظمته في خلقه فيتدبرها . اذكر آية فيها هذا المعنى	12	{ وَكَأَیِّن مِّنۡ ءَایَةࣲ فِی ٱلسَّمَـٰوَ ٰ⁠تِ وَٱلۡأَرۡضِ یَمُرُّونَ عَلَیۡهَا وَهُمۡ عَنۡهَا مُعۡرِضُونَ }[سُورَةُ يُوسُفَ: ١٠٥]	105					
