نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية2
موقفُ ثباتٍ من النبي صلى الله عليه وسلم ينسِبُ فيه القرآن الفضلَ إلى الله تعالى. اذكر ثلاث كلمات فيها هذه النسبة.	17	{وَلَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ تَرْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلاً } [ الإسراء :74] 	74	
اذكر آيتين فيهما خطاب للنبي بما يؤكد على أن كرامته على الله مقرونة بطاعته، وأنه إن أشرك فقد هذه الكرامة.	17	{ لَّا تَجۡعَلۡ مَعَ ٱللَّهِ إِلَـٰهًا ءَاخَرَ فَتَقۡعُدَ مَذۡمُومࣰا مَّخۡذُولࣰا }[سُورَةُ الإِسۡرَاءِ: ٢٢] . { وَلَا تَجۡعَلۡ مَعَ ٱللَّهِ إِلَـٰهًا ءَاخَرَ فَتُلۡقَىٰ فِی جَهَنَّمَ مَلُومࣰا مَّدۡحُورًا }[سُورَةُ الإِسۡرَاءِ: ٣٩]	22	39
قال تعالى في أهل النار: (وَالَّذِينَ كَفَرُوا لَهُمْ نَارُ جَهَنَّمَ لَا يُقْضَىٰ عَلَيْهِمْ فَيَمُوتُوا وَلَا يُخَفَّفُ عَنْهُم مِّنْ عَذَابِهَا ۚ كَذَٰلِكَ نَجْزِي كُلَّ كَفُورٍ) ]فاطر:36 [. وهذا يُشعر بأن نار جهنم لا تخبو. اذكر آية فيها حرف واحد يحل ما قد يظهر أنه تعارض بين الآيتين.	17	{وَمَن يَهْدِ اللَّهُ فَهُوَ الْمُهْتَدِ ۖ وَمَن يُضْلِلْ فَلَن تَجِدَ لَهُمْ أَوْلِيَاءَ مِن دُونِهِ ۖ وَنَحْشُرُهُمْ يَوْمَ الْقِيَامَةِ عَلَىٰ وُجُوهِهِمْ عُمْيًا وَبُكْمًا وَصُمًّا ۖ مَّأْوَاهُمْ جَهَنَّمُ ۖ كُلَّمَا خَبَتْ زِدْنَاهُمْ سَعِيرًا} [الإسراء : 97 [	97	
آية تُعينُ في حل المشاكل بين المسلمين، وتفسير وقوع الخلاف بين طرفين مُريدين للخير.	17	}وَقُل لِّعِبَادِي يَقُولُوا الَّتِي هِيَ أَحْسَنُ ۚ إِنَّ الشَّيْطَانَ يَنزَغُ بَيْنَهُمْ ۚ إِنَّ الشَّيْطَانَ كَانَ لِلْإِنسَانِ عَدُوًّا مُّبِينًا} [الإسراء : 53 [	53	
تشويه الصادقين بالألقاب وسيلة جاهلية، يطلقون لقباً بالأمس يناقض لقب اليوم والمقصود واحد، تشويه صورته وتنفير الناس عنه. اذكر مطلع آية تدل على تخبطهم في ذلك.	17	{ انْظُرْ كَيْفَ ضَرَبُوا لَكَ الْأَمْثَالَ فَضَلُّوا فَلَا يَسْتَطِيعُونَ سَبِيلًا}[ الإسراء :48]	48	
اذكر كلمتين من آية تدلان على أدب نبيٍ وتواضعه في تعامله مع من يقوم بخدمته.	18	{فَلَمَّا جَاوَزَا قَالَ لِفَتَاهُ آتِنَا غَدَاءَنَا لَقَدْ لَقِينَا مِنْ سَفَرِنَا هَٰذَا نَصَبًا}[الكهف : 62 [	62	
ست كلمات من آية تدل على أن الإنسان يرجع إلى ربه بلا مال ولا أهل ولا عشيرة. ما هي؟	18	{وَعُرِضُوا عَلَىٰ رَبِّكَ صَفًّا لَقَدْ جِئْتُمُونَا كَمَا خَلَقْنَاكُمْ أَوَّلَ مَرَّةٍ ۚ بَلْ زَعَمْتُمْ أَلَّنْ نَجْعَلَ لَكُمْ مَوْعِدًا}[ الكهف : 48 [	48	
جعل الله الدنيا مغرية ملهية، ليرى أقواهُم عزيمةً يُقدَّم حق ربه على شهوة نفسه. اذكر آية تدل على هذا المعنى.	18	{إِنَّا جَعَلْنَا مَا عَلَى الْأَرْضِ زِينَةً لَهَا لِنَبْلُوَهُمْ أَيُّهُمْ أَحْسَنُ عَمَلًا}[ الكهف :7 ]	7	
لا تغتر بنفسك في أية رِفعةٍ أو خير تصل إليه، فكل ما أنت فيه من خير هو محض فضل من الله، وهو قادر على سلبه منك. اذكر آية تدل على هذا المعنى.	17	{وَلَئِن شِئْنَا لَنَذْهَبَنَّ بِالَّذِي أَوْحَيْنَا إِلَيْكَ ثُمَّ لَا تَجِدُ لَكَ بِهِ عَلَيْنَا وَكِيلًا}[ الإسراء : 68 ]	68	
صاحبك يتقرب إلى الله بما لم يشرع. نصحته فقال لك: (المهم العمل بنية طيبة). اذكر كلمة من آية ترد بها عليه.	17	{وَمَنْ أَرَادَ الْآخِرَةَ وَسَعَىٰ لَهَا سَعْيَهَا وَهُوَ مُؤْمِنٌ فَأُولَٰئِكَ كَانَ سَعْيُهُم مَّشْكُورًا}[الإسراء:19 [	19	
