نص السؤال 	رقم السورة 	رقم الآية 	رقم آية1
قال الله تعالى: (وَإِذَا أَرَدْنَا أَن نُّهْلِكَ قَرْيَةً أَمَرْنَا مُتْرَفِيهَا فَفَسَقُوا فِيهَا فَحَقَّ عَلَيْهَا الْقَوْلُ فَدَمَّرْنَاهَا تَدْمِيرًا) ]الإسراء: 16[. من الأوجه في تفسيرها: أي أمرنا مترفيها بما يأمر به الرسل عادة من الإيمان والطاعة. ففسقوا فيها. وهذا من طرائق اللغة العربية، أن يحذف كلام مفهوم من السياق. قد ينكر من لا يعرف بالعربية مثل هذا التفسير ويقول من أين لكم هذه التقديرات التي لم ترد في الآية. اذكر من هذا الجزء أية تستدل لها بها بتقدير شبيه.	25	{فَقُلْنَا اذْهَبَا إِلَى الْقَوْمِ الَّذِينَ كَذَّبُوا بِآيَاتِنَا فَدَمَّرْنَاهُمْ تَدْمِيرًا}[الفرقان : 36]	36
اذكر أية ترد بها على أصحاب المبدأ المسمى بالإنساني، والذي يجعل معيار المفاضلة بين الناس ما يتحلون به من أخلاق أو نفع مادي علمي للناس بصرف النظر عن علاقتهم بالله تعالى. هذه الآية لا تعطي أية قيمة للمعرض عن الله تعالى.	25	{قُلْ مَا يَعْبَأُ بِكُمْ رَبِّي لَوْلَا دُعَاؤُكُمْ ۖ فَقَدْ كَذَّبْتُمْ فَسَوْفَ يَكُونُ لِزَامًا}[الفرقان: 77]	77
على المسلم ألا يتنازل عم حقوقه التي وهبه الله إياها وأن يعلم أن الفضل فيها لله وحده، كما عليه ألا تُسْكِتَه نجاته من الظلم عن المطالبة بحقوق الآخرين المظلومين. فبعض الظالمين قد يظلم مجموعة من الناس ظلماً عاماً ثم إذا أحسن إلى أحدهم وأعطاه شيئا من حقوقه اعتبر ذلك تفضُّلاً. اذكر أيةً تبين أن المؤمن بحق لا يكفيه أن يُحسن الظالم إليه إن كان يظلم الآخرين، ولا يعتبر استثناءه من هذا الظلم فضلاً من الظالم عليه.	26	{وَتِلْكَ نِعْمَةٌ تَمُنُّهَا عَلَيَّ أَنْ عَبَّدتَّ بَنِي إِسْرَائِيلَ}[الشعراء : 22]	22
اذكر آية تبين تلاعب المبطلين بالحقائق وقلبهم للتسميات بحيث يثنون على عنادهم ويذمون دعوة الحق في الآية ذاتها.	25	{ إِن كَادَ لَيُضِلُّنَا عَنْ آلِهَتِنَا لَوْلَا أَن صَبَرْنَا عَلَيْهَا ۚ وَسَوْفَ يَعْلَمُونَ حِينَ يَرَوْنَ الْعَذَابَ مَنْ أَضَلُّ سَبِيلًا}[الفرقان : 42 ]	42
اذكر أيةً تبين أن ما يتمادى به المكذبون بالرسالة من طلبات إنما هو نابع عن كبرهم.	25	{وَقَالَ الَّذِينَ لَا يَرْجُونَ لِقَاءَنَا لَوْلَا أُنزِلَ عَلَيْنَا الْمَلَائِكَةُ أَوْ نَرَىٰ رَبَّنَا ۗ لَقَدِ اسْتَكْبَرُوا فِي أَنفُسِهِمْ وَعَتَوْا عُتُوًّا كَبِيرًا}[الفرقان : 21 ]	21
كلمة التوحيد مقدمة على وحدة الكلمة. ولا يُثنى على اجتماع الناس إن كان على ضلال. اذكر آية تبين كيف فرَّق نبي قومه وأحدث بينهم خلافاً.	27	{وَلَقَدْ أَرْسَلْنَا إِلَىٰ ثَمُودَ أَخَاهُمْ صَالِحًا أَنِ اعْبُدُوا اللَّه فَإِذَا هُمْ فَرِيقَانِ يَخْتَصِمُونَ}[النمل:45]	45
تزيد النعم ُ أهلَ الإيمان تواضعاً وخضوعاً وشكراً لله، بخلاف أهل الطغيان الذين يكفرون النعمة. اذكر جزءاً من أية فيه هذا المعنى.	27	{قَالَ الَّذِي عِندَهُ عِلْمٌ مِّنَ الْكِتَابِ أَنَا آتِيكَ بِهِ قَبْلَ أَن يَرْتَدَّ إِلَيْكَ طَرْفُكَ ۚ فَلَمَّا رَآهُ مُسْتَقِرًّا عِندَهُ قَالَ هَٰذَا مِن فَضْلِ رَبِّي لِيَبْلُوَنِي أَأَشْكُرُ أَمْ أَكْفُرُ ۖ وَمَن شَكَرَ فَإِنَّمَا يَشْكُرُ لِنَفْسِهِ ۖ وَمَن كَفَرَ فَإِنَّ رَبِّي غَنِيٌّ كَرِيمٌ}[النمل:40]	40
قد تكون هناك قلة قليلة فاسدة تسعى في الأرض فساداً تؤدّي إلى هلاك قريةٍ بأكملها حينما لا يؤخذ على أيديهم. اذكر آية من هذا الجزء فيها إشارة لهذا المعنى.	27	{وَكَانَ فِي الْمَدِينَةِ تِسْعَةُ رَهْطٍ يُفْسِدُونَ فِي الْأَرْضِ وَلَا يُصْلِحُونَ}[النمل : 48]	48
ميدان من أهم ميادين الجهاد ومتاح لكثيرين منا مذكور في آية، فما هي؟	25	 {فَلَا تُطِعِ الْكَافِرِينَ وَجَاهِدْهُم بِهِ جِهَادًا كَبِيرًا}[الفرقان: 52]	52
المؤمن صاحب همة عالية. قال رسول الله ﷺ: (إن الله يحب معالي الأمور ويكره سـفـسـافها) (صححه الألباني)، وقال أيضـاً: ( إذا سألتم اللهَ الجنةَ فاسألوه الفِردوسَ) (البخاري). اذكر ثلاث كلمات من آية فيها بيانٌ لعلوِّ همة المؤمن بطلبه معالي الأمور من ربه عز وجل .	25	{وَالَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ وَاجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا}[الفرقان:74]	74
