نص السؤال	رقم السورة	رقم الآية 	
من مظاهر الحيود عن دين الله في الخصومات العشائرية : أنك تجد مَن إذا قُتل منهم شخص حرصوا على أن يقتلوا من عشيرة القاتل شخصاً أوجه عدداً أكبر من الأشخاص . اذكر آية تخاطب بها هؤلاء و تبين لهم أن الله ينهاهم عن ذلك 	2	{ یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ كُتِبَ عَلَیۡكُمُ ٱلۡقِصَاصُ فِی ٱلۡقَتۡلَىۖ ٱلۡحُرُّ بِٱلۡحُرِّ وَٱلۡعَبۡدُ بِٱلۡعَبۡدِ وَٱلۡأُنثَىٰ بِٱلۡأُنثَىٰۚ فَمَنۡ عُفِیَ لَهُۥ مِنۡ أَخِیهِ شَیۡءࣱ فَٱتِّبَاعُۢ بِٱلۡمَعۡرُوفِ وَأَدَاۤءٌ إِلَیۡهِ بِإِحۡسَـٰنࣲۗ ذَ ٰ⁠لِكَ تَخۡفِیفࣱ مِّن رَّبِّكُمۡ وَرَحۡمَةࣱۗ فَمَنِ ٱعۡتَدَىٰ بَعۡدَ ذَ ٰ⁠لِكَ فَلَهُۥ عَذَابٌ أَلِیمࣱ }[سُورَةُ البَقَرَةِ: ١٧٨]	178
يكثُر في الناس أنهم إذا تخاصموا فإنهم يتعامّون عن أوامر الله تعالى في التعامل مع الخصومة ، مبررين لأنفسهم أنهم غاضبون و أن الطرف الآخر يستحق هذا التعامل ، و كأنه ليس مطلوباً منهم أن يلتزموا أمر الله إذا كانوا متكدرين ! اذكر آية مخيفة جعل الله فيها هذا السلوك استهانة بأمره و نهيه ، لتنتقل المسألة من تعامل بين شخصين إلى تعامل مع الله سبحانه .	2	} وَإِذَا طَلَّقۡتُمُ ٱلنِّسَاۤءَ فَبَلَغۡنَ أَجَلَهُنَّ فَأَمۡسِكُوهُنَّ بِمَعۡرُوفٍ أَوۡ سَرِّحُوهُنَّ بِمَعۡرُوفࣲۚ وَلَا تُمۡسِكُوهُنَّ ضِرَارࣰا لِّتَعۡتَدُوا۟ۚ وَمَن یَفۡعَلۡ ذَ ٰ⁠لِكَ فَقَدۡ ظَلَمَ نَفۡسَهُۥۚ  وَلَا تَتَّخِذُوۤا۟ ءَایَـٰتِ ٱللَّهِ هُزُوࣰاۚ وَٱذۡكُرُوا۟ نِعۡمَتَ ٱللَّهِ عَلَیۡكُمۡ وَمَاۤ أَنزَلَ عَلَیۡكُم مِّنَ ٱلۡكِتَـٰبِ وَٱلۡحِكۡمَةِ یَعِظُكُم بِهِۦۚ وَٱتَّقُوا۟ ٱللَّهَ وَٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ بِكُلِّ شَیۡءٍ عَلِیمࣱ }[سُورَةُ البَقَرَةِ: ٢٣١ [	231
الأعياد في الإسلام مواسم شكر لله تعالى على الهداية و التوفيق للطاعات،  و ليس كما يريد المفسدون أن يجعلوها مواسم معصية و غفلة . اذكر جزءاً من آية يدل على الجملة الأولى. 	2	} شَهۡرُ رَمَضَانَ ٱلَّذِیۤ أُنزِلَ فِیهِ ٱلۡقُرۡءَانُ هُدࣰى لِّلنَّاسِ وَبَیِّنَـٰتࣲ مِّنَ ٱلۡهُدَىٰ وَٱلۡفُرۡقَانِۚ فَمَن شَهِدَ مِنكُمُ ٱلشَّهۡرَ فَلۡیَصُمۡهُۖ وَمَن كَانَ مَرِیضًا أَوۡ عَلَىٰ سَفَرࣲ فَعِدَّةࣱ مِّنۡ أَیَّامٍ أُخَرَۗ یُرِیدُ ٱللَّهُ بِكُمُ ٱلۡیُسۡرَ وَلَا یُرِیدُ بِكُمُ ٱلۡعُسۡرَ وَلِتُكۡمِلُوا۟ ٱلۡعِدَّةَ وَلِتُكَبِّرُوا۟ ٱللَّهَ عَلَىٰ مَا هَدَىٰكُمۡ وَلَعَلَّكُمۡ تَشۡكُرُونَ }[سُورَةُ البَقَرَةِ: ١٨٥ [	185
راعى الإسلام الحاجات الفطرية للمرأة كما راعاها للرجل . و الزواجُ من مقاصده تحقيق السكن و الاستقرار النفسي _لكليهما ، و ليس كما يدعي مُرَوِّجوا النزعة النسوية التي تصف الإسلام بأنه دين ذكوري ، اذكر جزءاً من آية يوضح هذا المعنى .	2	{هُنَّ لِبَاسࣱ لَّكُمۡ وَأَنتُمۡ لِبَاسࣱ لَّهُنَّۗ  }[سُورَةُ البَقَرَةِ: ١٨٧]	187
إذا لم يهتم المسلمون بأمر الجهاد فإن ذلك مدعاةً لدمارهم و ضياع شأنهم . اذكر آية تبين هذا المعنى . 	2	{ وَأَنفِقُوا۟ فِی سَبِیلِ ٱللَّهِ وَلَا تُلۡقُوا۟ بِأَیۡدِیكُمۡ إِلَى ٱلتَّهۡلُكَةِ وَأَحۡسِنُوۤا۟ۚ إِنَّ ٱللَّهَ یُحِبُّ ٱلۡمُحۡسِنِینَ }[سُورَةُ البَقَرَةِ: ١٩٥]	195
عندما يهون حق الله على الناس ، فقد تجدهم يتعاطفون مع من يَصُدُّ عن سبيل الله و يُضلّل الناس في دينهم كبعض الدعاة الإلحاد ، بحجة أن هذا الملحد "إنساني" لم يزهق رزحاً ، بل و ربما دعم بعض قضايا المسلمين . و قد تجد من يقول :( هذا الملحد لم يقتل نملة ) . اذكر أربع كلمات من آية تبين أن جرمه أشد من جرم إزهاق الأرواح .	2	} وَٱقۡتُلُوهُمۡ حَیۡثُ ثَقِفۡتُمُوهُمۡ وَأَخۡرِجُوهُم مِّنۡ حَیۡثُ أَخۡرَجُوكُمۡۚ وَٱلۡفِتۡنَةُ أَشَدُّ مِنَ ٱلۡقَتۡلِۚ وَلَا تُقَـٰتِلُوهُمۡ عِندَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِ حَتَّىٰ یُقَـٰتِلُوكُمۡ فِیهِۖ فَإِن قَـٰتَلُوكُمۡ فَٱقۡتُلُوهُمۡۗ كَذَ ٰ⁠لِكَ جَزَاۤءُ ٱلۡكَـٰفِرِینَ }[سُورَةُ البَقَرَةِ: ١٩١ [	191
الاستثناء المنقطع يكون فيه المستثنى من غير جنس المستثنى منه ، أو يكون بمعنى (ولكن) ، اذكر آية يؤدي عدم الإدراك أن الاستثناء فيها منقطع إلى خلل في فهم حدود العلاقة بين الجنسين .	2	} وَلَا جُنَاحَ عَلَیۡكُمۡ فِیمَا عَرَّضۡتُم بِهِۦ مِنۡ خِطۡبَةِ ٱلنِّسَاۤءِ أَوۡ أَكۡنَنتُمۡ فِیۤ أَنفُسِكُمۡۚ عَلِمَ ٱللَّهُ أَنَّكُمۡ سَتَذۡكُرُونَهُنَّ وَلَـٰكِن لَّا تُوَاعِدُوهُنَّ سِرًّا إِلَّاۤ أَن تَقُولُوا۟ قَوۡلࣰا مَّعۡرُوفࣰاۚ وَلَا تَعۡزِمُوا۟ عُقۡدَةَ ٱلنِّكَاحِ حَتَّىٰ یَبۡلُغَ ٱلۡكِتَـٰبُ أَجَلَهُۥۚ وَٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ یَعۡلَمُ مَا فِیۤ أَنفُسِكُمۡ فَٱحۡذَرُوهُۚ وَٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ غَفُورٌ حَلِیمࣱ }[سُورَةُ البَقَرَةِ: ٢٣٥ [	235
يدرك المؤمن أن الصبر في الشدائد و المواقف الصعبة لا ينبع من ثنايا نفسه الضعيفة ، لذلك فهو يستمده دوماً من الله تعالى. 	2	} وَلَمَّا بَرَزُوا۟ لِجَالُوتَ وَجُنُودِهِۦ قَالُوا۟ رَبَّنَاۤ أَفۡرِغۡ عَلَیۡنَا صَبۡرࣰا وَثَبِّتۡ أَقۡدَامَنَا وَٱنصُرۡنَا عَلَى ٱلۡقَوۡمِ ٱلۡكَـٰفِرِینَ }[سُورَةُ البَقَرَةِ: ٢٥٠ [	250
أصحاب الهوى لا يسكتهم البرهان و الدليل ، بل يستمرون في الجدل و العناد ، و ليس على المؤمن في هذه الحالة أن يجادلهم.  اذكر آية فيها استثناء منقطع يحمل هذا المعنى ( ملاحظة : الاستثناء المنقطع هو حين يكون ما بعد حرف "إلا" (المستثنى ) من غير جنس ما قبله ( المستثنى منه )).	2	} وَمِنۡ حَیۡثُ خَرَجۡتَ فَوَلِّ وَجۡهَكَ شَطۡرَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِۚ وَحَیۡثُ مَا كُنتُمۡ فَوَلُّوا۟ وُجُوهَكُمۡ شَطۡرَهُۥ لِئَلَّا یَكُونَ لِلنَّاسِ عَلَیۡكُمۡ حُجَّةٌ إِلَّا ٱلَّذِینَ ظَلَمُوا۟ مِنۡهُمۡ فَلَا تَخۡشَوۡهُمۡ وَٱخۡشَوۡنِی وَلِأُتِمَّ نِعۡمَتِی عَلَیۡكُمۡ وَلَعَلَّكُمۡ تَهۡتَدُونَ }[سُورَةُ البَقَرَةِ: ١٥٠ [	150
اذكر كلمة من هذا الجزء تبين أن أثر الدين يظهر على صاحبه .	2	} صِبۡغَةَ ٱللَّهِ وَمَنۡ أَحۡسَنُ مِنَ ٱللَّهِ صِبۡغَةࣰۖ وَنَحۡنُ لَهُۥ عَـٰبِدُونَ }[سُورَةُ البَقَرَةِ: ١٣٨ [	138
