نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1
يجب على المسلمين الحفاظ على الدعوة والتذكير الدائم بالله وشـرعـه لإيقاظ الناس من غفلتهم، فكل أمة ينقطع عنها الإنذار لا بد وأن تقع في عتمة الضلال. اذكر آية تدل على ذلك.	36	{لِتُنذِرَ قَوْمًا مَّا أُنذِرَ آبَاؤُهُمْ فَهُمْ غَافِلُونَ}[يس:6]	6
يظن البعض أن توسيع رزقه في الدنيا هو دليل على رضا الله تعالى عنه وقربه منه. وقد نفى القرآن الكريم مرارا صحة هذا الظن، وبين أن توسيع الرزق في الدنيا ليس دليلا على رضا الله، اذكر آية تدل على ذلك.	34	{وَمَا أَمْوَالُكُمْ وَلَا أَوْلَادُكُم بِالَّتِي تُقَرِّبُكُمْ عِندَنَا زُلْفَىٰ إِلَّا مَنْ آمَنَ وَعَمِلَ صَالِحًا فَأُولَٰئِكَ لَهُمْ جَزَاءُ الضِّعْفِ بِمَا عَمِلُوا وَهُمْ فِي الْغُرُفَاتِ آمِنُونَ}[سبأ:37]	37
يَحسُـن في محاولة إقناع من هم على باطل ألا تكتفي بدعوتهم وهم في جمع، إذ يغوي بعضهم بعضا ويزايد بعضهم على بعض في القناعة بالباطل وعدم التأثر بالحق. اذكر آية تدل على هذا المعنى.	34	{ قُلْ إِنَّمَا أَعِظُكُم بِوَاحِدَةٍ ۖ أَن تَقُومُوا لِلَّهِ مَثْنَىٰ وَفُرَادَىٰ ثُمَّ تَتَفَكَّرُوا ۚ مَا بِصَاحِبِكُم مِّن جِنَّةٍ ۚ إِنْ هُوَ إِلَّا نَذِيرٌ لَّكُم بَيْنَ يَدَيْ عَذَابٍ شَدِيدٍ}[سبأ:46]	46
يتعذر بعض الشباب والفتيات في عدم انضباطهم في التعامل بأن "النوايا حسنة والقصـد شـريف". اذكر آية تجعل وجوب انضباطهم من باب الأولى والأحرى.	33	{يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَدْخُلُوا بُيُوتَ النَّبِيِّ إِلَّا أَن يُؤْذَنَ لَكُمْ إِلَىٰ طَعَامٍ غَيْرَ نَاظِرِينَ إِنَاهُ وَلَٰكِنْ إِذَا دُعِيتُمْ فَادْخُلُوا فَإِذَا طَعِمْتُمْ فَانتَشِرُوا وَلَا مُسْتَأْنِسِينَ لِحَدِيثٍ ۚ إِنَّ ذَٰلِكُمْ كَانَ يُؤْذِي النَّبِيَّ فَيَسْتَحْيِي مِنكُمْ ۖ وَاللَّهُ لَا يَسْتَحْيِي مِنَ الْحَقِّ ۚ وَإِذَا سَأَلْتُمُوهُنَّ مَتَاعًا فَاسْأَلُوهُنَّ مِن وَرَاءِ حِجَابٍ ۚ ذَٰلِكُمْ أَطْهَرُ لِقُلُوبِكُمْ وَقُلُوبِهِنَّ ۚ وَمَا كَانَ لَكُمْ أَن تُؤْذُوا رَسُولَ اللَّهِ وَلَا أَن تَنكِحُوا أَزْوَاجَهُ مِن بَعْدِهِ أَبَدًا ۚ إِنَّ ذَٰلِكُمْ كَانَ عِندَ اللَّهِ عَظِيمًا}[الأحزاب:53]	53
كم من ظالم كان يرتع في الملذات غافلا متنعما كأن الدنيا دائمة له. وفي لحظة حُرم من كل شيء: من شهوة الجنس الآخر، المال، الثياب والمراكب الفاخرة، الطرب، لذيذ الطعام والشراب. وهذا كله انقطع منه بلا عودة إليه أبدا. اذكر آية تصور هذا الحال.	34	{وَحِيلَ بَيْنَهُمْ وَبَيْنَ مَا يَشْتَهُونَ كَمَا فُعِلَ بِأَشْيَاعِهِم مِّن قَبْلُ ۚ إِنَّهُمْ كَانُوا فِي شَكٍّ مُّرِيبٍ}[سبأ : 54]	54
التفكر في خلق الله عبادة مهجورة من الكثيرين. اذكر آية فيها سـت كلمات تبيّن أنه كلما تفكر الإنسان في خلق الله زاد معرفةً بالله سبحانه وخوفاً منه.	35	{أَلَمْ تَرَ أَنَّ اللَّهَ أَنزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجْنَا بِهِ ثَمَرَاتٍ مُّخْتَلِفًا أَلْوَانُهَا ۚ وَمِنَ الْجِبَالِ جُدَدٌ بِيضٌ وَحُمْرٌ مُّخْتَلِفٌ أَلْوَانُهَا وَغَرَابِيبُ سُودٌ(27) وَمِنَ النَّاسِ وَالدَّوَابِّ وَالْأَنْعَامِ مُخْتَلِفٌ أَلْوَانُهُ كَذَٰلِكَ ۗ إِنَّمَا يَخْشَى اللَّهَ مِنْ عِبَادِهِ الْعُلَمَاءُ ۗ إِنَّ اللَّهَ عَزِيزٌ غَفُورٌ}[فاطر:27-28]	28
آية عبرت بفعـلٍ يدل على أن أهل العلم النافع يوقنون بصـحـة الوحي كما يوقنون بالمحسوسات. اذكر الكلمة الدالة على ذلك في الآية.	34	}وَيَرَى الَّذِينَ أُوتُوا الْعِلْمَ الَّذِي أُنزِلَ إِلَيْكَ مِن رَّبِّكَ هُوَ الْحَقَّ وَيَهْدِي إِلَىٰ صِرَاطِ الْعَزِيزِ الْحَمِيدِ}[سبأ:6]	6
اذكر آية فيها إشارة إلى أن أجساد الأنبياء لا يعتريها بالموت ما يعتري أجساد غيرهم من البشر.	34	{فَلَمَّا قَضَيْنَا عَلَيْهِ الْمَوْتَ مَا دَلَّهُمْ عَلَىٰ مَوْتِهِ إِلَّا دَابَّةُ الْأَرْضِ تَأْكُلُ مِنسَأَتَهُ ۖ فَلَمَّا خَرَّ تَبَيَّنَتِ الْجِنُّ أَن لَّوْ كَانُوا يَعْلَمُونَ الْغَيْبَ مَا لَبِثُوا فِي الْعَذَابِ الْمُهِينِ}[سبأ:14]	14
اذكر آية تُدلل على وظيفة هامة لزوجات النبي صلى الله عليه وسلم.	33	{وَاذْكُرْنَ مَا يُتْلَىٰ فِي بُيُوتِكُنَّ مِنْ آيَاتِ اللَّهِ وَالْحِكْمَةِ ۚ إِنَّ اللَّهَ كَانَ لَطِيفًا خَبِيرًا}[الأحزاب :34]	34
اذكر آية تُدلل على صدق رسول الله صلى الله عليه وسلم في أنه أتى بالقرآن وحيا من الله، إذ يظهر فيها عتاب للنبي صلى الله عليه وسـلم مما يؤكد أنّ القرآن الكريم هو خطاب ربٍّ لعبد.	33	{وَإِذْ تَقُولُ لِلَّذِي أَنْعَمَ اللَّهُ عَلَيْهِ وَأَنْعَمْتَ عَلَيْهِ أَمْسِكْ عَلَيْكَ زَوْجَكَ وَاتَّقِ اللَّهَ وَتُخْفِي فِي نَفْسِكَ مَا اللَّهُ مُبْدِيهِ وَتَخْشَى النَّاسَ وَاللَّهُ أَحَقُّ أَن تَخْشَاهُ ۖ فَلَمَّا قَضَىٰ زَيْدٌ مِّنْهَا وَطَرًا زَوَّجْنَاكَهَا لِكَيْ لَا يَكُونَ عَلَى الْمُؤْمِنِينَ حَرَجٌ فِي أَزْوَاجِ أَدْعِيَائِهِمْ إِذَا قَضَوْا مِنْهُنَّ وَطَرًا ۚ وَكَانَ أَمْرُ اللَّهِ مَفْعُولًا}[الأحزاب:37]	37
