نص السؤال 	رقم السورة 	رقم الآية 	رقم آية1	رقم آية2
اذكر آية تُقرأ فيها كلمة بزيادة ألف في قراءة صحيحة، بما يثبت قلوب المؤمنين.	39	}أَلَیۡسَ ٱللَّهُ بِكَافٍ عَبۡدَهُۥۖ وَیُخَوِّفُونَكَ بِٱلَّذِینَ مِن دُونِهِۦۚ وَمَن یُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِنۡ هَادࣲ }[سُورَةُ الزُّمَرِ: ٣٦ [	36	
اذكر جزءاً من آية (4 كلمات) فيه نكليف و ضمان، بحيث على قدر تذلّلك لله و خضوعك و طاعتك و محبتك له، فإنه سبحانه بتولى أمرك بما يغنيك عمن سواه و يحفظك ممن سواه 	39	}أَلَیۡسَ ٱللَّهُ بِكَافٍ عَبۡدَهُۥۖ وَیُخَوِّفُونَكَ بِٱلَّذِینَ مِن دُونِهِۦۚ وَمَن یُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِنۡ هَادࣲ }[سُورَةُ الزُّمَرِ: ٣٦ [	36	
اذكر خمس كلمات من آية كريمة تُظهر مدى حرص الأنبياء على هداية أقوامهم بحيث لا يتركون وسيلة يُتَوسل بها ألى هدايتهم إلا اتخذوها.	41	{إِذۡ جَاۤءَتۡهُمُ ٱلرُّسُلُ مِنۢ بَیۡنِ أَیۡدِیهِمۡ وَمِنۡ خَلۡفِهِمۡ أَلَّا تَعۡبُدُوۤا۟ إِلَّا ٱللَّهَۖ قَالُوا۟ لَوۡ شَاۤءَ رَبُّنَا لَأَنزَلَ مَلَـٰۤىِٕكَةࣰ فَإِنَّا بِمَاۤ أُرۡسِلۡتُم بِهِۦ كَـٰفِرُونَ }[سُورَةُ فُصِّلَتۡ: ١٤ [	14	
اذكر ثلاث كلمات من آية تدل على أن إظهار العدل المطلق يكون في الآخرة 	40	{ٱلۡیَوۡمَ تُجۡزَىٰ كُلُّ نَفۡسِۭ بِمَا كَسَبَتۡۚ لَا ظُلۡمَ ٱلۡیَوۡمَۚ إِنَّ ٱللَّهَ سَرِیعُ ٱلۡحِسَابِ }[سُورَةُ غَافِرٍ: ١٧ [	17	
يرجو أحدنا لقاء النبي يوم القيامة ليقبل يده و يقول له :" جزاك الله عنا خيراً "، بينما يتمنى أهل الباطل أن يروا سادتهم الذين يعظمونهم اليوم ليفعلوا بهم شيئاً مضاداً تماماً عُبر عنه بست كلمات ، فما هي ؟	41	{وَقَالَ ٱلَّذِینَ كَفَرُوا۟ رَبَّنَاۤ أَرِنَا ٱلَّذَیۡنِ أَضَلَّانَا مِنَ ٱلۡجِنِّ وَٱلۡإِنسِ نَجۡعَلۡهُمَا تَحۡتَ أَقۡدَامِنَا لِیَكُونَا مِنَ ٱلۡأَسۡفَلِینَ }[سُورَةُ فُصِّلَتۡ: ٢٩ [	29	
أربع كلمات تدل على أن كل شيء دون الله هو من صنعه ، و فيها ردٌ على الفلاسفة القائلين بقِدَم الأرض و السماوات (أي أزليتهما ) . اذكر هذه الكلمات الأربعة .	39	{ ٱللَّهُ خَـٰلِقُ كُلِّ شَیۡءࣲۖ وَهُوَ عَلَىٰ كُلِّ شَیۡءࣲ وَكِیلࣱ }[سُورَةُ الزُّمَرِ: ٦٢]	62	
في الحديث القدسي الصحيح :( أنا عند ظن عبدي بي ).  فحسن الظن أو سوء الظن بالله يترتب عليه عمل ينجي صاحبه أو يهلكه . اذكر جزءاً من آية،  ثماني كلمات ، تبين سوء ظن أتبعه الله ببيان أنه أهلك أصحابه .	41	{وَمَا كُنتُمۡ تَسۡتَتِرُونَ أَن یَشۡهَدَ عَلَیۡكُمۡ سَمۡعُكُمۡ وَلَاۤ أَبۡصَـٰرُكُمۡ وَلَا جُلُودُكُمۡ وَلَـٰكِن ظَنَنتُمۡ أَنَّ ٱللَّهَ لَا یَعۡلَمُ كَثِیرࣰا مِّمَّا تَعۡمَلُونَ (٢٢) وَذَ ٰ⁠لِكُمۡ ظَنُّكُمُ ٱلَّذِی ظَنَنتُم بِرَبِّكُمۡ أَرۡدَىٰكُمۡ فَأَصۡبَحۡتُم مِّنَ ٱلۡخَـٰسِرِینَ (٢٣) }[سُورَةُ فُصِّلَتۡ: ٢٢-٢٣ [	22	23
علو الله سبحانه أمر عقدي موجود في كل الشرائع و جاءت به الرسل . في قصة موسى عليه السلام ما يدل على ذلك في آيتين متتاليتين تكررت فيهما كلمة معرفة مرة و نكرة مرة . ما هي الكلمة دون ( ال ) التعريف ؟	40	{وَقَالَ فِرۡعَوۡنُ یَـٰهَـٰمَـٰنُ ٱبۡنِ لِی صَرۡحࣰا لَّعَلِّیۤ أَبۡلُغُ ٱلۡأَسۡبَـٰبَ (٣٦) أَسۡبَـٰبَ ٱلسَّمَـٰوَ ٰ⁠تِ فَأَطَّلِعَ إِلَىٰۤ إِلَـٰهِ مُوسَىٰ وَإِنِّی لَأَظُنُّهُۥ كَـٰذِبࣰاۚ وَكَذَ ٰ⁠لِكَ زُیِّنَ لِفِرۡعَوۡنَ سُوۤءُ عَمَلِهِۦ وَصُدَّ عَنِ ٱلسَّبِیلِۚ وَمَا كَیۡدُ فِرۡعَوۡنَ إِلَّا فِی تَبَابࣲ (٣٧) }[سُورَةُ غَافِرٍ: ٣٦-٣٧ [	36	37
خُلُقٌ كريم استُخدم معه حرف يدل على الحدوث الفوري لما بعده . اذكر هذا الحرف .	41	{وَلَا تَسۡتَوِی ٱلۡحَسَنَةُ وَلَا ٱلسَّیِّئَةُۚ ٱدۡفَعۡ بِٱلَّتِی هِیَ أَحۡسَنُ فَإِذَا ٱلَّذِی بَیۡنَكَ وَبَیۡنَهُۥ عَدَ ٰ⁠وَةࣱ كَأَنَّهُۥ وَلِیٌّ حَمِیمࣱ }[سُورَةُ فُصِّلَتۡ: ٣٤ [	34	
أورد بعض المفسرين ما يُعرف بقصة الغرانيق،  و ذلك عند تفسيرهم لقوله تعالى :{ وَمَاۤ أَرۡسَلۡنَا مِن قَبۡلِكَ مِن رَّسُولࣲ وَلَا نَبِیٍّ إِلَّاۤ إِذَا تَمَنَّىٰۤ أَلۡقَى ٱلشَّیۡطَـٰنُ فِیۤ أُمۡنِیَّتِهِۦ فَیَنسَخُ ٱللَّهُ مَا یُلۡقِی ٱلشَّیۡطَـٰنُ ثُمَّ یُحۡكِمُ ٱللَّهُ ءَایَـٰتِهِۦۗ وَٱللَّهُ عَلِیمٌ حَكِیمࣱ }[سُورَةُ الحَجِّ: ٥٢]، و اقصة تزعم أن رسول الله قرأ يوما بمكة سورة النجم ، حتى إذا ما وصل موضع { أَفَرَءَیۡتُمُ ٱللَّـٰتَ وَٱلۡعُزَّىٰ (١٩) وَمَنَوٰةَ ٱلثَّالِثَةَ ٱلۡأُخۡرَىٰۤ (٢٠) } ألقى الشيطان على لسانه أو في سكتته :( تلك الغرانيق العلى و إن شفاعتهن لترتجى ) . و قد بين علماء الحديث بطلان هذه القصة سندا و متنت . و من وجوه بطلانها أن الله عز وجل شاء بحكمته و رحمته أن يبقى وحيه نقيا صافيا { لِّیَهۡلِكَ مَنۡ هَلَكَ عَنۢ بَیِّنَةࣲ وَیَحۡیَىٰ مَنۡ حَیَّ عَنۢ بَیِّنَةࣲۗ }[سُورَةُ الأَنفَالِ: ٤٢]. بينما لو وقعت القصة للزم منها التباس الحق بالباطل في الوحي . اذكر آية من هذا الجزء تبين أن القرآن -عدا عن حفظه في ذاته- فإنه لا يمكن أن يختلط بزور أو أي شيء غير الحق.	41	{ لَّا یَأۡتِیهِ ٱلۡبَـٰطِلُ مِنۢ بَیۡنِ یَدَیۡهِ وَلَا مِنۡ خَلۡفِهِۦۖ تَنزِیلࣱ مِّنۡ حَكِیمٍ حَمِیدࣲ }[سُورَةُ فُصِّلَتۡ: ٤٢]	42	
