نص السؤال	رقم السورة	رقم الآية	رقم آية1	رقم آية2
اذكر آية قد يستدل بها المستدل الخطأً على عدم وجود أية بقية من دعوة الرسل عليهم السلام لدى المشركين في عهد النبي.	46	{قُلْ أَرَأَيْتُم مَّا تَدْعُونَ مِن دُونِ اللَّهِ أَرُونِي مَاذَا خَلَقُوا مِنَ الْأَرْضِ أَمْ لَهُمْ شِرْكٌ فِي السَّمَاوَاتِ ۖ ائْتُونِي بِكِتَابٍ مِّن قَبْلِ هَٰذَا أَوْ أَثَارَةٍ مِّنْ عِلْمٍ إِن كُنتُمْ صَادِقِينَ} [سُورَةُ الأَحۡقَافِ: ٤ [	4	
ليس شرطا أن ينطبق النص في الكافرين أو المنافقين بكامل جزئياته على أحدنا حتى يشعر أنه يخاطبه. و بالتالي فإذا قرأ قارئ آيات تصف الكافرين أو المنافقين وأحس بدايو بإنطباق الصفات عليه ثم جاءت صفة في الآيات لا تنطبق عليه فلا ينبغي أن يشعره ذلك أن الآيات لا تعنيه. بل له وعيد من تحُّقق اسم النفاق فيه بقدر انطباق الآيات عليه، وله من الإيمان بقدر مخالفتها لحاله. اذكر آية يمكن الاستدلال بها على مسلم متنعّم بالرغم من ذكر الكثير من المعاصي فيها، بل واستدل بها أحد الصحابة 	46	{وَيَوْمَ يُعْرَضُ الَّذِينَ كَفَرُوا عَلَى النَّارِ أَذْهَبْتُمْ طَيِّبَاتِكُمْ فِي حَيَاتِكُمُ الدُّنْيَا وَاسْتَمْتَعْتُم بِهَا فَالْيَوْمَ تُجْزَوْنَ عَذَابَ الْهُونِ بِمَا كُنتُمْ تَسْتَكْبِرُونَ فِي الْأَرْضِ بِغَيْرِ الْحَقِّ وَبِمَا كُنتُمْ تَفْسُقُونَ}[سُورَةُ الأَحۡقَافِ: ٢٠]	20	
آية بمعنى قوله تعالى: {وَإِذَا قَرَأْتَ الْقُرْآنَ جَعَلْنَا بَيْنَكَ وَبَيْنَ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ حِجَابًا مَّسْتُورًا (45) وَجَعَلْنَا عَلَىٰ قُلُوبِهِمْ أَكِنَّةً أَن يَفْقَهُوهُ وَفِي آذَانِهِمْ وَقْرًا ۚ وَإِذَا ذَكَرْتَ رَبَّكَ فِي الْقُرْآنِ وَحْدَهُ وَلَّوْا عَلَىٰ أَدْبَارِهِمْ نُفُورًا (46)} [الإسراء : 45-46]	47	{وَمِنْهُم مَّن يَسْتَمِعُ إِلَيْكَ حَتَّىٰ إِذَا خَرَجُوا مِنْ عِندِكَ قَالُوا لِلَّذِينَ أُوتُوا الْعِلْمَ مَاذَا قَالَ آنِفًا ۚ أُولَٰئِكَ الَّذِينَ طَبَعَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَاتَّبَعُوا أَهْوَاءَهُمْ} [سُورَةُ مُحَمَّدٍ: ١٦]	16	
اذكر آيتين بمعنى قوله تعالى: {وَإِنْ أَطَعْتُمُوهُمْ إِنَّكُمْ لَمُشْرِكُونَ} [الأنعام : 121] 	47	{إِنَّ الَّذِينَ ارْتَدُّوا عَلَىٰ أَدْبَارِهِم مِّن بَعْدِ مَا تَبَيَّنَ لَهُمُ الْهُدَى ۙ الشَّيْطَانُ سَوَّلَ لَهُمْ وَأَمْلَىٰ لَهُمْ (25) ذَٰلِكَ بِأَنَّهُمْ قَالُوا لِلَّذِينَ كَرِهُوا مَا نَزَّلَ اللَّهُ سَنُطِيعُكُمْ فِي بَعْضِ الْأَمْرِ ۖ وَاللَّهُ يَعْلَمُ إِسْرَارَهُمْ (26)} [سُورَةُ مُحَمَّدٍ: ٢٥-٢٦]	25	26
يتعامل البعض مع سير الصحابة وكأنهم معصومون لا يخطئون. ومثل هذا يسهل عليهم تشكيكه في الصحابة. اذكر آية تدل على أنه لولا لطف الله بالصحابة في التكاليف الشرعية لبدر منهم ما يفسد دينهم.	47	{إِن يَسْأَلْكُمُوهَا فَيُحْفِكُمْ تَبْخَلُوا وَيُخْرِجْ أَضْغَانَكُمْ} [سُورَةُ مُحَمَّدٍ: ٣٧]	37	
عند الشدائد تتكشف الحقائق، وتظهر مُخبَّآت النفوس، فيتهاوى أقوام، اذكر آية تدل على هذا المعنى	47	{أَمْ حَسِبَ الَّذِينَ فِي قُلُوبِهِم مَّرَضٌ أَن لَّن يُخْرِجَ اللَّهُ أَضْغَانَهُمْ} [سُورَةُ مُحَمَّدٍ: ٢٩]	29	
آية فيها ذكر من يتعظ من الخلق بفعل الله في الأقوام السابقة. أفاد حرف (أو) فيها تباين هؤلاء المتعظين على مرتبتين إحداهما خير من الأخرى وإن كانوا جميعا ممدوحين. اذكر هذه الآية.	50	{إِنَّ فِي ذَٰلِكَ لَذِكْرَىٰ لِمَن كَانَ لَهُ قَلْبٌ أَوْ أَلْقَى السَّمْعَ وَهُوَ شَهِيدٌ} [سُورَةُ قٓ: ٣٧]	37	
كلمة دلّت على خُلُق نبيٍ كريم في تعامله مع ضيوفه، بحيث لم يشعرهم بالحرج حين أراد الله أن يضيفهم. ماهي هذه الكلمة 	51	 }فَرَاغَ إِلَىٰۤ أَهۡلِهِۦ فَجَاۤءَ بِعِجۡلࣲ سَمِینࣲ }[سُورَةُ الذَّارِيَاتِ: ٢٦ [	26	
لو شاء الله لأهلك الكافرين المعادين لحدود الله و لرسوله وللمؤمنين بكلمة منه، بل لَمَا خلقهم أصلا، لكنه سبحانه بيّن حكمته من وجودهم ومحاربتهم. اذكر آية توضح ذلك المعنى. 	47	{فَإِذَا لَقِيتُمُ الَّذِينَ كَفَرُوا فَضَرْبَ الرِّقَابِ حَتَّىٰ إِذَا أَثْخَنتُمُوهُمْ فَشُدُّوا الْوَثَاقَ فَإِمَّا مَنًّا بَعْدُ وَإِمَّا فِدَاءً حَتَّىٰ تَضَعَ الْحَرْبُ أَوْزَارَهَا ۚ ذَٰلِكَ وَلَوْ يَشَاءُ اللَّهُ لَانتَصَرَ مِنْهُمْ وَلَٰكِن لِّيَبْلُوَ بَعْضَكُم بِبَعْضٍ ۗ وَالَّذِينَ قُتِلُوا فِي سَبِيلِ اللَّهِ فَلَن يُضِلَّ أَعْمَالَهُمْ} [سُورَةُ مُحَمَّدٍ: ٤ [	4	
قال الله تعالى : { أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ هَدَى ٱللَّهُۖ فَبِهُدَىٰهُمُ ٱقۡتَدِهۡۗ قُل لَّاۤ أَسۡـَٔلُكُمۡ عَلَیۡهِ أَجۡرًاۖ إِنۡ هُوَ إِلَّا ذِكۡرَىٰ لِلۡعَـٰلَمِینَ }[سُورَةُ الأَنۡعَامِ: ٩٠] ، فكل إنسان يحتاج إلى قدوة ، حتى الرسول الكريم محمد ﷺ مأمور بالاقتداء . اذكر آية كريمة وافقت هذا المعنى . 	46	{ فَٱصۡبِرۡ كَمَا صَبَرَ أُو۟لُوا۟ ٱلۡعَزۡمِ مِنَ ٱلرُّسُلِ }[سُورَةُ الأَحۡقَافِ: ٣٥]	35	
