نص السؤال	رقم السورة 	رقم الآية	رقم آية1	رقم آية2
من الناس من يحس أن مخالطته لإخوانه المسلمين تعرضه لمواقف تقلل من جاهه وتنتقص من هيبته، مع أن هذه المواقف ليس فيها منكر. اذكر آية تذكره بها.	58	{ یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوۤا۟ إِذَا قِیلَ لَكُمۡ تَفَسَّحُوا۟ فِی ٱلۡمَجَـٰلِسِ فَٱفۡسَحُوا۟ یَفۡسَحِ ٱللَّهُ لَكُمۡۖ وَإِذَا قِیلَ ٱنشُزُوا۟ فَٱنشُزُوا۟ یَرۡفَعِ ٱللَّهُ ٱلَّذِینَ ءَامَنُوا۟ مِنكُمۡ وَٱلَّذِینَ أُوتُوا۟ ٱلۡعِلۡمَ دَرَجَـٰتࣲۚ وَٱللَّهُ بِمَا تَعۡمَلُونَ خَبِیرࣱ }[سُورَةُ المُجَادلَةِ: ١١]	11	
اذكر آية فيها أن المؤمن يدرك يوم القيامة أنه قصّر، إذ كان بإمكانه أن يشتري بعمره منزلة أعلى في الجنة ويعمل من الأعنال الصالحة، علما بأن هذا المعنى هو في كلمة من الآية.	64	{یَوۡمَ یَجۡمَعُكُمۡ لِیَوۡمِ ٱلۡجَمۡعِۖ ذَ ٰ⁠لِكَ یَوۡمُ ٱلتَّغَابُنِۗ وَمَن یُؤۡمِنۢ بِٱللَّهِ وَیَعۡمَلۡ صَـٰلِحࣰا یُكَفِّرۡ عَنۡهُ سَیِّـَٔاتِهِۦ وَیُدۡخِلۡهُ جَنَّـٰتࣲ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ خَـٰلِدِینَ فِیهَاۤ أَبَدࣰاۚ ذَ ٰ⁠لِكَ ٱلۡفَوۡزُ ٱلۡعَظِیمُ }[سُورَةُ التَّغَابُنِ: ٩ [	9	
اذكر آية تبين أن دور النبي ليس مقتصراً على تلاوة القرآن.	62	{هُوَ ٱلَّذِی بَعَثَ فِی ٱلۡأُمِّیِّـۧنَ رَسُولࣰا مِّنۡهُمۡ یَتۡلُوا۟ عَلَیۡهِمۡ ءَایَـٰتِهِۦ وَیُزَكِّیهِمۡ وَیُعَلِّمُهُمُ ٱلۡكِتَـٰبَ وَٱلۡحِكۡمَةَ وَإِن كَانُوا۟ مِن قَبۡلُ لَفِی ضَلَـٰلࣲ مُّبِینࣲ }[سُورَةُ الجُمُعَةِ: ٢ [	2	
كثير من الناس يفعل المعصية وينتظر نقصا في رزقه او معكرا يصيبه، فإن لم يحصل اطمأن وتابع معصيته. ومن أسباب الانحراف في هذه النفسية قلة التفكير في الآخرة والنظر إلى الدنيا كأنها دار جزاء، وقلة إيمان بصفات الله، حيث يغيب عن هذا الإنسان أن الله تعالى حكيم ليس كالبشر الذين يستخفّهم الغضب، وهو تعالى حليم لا يعاجل بالعقوبة. اذكر آية تتكلم عن مثل هذه النفسية.	58	{أَلَمۡ تَرَ إِلَى ٱلَّذِینَ نُهُوا۟ عَنِ ٱلنَّجۡوَىٰ ثُمَّ یَعُودُونَ لِمَا نُهُوا۟ عَنۡهُ وَیَتَنَـٰجَوۡنَ بِٱلۡإِثۡمِ وَٱلۡعُدۡوَ ٰ⁠نِ وَمَعۡصِیَتِ ٱلرَّسُولِۖ وَإِذَا جَاۤءُوكَ حَیَّوۡكَ بِمَا لَمۡ یُحَیِّكَ بِهِ ٱللَّهُ وَیَقُولُونَ فِیۤ أَنفُسِهِمۡ لَوۡلَا یُعَذِّبُنَا ٱللَّهُ بِمَا نَقُولُۚ حَسۡبُهُمۡ جَهَنَّمُ یَصۡلَوۡنَهَاۖ فَبِئۡسَ ٱلۡمَصِیرُ }[سُورَةُ المُجَادلَةِ: ٨ [	8	
يتسبب بعضنا في إحزان إخوانه المسلمين بلغته السلبية، علما بأن إدخال الحزن عليهم من مقاصد الشيطان. اذكر آية تدل على ذلك.	58	{ إِنَّمَا ٱلنَّجۡوَىٰ مِنَ ٱلشَّیۡطَـٰنِ لِیَحۡزُنَ ٱلَّذِینَ ءَامَنُوا۟ وَلَیۡسَ بِضَاۤرِّهِمۡ شَیۡـًٔا إِلَّا بِإِذۡنِ ٱللَّهِۚ وَعَلَى ٱللَّهِ فَلۡیَتَوَكَّلِ ٱلۡمُؤۡمِنُونَ }[سُورَةُ المُجَادلَةِ: ١٠]	10	
من المسلمين من يحس بأن أحكام الولاء والبراء في التعامل مع صديقه أو قريبه من غير المسلمين ثقيلة عليه وأنها تنافر "حسه المرهف" المحب للإنسانية. اذكر آية تبين بها لهؤلاء أن الاستقامة على أمر الله مدعاة لحصول ما يحبونه من حسن علاقة بالناس، لكن مع اجتماع على الحق.	60	{ ۞ عَسَى ٱللَّهُ أَن یَجۡعَلَ بَیۡنَكُمۡ وَبَیۡنَ ٱلَّذِینَ عَادَیۡتُم مِّنۡهُم مَّوَدَّةࣰۚ وَٱللَّهُ قَدِیرࣱۚ وَٱللَّهُ غَفُورࣱ رَّحِیمࣱ }[سُورَةُ المُمۡتَحنَةِ: ٧]	7	
اذكر آيتين تتكلمان عمن ديدنهم الانحياز إلى الأقوى بغض النظر أهو على حق أم على باطل	59	{ ۞ أَلَمۡ تَرَ إِلَى ٱلَّذِینَ نَافَقُوا۟ یَقُولُونَ لِإِخۡوَ ٰ⁠نِهِمُ ٱلَّذِینَ كَفَرُوا۟ مِنۡ أَهۡلِ ٱلۡكِتَـٰبِ لَىِٕنۡ أُخۡرِجۡتُمۡ لَنَخۡرُجَنَّ مَعَكُمۡ وَلَا نُطِیعُ فِیكُمۡ أَحَدًا أَبَدࣰا وَإِن قُوتِلۡتُمۡ لَنَنصُرَنَّكُمۡ وَٱللَّهُ یَشۡهَدُ إِنَّهُمۡ لَكَـٰذِبُونَ (١١) لَىِٕنۡ أُخۡرِجُوا۟ لَا یَخۡرُجُونَ مَعَهُمۡ وَلَىِٕن قُوتِلُوا۟ لَا یَنصُرُونَهُمۡ وَلَىِٕن نَّصَرُوهُمۡ لَیُوَلُّنَّ ٱلۡأَدۡبَـٰرَ ثُمَّ لَا یُنصَرُونَ (١٢) }[سُورَةُ الحَشۡرِ: ١١-١٢]	11	12
اذكر آية بمعنى قول الله تعالى: {ثُمَّ قَسَتْ قُلُوبُكُم مِّن بَعْدِ ذَٰلِكَ فَهِيَ كَالْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةً}[البقرة:74].	59	{ لَوۡ أَنزَلۡنَا هَـٰذَا ٱلۡقُرۡءَانَ عَلَىٰ جَبَلࣲ لَّرَأَیۡتَهُۥ خَـٰشِعࣰا مُّتَصَدِّعࣰا مِّنۡ خَشۡیَةِ ٱللَّهِۚ وَتِلۡكَ ٱلۡأَمۡثَـٰلُ نَضۡرِبُهَا لِلنَّاسِ لَعَلَّهُمۡ یَتَفَكَّرُونَ }[سُورَةُ الحَشۡرِ: ٢١]	21	
فِي الْحَدِيث الذي صححه بعض أهل العلم عن النبي ﷺ و أوقفه آخرون على علي رضي الله عنه : " أحبِبْ حَبيبَكَ هَوْناً مَا ، فَعَسَى أَنْ يكونَ بَغيضَكَ يَوْماً مَا . وأبغِض بغيضَك هَوْناً مَا ، فَعَسَى أَن يكونَ حَبِيبَكَ يَوْماً مَا" . اذكر آية فيها معنى الشطر الثاني من هذا الحديث .	60	{ ۞ عَسَى ٱللَّهُ أَن یَجۡعَلَ بَیۡنَكُمۡ وَبَیۡنَ ٱلَّذِینَ عَادَیۡتُم مِّنۡهُم مَّوَدَّةࣰۚ وَٱللَّهُ قَدِیرࣱۚ وَٱللَّهُ غَفُورࣱ رَّحِیمࣱ }[سُورَةُ المُمۡتَحنَةِ: ٧]	7	
صحبة الصالحين خير كبي  لمن تأثر بهم . أما من آثر البقاء على حال الضلال فلا نفع له من تلك الصحبة . اذكر ست كلمات من آية تدل على هذا المعنى. 	66	{ضَرَبَ ٱللَّهُ مَثَلࣰا لِّلَّذِینَ كَفَرُوا۟ ٱمۡرَأَتَ نُوحࣲ وَٱمۡرَأَتَ لُوطࣲۖ كَانَتَا تَحۡتَ عَبۡدَیۡنِ مِنۡ عِبَادِنَا صَـٰلِحَیۡنِ فَخَانَتَاهُمَا فَلَمۡ یُغۡنِیَا عَنۡهُمَا مِنَ ٱللَّهِ شَیۡـࣰٔا وَقِیلَ ٱدۡخُلَا ٱلنَّارَ مَعَ ٱلدَّ ٰ⁠خِلِینَ }[سُورَةُ التَّحۡرِيمِ: ١٠ [	10	
