نص السؤال 	رقم السورة 	رقم الآية 		
هناك جملة معترضة في آية ، اعتراضها يدل على أن الله يعجب فيها من الضلال الذي يَصِلُ إليه من حُرم من هداية الله و توفيقه ، بحيث يقول أقوالاً لا يقولها عاقل، تدل على استهانة بصفات الله . اذكر هذه الآية و الجملة المعترضة فيها .	3	{وَقَالَت طَّاۤىِٕفَةࣱ مِّنۡ أَهۡلِ ٱلۡكِتَـٰبِ ءَامِنُوا۟ بِٱلَّذِیۤ أُنزِلَ عَلَى ٱلَّذِینَ ءَامَنُوا۟ وَجۡهَ ٱلنَّهَارِ وَٱكۡفُرُوۤا۟ ءَاخِرَهُۥ لَعَلَّهُمۡ یَرۡجِعُونَ (٧٢) وَلَا تُؤۡمِنُوۤا۟ إِلَّا لِمَن تَبِعَ دِینَكُمۡ قُلۡ إِنَّ ٱلۡهُدَىٰ هُدَى ٱللَّهِ أَن یُؤۡتَىٰۤ أَحَدࣱ مِّثۡلَ مَاۤ أُوتِیتُمۡ أَوۡ یُحَاۤجُّوكُمۡ عِندَ رَبِّكُمۡۗ قُلۡ إِنَّ ٱلۡفَضۡلَ بِیَدِ ٱللَّهِ یُؤۡتِیهِ مَن یَشَاۤءُ وَٱللَّهُ وَ ٰ⁠سِعٌ عَلِیمࣱ (٧٣) }[سُورَةُ آلِ عِمۡرَانَ: ٧٢-٧٣ [	72	73
الأصل في العلم أن يُحدِثَ تواضعاً للحق و أُلْفَةً بين الناس ، لكن من الناس من اتخذوه سبباً لاختلاف و مادة للتحاسد و التظالم ، فعلوا بعكس مقصده . اذكر آية بهذا المعنى 	3	{ إِنَّ ٱلدِّینَ عِندَ ٱللَّهِ ٱلۡإِسۡلَـٰمُۗ وَمَا ٱخۡتَلَفَ ٱلَّذِینَ أُوتُوا۟ ٱلۡكِتَـٰبَ إِلَّا مِنۢ بَعۡدِ مَا جَاۤءَهُمُ ٱلۡعِلۡمُ بَغۡیَۢا بَیۡنَهُمۡۗ وَمَن یَكۡفُرۡ بِـَٔایَـٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِیعُ ٱلۡحِسَابِ }[سُورَةُ آلِ عِمۡرَانَ: ١٩]	19	
إذا ضحى المسلم في سبيل دينه و بذل له الغالي و النفيس موقناً و مصدقاً بالجزاء فإن ذلك يزيده تمسكاً بدينه و ثباتاً عليه . اذكر ثلاث كلمات من آية تدل على ذلك .	2	{وَمَثَلُ ٱلَّذِینَ یُنفِقُونَ أَمۡوَ ٰ⁠لَهُمُ ٱبۡتِغَاۤءَ مَرۡضَاتِ ٱللَّهِ وَتَثۡبِیتࣰا مِّنۡ أَنفُسِهِمۡ كَمَثَلِ جَنَّةِۭ بِرَبۡوَةٍ أَصَابَهَا وَابِلࣱ فَـَٔاتَتۡ أُكُلَهَا ضِعۡفَیۡنِ فَإِن لَّمۡ یُصِبۡهَا وَابِلࣱ فَطَلࣱّۗ وَٱللَّهُ بِمَا تَعۡمَلُونَ بَصِیرٌ }[سُورَةُ البَقَرَةِ: ٢٦٥ [	265	
عادة ما يُخَذِّلُ الشيطان عن طاعة الله بالتخويف من عواقب هذه الطاعة . اذكر آية تدل على ذلك .	2	{ ٱلشَّیۡطَـٰنُ یَعِدُكُمُ ٱلۡفَقۡرَ وَیَأۡمُرُكُم بِٱلۡفَحۡشَاۤءِۖ وَٱللَّهُ یَعِدُكُم مَّغۡفِرَةࣰ مِّنۡهُ وَفَضۡلࣰاۗ وَٱللَّهُ وَ ٰ⁠سِعٌ عَلِیمࣱ }[سُورَةُ البَقَرَةِ: ٢٦٨]	268	
القرآن يعمل على تطهير القلي من خواطر السوء ، و ذلك باستمرار أن الله مطلع على ما يجول فيه ، فمستحيل العبد أن يرى اللهُ قلبَه محلاً لتفكير رديء . اذكر آية تُنمّي هذه الرقابة .	3	{ قُلۡ إِن تُخۡفُوا۟ مَا فِی صُدُورِكُمۡ أَوۡ تُبۡدُوهُ یَعۡلَمۡهُ ٱللَّهُۗ وَیَعۡلَمُ مَا فِی ٱلسَّمَـٰوَ ٰ⁠تِ وَمَا فِی ٱلۡأَرۡضِۗ وَٱللَّهُ عَلَىٰ كُلِّ شَیۡءࣲ قَدِیرࣱ }[سُورَةُ آلِ عِمۡرَانَ: ٢٩]	29	
يحلف بعض التجار أيماناً كاذبة أن البضاعة عليه بكذا أو دُفع فيها كذا،  و لا يدري أن الله -تعالى- هَدَّدَ من يفعل ذلك بآية . اذكرها .	3	{ إِنَّ ٱلَّذِینَ یَشۡتَرُونَ بِعَهۡدِ ٱللَّهِ وَأَیۡمَـٰنِهِمۡ ثَمَنࣰا قَلِیلًا أُو۟لَـٰۤىِٕكَ لَا خَلَـٰقَ لَهُمۡ فِی ٱلۡـَٔاخِرَةِ وَلَا یُكَلِّمُهُمُ ٱللَّهُ وَلَا یَنظُرُ إِلَیۡهِمۡ یَوۡمَ ٱلۡقِیَـٰمَةِ وَلَا یُزَكِّیهِمۡ وَلَهُمۡ عَذَابٌ أَلِیمࣱ }[سُورَةُ آلِ عِمۡرَانَ: ٧٧]	77	
إحدى الأخوات الفاضلات حَثّت معارفها على التبرع بما لديهم من ملابس زائدة لتعطيها للفقراء . فجاءتها تبرعات من ناس أغنياء بملابس متسخة ما كانوا ليحبوا مثلها لهم . اذكر آية يَحْسُنُ أن تخاطب بها الاختُ هؤلاء لتنبيههم على خطئهم .	2	{یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوۤا۟ أَنفِقُوا۟ مِن طَیِّبَـٰتِ مَا كَسَبۡتُمۡ وَمِمَّاۤ أَخۡرَجۡنَا لَكُم مِّنَ ٱلۡأَرۡضِۖ وَلَا تَیَمَّمُوا۟ ٱلۡخَبِیثَ مِنۡهُ تُنفِقُونَ وَلَسۡتُم بِـَٔاخِذِیهِ إِلَّاۤ أَن تُغۡمِضُوا۟ فِیهِۚ وَٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ غَنِیٌّ حَمِیدٌ }[سُورَةُ البَقَرَةِ: ٢٦٧ [	267	
تصور نفسك تكاد تهوي في وادٍ ، فجاء من ينقذك و أنت تخاف أن تكون عقدته مرتخية الشد ، و لكنك وجدت الحبل منعقداً بإحكام . اذكر آية تُذَكِّرُك  بهذه الصورة و تطمئن المؤمن .	2	{لَاۤ إِكۡرَاهَ فِی ٱلدِّینِۖ قَد تَّبَیَّنَ ٱلرُّشۡدُ مِنَ ٱلۡغَیِّۚ فَمَن یَكۡفُرۡ بِٱلطَّـٰغُوتِ وَیُؤۡمِنۢ بِٱللَّهِ فَقَدِ ٱسۡتَمۡسَكَ بِٱلۡعُرۡوَةِ ٱلۡوُثۡقَىٰ لَا ٱنفِصَامَ لَهَاۗ وَٱللَّهُ سَمِیعٌ عَلِیمٌ }[سُورَةُ البَقَرَةِ: ٢٥٦ [	256	
إذا مَنع العبدُ حق الله و حق عباده ، فإن الله يقسّي -عليه قلوب عباده و يلقي عليه الكراهية بين الناس . اذكر جزءاً من آية يشير إلى هذا المعنى .	2	{وَمَاۤ أَنفَقۡتُم مِّن نَّفَقَةٍ أَوۡ نَذَرۡتُم مِّن نَّذۡرࣲ فَإِنَّ ٱللَّهَ یَعۡلَمُهُۥۗ وَمَا لِلظَّـٰلِمِینَ مِنۡ أَنصَارٍ }[سُورَةُ البَقَرَةِ: ٢٧٠ [	270	
مَن أنعم الله عليه بعلم أو مهارة يحتاجها الناس ينبغي ألا يمنعها عنهم ، فهذا من تمام شكر النعمة . اذكر جزءاً من آية فيه إشارة إلى ذلك .	2	{ وَلَا یَأۡبَ كَاتِبٌ أَن یَكۡتُبَ كَمَا عَلَّمَهُ ٱللَّهُۚ }[سُورَةُ البَقَرَةِ: ٢٨٢]	282	
