نص السؤال	رقم السورة	رقم الآية	رقم آية1	رقم آية2	رقم آية3
اذكر كلمة من آية يستدل بها على أن منزلة المؤمنين عند الله يوم القيامة أعظم من منزلة الملائكة.	98	{إِنَّ ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ أُو۟لَـٰۤىِٕكَ هُمۡ خَیۡرُ ٱلۡبَرِیَّةِ }[سُورَةُ البَيِّنَةِ: ٧ [	7		
في محاولات التوفيق بين الإسلام وخرافة التطوير يستدل البعض بقول الله تعالى:{ذَٰلِكَ عَالِمُ الْغَيْبِ وَالشَّهَادَةِ الْعَزِيزُ الرَّحِيمُ (6) الَّذِي أَحْسَنَ كُلَّ شَيْءٍ خَلَقَهُ ۖ وَبَدَأَ خَلْقَ الْإِنسَانِ مِن طِينٍ (7) ثُمَّ جَعَلَ نَسْلَهُ مِن سُلَالَةٍ مِّن مَّاءٍ مَّهِينٍ (8) ثُمَّ سَوَّاهُ وَنَفَخَ فِيهِ مِن رُّوحِهِ} [السجدة : 6-9] ظانين أن {ثُمَّ} تعني دائما الترتيب مع التراخي. بينما الحقيقة أنها قد تكون لمجرد ترتيب الذكر أو الترتيب الرتبي. اذكر آية فيها {ثُمَّ} للترتيب الذكري.	90	 }ثُمَّ كَانَ مِنَ ٱلَّذِینَ ءَامَنُوا۟ وَتَوَاصَوۡا۟ بِٱلصَّبۡرِ وَتَوَاصَوۡا۟ بِٱلۡمَرۡحَمَةِ }[سُورَةُ البَلَدِ: ١٧ [	17		
بالرغم من نعيم الجنة الذي يشغل المؤمن عم كل المشاغل إلا أن بعض المؤمنين لا يكتمل نعيمهم إلا بالتشفي ممكن كانوا بعذبونهم في الدنيا، فبعد دخول الجنة مباشرة، يتذكرون بعض أهل النار الذين كانوا يستكبرون عليهم أو يعذبونهم {وَنَادَىٰ أَصْحَابُ الْجَنَّةِ أَصْحَابَ النَّارِ أَن قَدْ وَجَدْنَا مَا وَعَدَنَا رَبُّنَا حَقًّا فَهَلْ وَجَدتُّم مَّا وَعَدَ رَبُّكُمْ حَقًّا} [الأعراف : 44]. اذكر تبين مشهداً شبيهاً بذلك فيه شفاء لصدور المؤمنين.	83	{ فَٱلۡیَوۡمَ ٱلَّذِینَ ءَامَنُوا۟ مِنَ ٱلۡكُفَّارِ یَضۡحَكُونَ (٣٤) عَلَى ٱلۡأَرَاۤىِٕكِ یَنظُرُونَ (٣٥) هَلۡ ثُوِّبَ ٱلۡكُفَّارُ مَا كَانُوا۟ یَفۡعَلُونَ (٣٦) }[سُورَةُ المُطَفِّفِينَ: ٣٤-٣٦]	34	35	36
من قرأ سورة يونس يعرف الحض على علوم الطبيعة النافعة{قُلِ انظُرُوا مَاذَا فِي السَّمَاوَاتِ وَالْأَرْضِ} [يونس : 101]. اذكر ثلاثة مواضع متفرقة من الجزء الثلاثين يأمر الله المؤمنين بالتفكّر في خلق الله.	80-86-88	{ فَلۡیَنظُرِ ٱلۡإِنسَـٰنُ إِلَىٰ طَعَامِهِۦۤ }[سُورَةُ عَبَسَ: ٢٤] { فَلۡیَنظُرِ ٱلۡإِنسَـٰنُ مِمَّ خُلِقَ } [سُورَةُ الطَّارِقِ: ٥] { أَفَلَا یَنظُرُونَ إِلَى ٱلۡإِبِلِ كَیۡفَ خُلِقَتۡ (١٧) وَإِلَى ٱلسَّمَاۤءِ كَیۡفَ رُفِعَتۡ (١٨) وَإِلَى ٱلۡجِبَالِ كَیۡفَ نُصِبَتۡ (١٩) وَإِلَى ٱلۡأَرۡضِ كَیۡفَ سُطِحَتۡ (٢٠) }[سُورَةُ الغَاشِيَةِ: ١٧-٢٠]	24	5	17
آيةٌ من هذا الجزء يقرأ بها البعض ويسكت، مستدلاُ بها على حرية التدين وحرية الإلحاد وأحقيّة أي شخص باختيار دينه الذي يعجبه، وكأن اختيار الدين أمرٌ كماليٌ ينتقي كل واحدٍ ما يعجبه، ولكن من يكمل تلاوة الآيات يعرف أن هذا تهديد ووعيد من الله تعالى لمن أعرض عن دينه.	88	}لَّسۡتَ عَلَیۡهِم بِمُصَیۡطِرٍ (٢٢) إِلَّا مَن تَوَلَّىٰ وَكَفَرَ (٢٣) فَیُعَذِّبُهُ ٱللَّهُ ٱلۡعَذَابَ ٱلۡأَكۡبَرَ (٢٤) إِنَّ إِلَیۡنَاۤ إِیَابَهُمۡ (٢٥) ثُمَّ إِنَّ عَلَیۡنَا حِسَابَهُم (٢٦) }[سُورَةُ الغَاشِيَةِ: ٢٢-٢٦ [	22		
من الأعمال الصالحة ما يكون أكثر أجرا في حالة معينة و أقل أجرا في حالة أخرى فالأصل أن يتحرى المسلم القيام بهذه الأعمال في الأوقات التي تشتد فيها الحاجة إليها.  اذكر آية من الجزء الثلاثين فيها هذا المعنى . 	90	{ أَوۡ إِطۡعَـٰمࣱ فِی یَوۡمࣲ ذِی مَسۡغَبَةࣲ }[سُورَةُ البَلَدِ: ١٤]	14		
في سورة البقرة قرأنا قول الله تعالى { وَلَقَدۡ أَنزَلۡنَاۤ إِلَیۡكَ ءَایَـٰتِۭ بَیِّنَـٰتࣲۖ }[سُورَةُ البَقَرَةِ: ٩٩]، مما يبين أن الأدلة على صحة دين الله تعالى واضحة شافية كافية لكل طالب حق . فإذا رفضها أحد فهذا دلالة على سوئه و على أن الخروج عن طريق الخير شأنه و دأبه لأن ذلك يهيئه للكفر بمثل هذه الأدلة.  و في ذلك رد على من يدعي أن "الملحد المسكين " قد تُعرض عليه أدلة الإسلام فلا يقبلها و يكون مع ذلك معذوراً لأنه لم يقتنع بها! بل إذا رفض أي أحد أدلة الإسلام فهذا لعيب فيه لا لعيب في الأدلة.  اذكر آية من هذا الجزء تؤكد نفس المعنى. 	81	{ إِنۡ هُوَ إِلَّا ذِكۡرࣱ لِّلۡعَـٰلَمِینَ (٢٧) لِمَن شَاۤءَ مِنكُمۡ أَن یَسۡتَقِیمَ (٢٨) }[سُورَةُ التَّكۡوِيرِ: ٢٧-٢٨]	27	28	
البعض يجعل الدنيا مركزية لكل أعماله الصالحة التي تعينه عليه مثل " صلِّ لتنال النجاح " أو "تصدق حتى يزيد الله لك في المال " ، و لكن من يبني أعماله الصالحة على هذه الأسس فإنها قابلة للانهيار ، و الصحيح أن نؤسس أعمالنا على الإيمان بالبعث و الجزاء فهي التي تعين على الأعمال الصالحة . اذكر آيتين تبين أن الإيمان بالبعث و الجزاء هو الذي يعين الإنسان  في الإقدام على الأعمال الصالحة .	107	{ أَرَءَیۡتَ ٱلَّذِی یُكَذِّبُ بِٱلدِّینِ (١) فَذَ ٰ⁠لِكَ ٱلَّذِی یَدُعُّ ٱلۡیَتِیمَ (٢) }[سُورَةُ المَاعُونِ: ١-٢]	1	2	
المال من مقومات الحياة ، و لكن البعض اتخذه غاية لهذه الحياة فصار يحرص في حياته كلها على جمع المال فيرى فيه رفعته و كرامته و عزته و تأمين مستقبل أولاده في جمع المال ، حتى ينشغل بتجميعه طوال حياته فشغله عن غايته من هذه الحياة . اذكر آيتين متتاليتين يحذر الله فيهما من هذا الصنف .	104	{ ٱلَّذِی جَمَعَ مَالࣰا وَعَدَّدَهُۥ (٢) یَحۡسَبُ أَنَّ مَالَهُۥۤ أَخۡلَدَهُۥ (٣) }[سُورَةُ الهُمَزَةِ: ٢-٣]	2	3	
ربما يتوهم البعض أن تزيين الباطل ربما يأتيه مت شياطين الجن فقط ولا يأتيه من شياطين الإنس ، و لكن الله حذرنا منهم سوياً { وَكَذَ ٰ⁠لِكَ جَعَلۡنَا لِكُلِّ نَبِیٍّ عَدُوࣰّا شَیَـٰطِینَ ٱلۡإِنسِ وَٱلۡجِنِّ }[سُورَةُ الأَنۡعَامِ: ١١٢]. اذكر آية تؤكد على أن الوسوسة تأتي من شياطين الإنس والجن ، و يجب على الإنسان الحذر منهم .	114	{ مِنَ ٱلۡجِنَّةِ وَٱلنَّاسِ }[سُورَةُ النَّاسِ: ٦]	6		
