نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2
قد تحصل معك مواقف يتضح فيها عناية الله بك أو استجابته لدعائك بشكل يستعصي -على التفاسير المادية المعتادة ، فتُسر بها . لكن عليك تذكر أن واجب الشكر يعظم و إثم كفران هذا المواقف يعظم كذلك .	5	{ قَالَ ٱللَّهُ إِنِّی مُنَزِّلُهَا عَلَیۡكُمۡۖ فَمَن یَكۡفُرۡ بَعۡدُ مِنكُمۡ فَإِنِّیۤ أُعَذِّبُهُۥ عَذَابࣰا لَّاۤ أُعَذِّبُهُۥۤ أَحَدࣰا مِّنَ ٱلۡعَـٰلَمِینَ }[سُورَةُ المَائـِدَةِ: ١١٥]	115	
على المسلم أن يُوطِّن نفسه على أنّ جزاء الأعمال و الخصال الخيّرة بتمامه هو في الآخرة ، لا في الدنيا . اذكر جزءاً من آية يوضّح هذا المفهوم. 	5	}قَالَ ٱللَّهُ هَـٰذَا یَوۡمُ یَنفَعُ ٱلصَّـٰدِقِینَ صِدۡقُهُمۡۚ لَهُمۡ جَنَّـٰتࣱ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُ خَـٰلِدِینَ فِیهَاۤ أَبَدࣰاۖ رَّضِیَ ٱللَّهُ عَنۡهُمۡ وَرَضُوا۟ عَنۡهُۚ ذَ ٰ⁠لِكَ ٱلۡفَوۡزُ ٱلۡعَظِیمُ }[سُورَةُ المَائـِدَةِ: ١١٩ [	119	
كنت قد أجريت استبيانا في عدة مساجد حول أسباب الوقوع في المعاصي ، و في هذا الاستبيان وضعنا أكثر من 50 سببا، فكان ثاني أكثر سبب اختاره معبئوا الاستبيان هو اعتمادهم على رحمة الله عز وجل . إذن فكثير منا ليس عنده توازن بين الخوف من الله و الرجاء في رحمته اذكر آيتين متتاليتين تبينان أن الواحد منا قد يعمل عملا عظيما فيه كثير من التضحيات لكنه إن تهاون أثناءه بأمر من أوامر الله عز و جل فهو معرض لعقوبته تعالى.	5	{ یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ لَیَبۡلُوَنَّكُمُ ٱللَّهُ بِشَیۡءࣲ مِّنَ ٱلصَّیۡدِ تَنَالُهُۥۤ أَیۡدِیكُمۡ وَرِمَاحُكُمۡ لِیَعۡلَمَ ٱللَّهُ مَن یَخَافُهُۥ بِٱلۡغَیۡبِۚ فَمَنِ ٱعۡتَدَىٰ بَعۡدَ ذَ ٰ⁠لِكَ فَلَهُۥ عَذَابٌ أَلِیمࣱ (٩٤) یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوا۟ لَا تَقۡتُلُوا۟ ٱلصَّیۡدَ وَأَنتُمۡ حُرُمࣱۚ وَمَن قَتَلَهُۥ مِنكُم مُّتَعَمِّدࣰا فَجَزَاۤءࣱ مِّثۡلُ مَا قَتَلَ مِنَ ٱلنَّعَمِ یَحۡكُمُ بِهِۦ ذَوَا عَدۡلࣲ مِّنكُمۡ هَدۡیَۢا بَـٰلِغَ ٱلۡكَعۡبَةِ أَوۡ كَفَّـٰرَةࣱ طَعَامُ مَسَـٰكِینَ أَوۡ عَدۡلُ ذَ ٰ⁠لِكَ صِیَامࣰا لِّیَذُوقَ وَبَالَ أَمۡرِهِۦۗ عَفَا ٱللَّهُ عَمَّا سَلَفَۚ وَمَنۡ عَادَ فَیَنتَقِمُ ٱللَّهُ مِنۡهُۚ وَٱللَّهُ عَزِیزࣱ ذُو ٱنتِقَامٍ (٩٥) }[سُورَةُ المَائـِدَةِ: ٩٤-٩٥]	94	95
من أكثر ما يعول عليه أتباع خرافة التطور ظاهرة الشبه بين الكثير من الكائنات . فنقول لهم : من أصناف الكائنات ما يصعب التفريق بينها جدا لشدة شبهها مع أنها مختلفة في حقائقها اختلافاً معتبراً . اذكر أدل كلمة في آية على هذا المعنى. 	6	{وَهُوَ ٱلَّذِیۤ أَنزَلَ مِنَ ٱلسَّمَاۤءِ مَاۤءࣰ فَأَخۡرَجۡنَا بِهِۦ نَبَاتَ كُلِّ شَیۡءࣲ فَأَخۡرَجۡنَا مِنۡهُ خَضِرࣰا نُّخۡرِجُ مِنۡهُ حَبࣰّا مُّتَرَاكِبࣰا وَمِنَ ٱلنَّخۡلِ مِن طَلۡعِهَا قِنۡوَانࣱ دَانِیَةࣱ وَجَنَّـٰتࣲ مِّنۡ أَعۡنَابࣲ وَٱلزَّیۡتُونَ وَٱلرُّمَّانَ مُشۡتَبِهࣰا وَغَیۡرَ مُتَشَـٰبِهٍۗ ٱنظُرُوۤا۟ إِلَىٰ ثَمَرِهِۦۤ إِذَاۤ أَثۡمَرَ وَیَنۡعِهِۦۤۚ إِنَّ فِی ذَ ٰ⁠لِكُمۡ لَـَٔایَـٰتࣲ لِّقَوۡمࣲ یُؤۡمِنُونَ }[سُورَةُ الأَنۡعَامِ: ٩٩ [	99	
القرآن لا يأتي بالآدلة الواضحة فحسب ، بل يبني البنية العقلية الفكرية الفطرية السليمة التي تستفيد من الأدلة و تستطيع التفريق بين الحق و الباطل . اذكر آية تدل على هذا المعنى. 	6	{ قَدۡ جَاۤءَكُم بَصَاۤىِٕرُ مِن رَّبِّكُمۡۖ فَمَنۡ أَبۡصَرَ فَلِنَفۡسِهِۦۖ وَمَنۡ عَمِیَ فَعَلَیۡهَاۚ وَمَاۤ أَنَا۠ عَلَیۡكُم بِحَفِیظࣲ }[سُورَةُ الأَنۡعَامِ: ١٠٤]	104	
كثير من الناس يشكر ربه فقط على النعم الدنيوية و يغض طرفه عن النعم الدينية . اذكر آية تدلل على أنه يتوجب على العباد شكر الله لما يمن عليهم من معرفة الأحكام الشرعية و تبيينها. 	5	{لَا یُؤَاخِذُكُمُ ٱللَّهُ بِٱللَّغۡوِ فِیۤ أَیۡمَـٰنِكُمۡ وَلَـٰكِن یُؤَاخِذُكُم بِمَا عَقَّدتُّمُ ٱلۡأَیۡمَـٰنَۖ فَكَفَّـٰرَتُهُۥۤ إِطۡعَامُ عَشَرَةِ مَسَـٰكِینَ مِنۡ أَوۡسَطِ مَا تُطۡعِمُونَ أَهۡلِیكُمۡ أَوۡ كِسۡوَتُهُمۡ أَوۡ تَحۡرِیرُ رَقَبَةࣲۖ فَمَن لَّمۡ یَجِدۡ فَصِیَامُ ثَلَـٰثَةِ أَیَّامࣲۚ ذَ ٰ⁠لِكَ كَفَّـٰرَةُ أَیۡمَـٰنِكُمۡ إِذَا حَلَفۡتُمۡۚ وَٱحۡفَظُوۤا۟ أَیۡمَـٰنَكُمۡۚ كَذَ ٰ⁠لِكَ یُبَیِّنُ ٱللَّهُ لَكُمۡ ءَایَـٰتِهِۦ لَعَلَّكُمۡ تَشۡكُرُونَ }[سُورَةُ المَائـِدَةِ: ٨٩ [	89	
المؤمن حريص على دخول إخوانه الجنة . قال الله { وَمَا كَانَ ٱللَّهُ لِیُضِیعَ إِیمَـٰنَكُمۡۚ إِنَّ ٱللَّهَ بِٱلنَّاسِ لَرَءُوفࣱ رَّحِیمࣱ }[سُورَةُ البَقَرَةِ: ١٤٣] .رداً على من سأل عن حال من مات و قبلته إلى البيت المقدس هناك آية أخرى في هذا الجزء فيها الرد على سؤال كهذا. 	5	{ لَیۡسَ عَلَى ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ جُنَاحࣱ فِیمَا طَعِمُوۤا۟ إِذَا مَا ٱتَّقَوا۟ وَّءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ ثُمَّ ٱتَّقَوا۟ وَّءَامَنُوا۟ ثُمَّ ٱتَّقَوا۟ وَّأَحۡسَنُوا۟ۚ وَٱللَّهُ یُحِبُّ ٱلۡمُحۡسِنِینَ }[سُورَةُ المَائـِدَةِ: ٩٣]	93	
كثير من الناس يستر بسعة رحمة الله و هو مقصر في طاعة الله مسرف على نفسه و يقول رحمته سبحانه واسعة و سيغفر  لنا جميعاً اذك آية من جزء اليوم يعلمنا فيها سبحانه أن لا بد للمرء من جناحين يطير بهما الخوف و الرجاء .	5	{ ٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ شَدِیدُ ٱلۡعِقَابِ وَأَنَّ ٱللَّهَ غَفُورࣱ رَّحِیمࣱ }[سُورَةُ المَائـِدَةِ: ٩٨]	98	
اذكر آية توضح أن المشركين يجمعون بين الضلال و الإضلال فلا هم ينتفعون الهدى و لا هم يريدون نفعه لغيرهم.	6	{ وَهُمۡ یَنۡهَوۡنَ عَنۡهُ وَیَنۡـَٔوۡنَ عَنۡهُۖ وَإِن یُهۡلِكُونَ إِلَّاۤ أَنفُسَهُمۡ وَمَا یَشۡعُرُونَ }[سُورَةُ الأَنۡعَامِ: ٢٦]	26	
نذارة القرآن لجميع الناس لكن الله سبحانه خص نذارته للمؤمنين في بعض الآيات لأنهم المنتفعون على الحقيقة بالقرآن كما قال الله تعالى: { لِّیُنذِرَ مَن كَانَ حَیࣰّا وَیَحِقَّ ٱلۡقَوۡلُ عَلَى ٱلۡكَـٰفِرِینَ }[سُورَةُ يسٓ: ٧٠] . اذكر آية بنفس المعنى. 	6	{ وَأَنذِرۡ بِهِ ٱلَّذِینَ یَخَافُونَ أَن یُحۡشَرُوۤا۟ إِلَىٰ رَبِّهِمۡ لَیۡسَ لَهُم مِّن دُونِهِۦ وَلِیࣱّ وَلَا شَفِیعࣱ لَّعَلَّهُمۡ یَتَّقُونَ }[سُورَةُ الأَنۡعَامِ: ٥١]	51	
