نص السؤال	رقم السورة	رقم الآية	رقم آية 1
من أشـرف المنح التي ينعم الله بها على من يطيعه ويتقيه أن يعلمه العلوم النافعة التي تحبي القلب وتصلح الدنيا والآخرة  وكثيرا ما يذكر في هذا المعنى قول الله تعالى : ( واتــــــــوا الله ويعلمكم الله ) [ البقرة : 282 ] ، ويقولون منها حكمة ( اتق الله فيما تعلم يعلمك ما لم تعلم ) . اذكر آية تدل على أن الله يعلم من يطيعه كأنه يراه بأشرف العلوم .	6	{ثُمَّ آتَيْنَا مُوسَى الْكِتَابَ تَمَامًا عَلَى الَّذِي أَحْسَنَ وَتَفْصِيلًا لِّكُلِّ شَيْءٍ وَهُدًى وَرَحْمَةً لَّعَلَّهُم بِلِقَاءِ رَبِّهِمْ يُؤْمِنُونَ} [الأنعام : 154]	154
لا يحب الله تعالى أن يعنـت المسلمين بأحكـامـه أو يصـل بهم الأمر إلى الوسـوسـة اذكر جملة معترضـة تخفف عنا في تكليف قد تدفعنا فيه أنفسنا إلى الإفراط المذموم	6	{وَلَا تَقْرَبُوا مَالَ الْيَتِيمِ إِلَّا بِالَّتِي هِيَ أَحْسَنُ حَتَّىٰ يَبْلُغَ أَشُدَّهُ ۖ وَأَوْفُوا الْكَيْلَ وَالْمِيزَانَ بِالْقِسْطِ ۖ لَا نُكَلِّفُ نَفْسًا إِلَّا وُسْعَهَا ۖ وَإِذَا قُلْتُمْ فَاعْدِلُوا وَلَوْ كَانَ ذَا قُرْبَىٰ ۖ وَبِعَهْدِ اللَّهِ أَوْفُوا ۚ ذَٰلِكُمْ وَصَّاكُم بِهِ لَعَلَّكُمْ تَذَكَّرُونَ} [الأنعام : 152 [	152
ليس أحدنا مطالبا بقول الحق في كل مقام ، لكنه مطالب ألا يقول باطلا اذكر جزءا من آية يوضح هذا المفهوم	6	{وَلَا تَقْرَبُوا مَالَ الْيَتِيمِ إِلَّا بِالَّتِي هِيَ أَحْسَنُ حَتَّىٰ يَبْلُغَ أَشُدَّهُ ۖ وَأَوْفُوا الْكَيْلَ وَالْمِيزَانَ بِالْقِسْطِ ۖ لَا نُكَلِّفُ نَفْسًا إِلَّا وُسْعَهَا ۖ وَإِذَا قُلْتُمْ فَاعْدِلُوا وَلَوْ كَانَ ذَا قُرْبَىٰ ۖ وَبِعَهْدِ اللَّهِ أَوْفُوا ۚ ذَٰلِكُمْ وَصَّاكُم بِهِ لَعَلَّكُمْ تَذَكَّرُونَ} [الأنعام : 152 [	152
يدعي البعض أن الإيمان لا يستلزم العمل ، وأن العبـد قـد ينجو عند الله بإيمانه بقلبه فحسـب دون الحاجة إلى متابعة ذلك الإيمان بالأعمال الصالحات والطاعات والابتعاد عن المنهيات .. اذكر ( 5 كلمات ) من آية تبين أن نجاة العبد عند الله لا تتحقق بمجرد الإيمان القلبي فقط	6	{هَلْ يَنظُرُونَ إِلَّا أَن تَأْتِيَهُمُ الْمَلَائِكَةُ أَوْ يَأْتِيَ رَبُّكَ أَوْ يَأْتِيَ بَعْضُ آيَاتِ رَبِّكَ ۗ يَوْمَ يَأْتِي بَعْضُ آيَاتِ رَبِّكَ لَا يَنفَعُ نَفْسًا إِيمَانُهَا لَمْ تَكُنْ آمَنَتْ مِن قَبْلُ أَوْ كَسَبَتْ فِي إِيمَانِهَا خَيْرًا ۗ قُلِ انتَظِرُوا إِنَّا مُنتَظِرُونَ} [الأنعام : 158 [	158
يطمع المؤمن في أن يؤمن الزعماء والسـاسـة لأن ذلك مدعاة أن ينصلح حال الرعية ... لكن عدم إيمانهم لا ينبغي أن يكون سببا في استيحاش الطريق ، إذ أن من قدر الله تعالى أن تكون السيادة في كثير من الأماكن والأزمنة لأهل السوء  اذكر آية تدل على ذلك	6	{وَكَذَٰلِكَ جَعَلْنَا فِي كُلِّ قَرْيَةٍ أَكَابِرَ مُجْرِمِيهَا لِيَمْكُرُوا فِيهَا ۖ وَمَا يَمْكُرُونَ إِلَّا بِأَنفُسِهِمْ وَمَا يَشْعُرُونَ} [الأنعام : 123 [	123
وحي الله عز وجل ، لا يختار الله له إلا الكمل من البشـر ، ولا يمكن أن يختار الله له شـخـصـا معيبا . اذكر آية تبين أن الله يختار لوحيه أفضل البشر . اذكر آية تحمل معنى الاصطفاء .	6	{وَإِذَا جَاءَتْهُمْ آيَةٌ قَالُوا لَن نُّؤْمِنَ حَتَّىٰ نُؤْتَىٰ مِثْلَ مَا أُوتِيَ رُسُلُ اللَّهِ ۘ اللَّهُ أَعْلَمُ حَيْثُ يَجْعَلُ رِسَالَتَهُ ۗ سَيُصِيبُ الَّذِينَ أَجْرَمُوا صَغَارٌ عِندَ اللَّهِ وَعَذَابٌ شَدِيدٌ بِمَا كَانُوا يَمْكُرُونَ} [الأنعام : 124 [	124
من أعظم المحن التي يمر بها المسلم التخويف الذي يعانيه في حياته نتيجة تمسكه بأوامر الدين ، وقلة من ينصره على الخير وضعفهم . اذكر آية تسلي المؤمنين من هذين الأمرين .	6	{ لَهُمْ دَارُ السَّلَامِ عِندَ رَبِّهِمْ ۖ وَهُوَ وَلِيُّهُم بِمَا كَانُوا يَعْمَلُونَ} [الأنعام : 127]	127
أن ترضى بالظلم حتى ولو لم تمارسه يجعلك من القوم الظالمين وملحقاً بهم .	7	{فَأَنجَيْنَاهُ وَأَهْلَهُ إِلَّا امْرَأَتَهُ كَانَتْ مِنَ الْغَابِرِينَ} [الأعراف : 83]	83
من نعم الله على الإنسـان : الفطرة السليمة ، فهي تعرف صـاحبها قبح المنكرات حتى لو لم يعرف حكم الشرع فيها . اذكر خمس كلمات من آية يفهم منها هذا المعنى .	7	{وَإِذَا فَعَلُوا فَاحِشَةً قَالُوا وَجَدْنَا عَلَيْهَا آبَاءَنَا وَاللَّهُ أَمَرَنَا بِهَا ۗ قُلْ إِنَّ اللَّهَ لَا يَأْمُرُ بِالْفَحْشَاءِ ۖ أَتَقُولُونَ عَلَى اللَّهِ مَا لَا تَعْلَمُونَ}[الأعراف : 28 [	28
المبادئ الباطلة قبيحة في ذاتها ، لذا فإنها تحتاج إلى بهرجة وتزيين ليفتن الناس بها . لاحظ قوله تعالى : ( وكذلك زين لكثير من المشركين قتل أولادهم شركاؤهم ليردوهم وليليسوا عليهم دينهم ) [ الأنعام : 137 ] . اذكر كلمة من آية أخرى تشير إلى هذا المعنى .	6	{وَكَذَٰلِكَ جَعَلْنَا لِكُلِّ نَبِيٍّ عَدُوًّا شَيَاطِينَ الْإِنسِ وَالْجِنِّ يُوحِي بَعْضُهُمْ إِلَىٰ بَعْضٍ زُخْرُفَ الْقَوْلِ غُرُورًا ۚ وَلَوْ شَاءَ رَبُّكَ مَا فَعَلُوهُ ۖ فَذَرْهُمْ وَمَا يَفْتَرُونَ} [الأنعام : 112 [	112
يشتكي الناس من ظلم المتسلطين عليهم . لكن عليهم أن يتذكروا أن علو هؤلاء المتسلطين عليهم قد يكون من العقوبات القدرية على كونهم هم قد باشروا أشكالاً من الظلم . اذكر آية تشير إلى هذا المعنى .	6	{وَكَذَٰلِكَ نُوَلِّي بَعْضَ الظَّالِمِينَ بَعْضًا بِمَا كَانُوا يَكْسِبُونَ} [الأنعام : 129]	129
وقوع علامات الساعة الكبرى يفوت الفرصـة لا على الكفار فحسب ، بل وعلى من قصر بعد إيمانه بدين الله . اذكر خمس كلمات تدل على ذلك .	6	{هَلْ يَنظُرُونَ إِلَّا أَن تَأْتِيَهُمُ الْمَلَائِكَةُ أَوْ يَأْتِيَ رَبُّكَ أَوْ يَأْتِيَ بَعْضُ آيَاتِ رَبِّكَ ۗ يَوْمَ يَأْتِي بَعْضُ آيَاتِ رَبِّكَ لَا يَنفَعُ نَفْسًا إِيمَانُهَا لَمْ تَكُنْ آمَنَتْ مِن قَبْلُ أَوْ كَسَبَتْ فِي إِيمَانِهَا خَيْرًا ۗ قُلِ انتَظِرُوا إِنَّا مُنتَظِرُونَ} [الأنعام : 158 [	158
ثلاث كلمات من آية كريمة تشير إلى أن الكفار سيحاسبون ويعاقبون في الآخرة على النعم التي تمتعوا بها في الدنيا لأنهم كفروا بالمنعم .	7	{قُلْ مَنْ حَرَّمَ زِينَةَ اللَّهِ الَّتِي أَخْرَجَ لِعِبَادِهِ وَالطَّيِّبَاتِ مِنَ الرِّزْقِ ۚ قُلْ هِيَ لِلَّذِينَ آمَنُوا فِي الْحَيَاةِ الدُّنْيَا خَالِصَةً يَوْمَ الْقِيَامَةِ ۗ كَذَٰلِكَ نُفَصِّلُ الْآيَاتِ لِقَوْمٍ يَعْلَمُونَ}[الأعراف : 32 [	32
(ثم ) تأتي في القرآن على الترتيب الزماني وكذلك الترتيب الرتبي أو الإخباري ، أي ترتيب الإخبار بالأمور ، وإن لم يكن ما بعد ( ثم ) قد حصـل متأخرا عما قبلها زمنيا . اذكر مثالا على الترتيب الإخباري .	6	{وَأَنَّ هَـٰذَا صِرَ ٰ⁠طِی مُسۡتَقِیمࣰا فَٱتَّبِعُوهُۖ وَلَا تَتَّبِعُوا۟ ٱلسُّبُلَ فَتَفَرَّقَ بِكُمۡ عَن سَبِیلِهِۦۚ ذَ ٰ⁠لِكُمۡ وَصَّىٰكُم بِهِۦ لَعَلَّكُمۡ تَتَّقُونَ (١٥٣) ثُمَّ ءَاتَیۡنَا مُوسَى ٱلۡكِتَـٰبَ تَمَامًا عَلَى ٱلَّذِیۤ أَحۡسَنَ وَتَفۡصِیلࣰا لِّكُلِّ شَیۡءࣲ وَهُدࣰى وَرَحۡمَةࣰ لَّعَلَّهُم بِلِقَاۤءِ رَبِّهِمۡ یُؤۡمِنُونَ (١٥٤) }[سُورَةُ الأَنۡعَامِ: ١٥٣-١٥٤ [	154
(قَالَ يَا ابْنَ أُمَّ لَا تَأْخُذْ بِلِحْيَتِي وَلَا بِرَأْسِي ۖ إِنِّي خَشِيتُ أَن تَقُولَ فَرَّقْتَ بَيْنَ بَنِي إِسْرَائِيلَ وَلَمْ تَرْقُبْ قَوْلِي) ]طه: 94[. تُفسَّر هذه الآية بآية أخرى من غير هذا الجزء، اذكرها.	7	{وَلَمَّا رَجَعَ مُوسَىٰ إِلَىٰ قَوْمِهِ غَضْبَانَ أَسِفًا قَالَ بِئْسَمَا خَلَفْتُمُونِي مِن بَعْدِي ۖ أَعَجِلْتُمْ أَمْرَ رَبِّكُمْ ۖ وَأَلْقَى الْأَلْوَاحَ وَأَخَذَ بِرَأْسِ أَخِيهِ يَجُرُّهُ إِلَيْهِ ۚ قَالَ ابْنَ أُمَّ إِنَّ الْقَوْمَ اسْتَضْعَفُونِي وَكَادُوا يَقْتُلُونَنِي فَلَا تُشْمِتْ بِيَ الْأَعْدَاءَ وَلَا تَجْعَلْنِي مَعَ الْقَوْمِ الظَّالِمِينَ}[الأعراف:150 [	150
