نص السؤال	رقم السورة 	رقم الآية 	رقم الآية 1
اذكرآية ، ذكرت فيها أوصـاف للنبي صلى الله عليه وسلم تقوم بها الحجة على أهل الكتاب .	7	{الَّذِينَ يَتَّبِعُونَ الرَّسُولَ النَّبِيَّ الْأُمِّيَّ الَّذِي يَجِدُونَهُ مَكْتُوبًا عِندَهُمْ فِي التَّوْرَاةِ وَالْإِنجِيلِ يَأْمُرُهُم بِالْمَعْرُوفِ وَيَنْهَاهُمْ عَنِ الْمُنكَرِ وَيُحِلُّ لَهُمُ الطَّيِّبَاتِ وَيُحَرِّمُ عَلَيْهِمُ الْخَبَائِثَ وَيَضَعُ عَنْهُمْ إِصْرَهُمْ وَالْأَغْلَالَ الَّتِي كَانَتْ عَلَيْهِمْ ۚ فَالَّذِينَ آمَنُوا بِهِ وَعَزَّرُوهُ وَنَصَرُوهُ وَاتَّبَعُوا النُّورَ الَّذِي أُنزِلَ مَعَهُ ۙ أُولَٰئِكَ هُمُ الْمُفْلِحُونَ} [الأعراف : 157]	157
عادة ما يبدأ القرآن أخبار اليهود بقول الله تعالى : ( وإذ ) . في أحد المواضـع بدأ ببداية غير معتادة بما يشعر بأن لهذا الخبر شأنا آخر .	7	}وَاسْأَلْهُمْ عَنِ الْقَرْيَةِ الَّتِي كَانَتْ حَاضِرَةَ الْبَحْرِ إِذْ يَعْدُونَ فِي السَّبْتِ إِذْ تَأْتِيهِمْ حِيتَانُهُمْ يَوْمَ سَبْتِهِمْ شُرَّعًا وَيَوْمَ لَا يَسْبِتُونَ ۙ لَا تَأْتِيهِمْ ۚ كَذَٰلِكَ نَبْلُوهُم بِمَا كَانُوا يَفْسُقُونَ} [الأعراف : 163 [	163
اذكر جزءا من آية يبين أن من تعلم العلم تقوم عليه بها حجة .	7	{فَخَلَفَ مِن بَعْدِهِمْ خَلْفٌ وَرِثُوا الْكِتَابَ يَأْخُذُونَ عَرَضَ هَٰذَا الْأَدْنَىٰ وَيَقُولُونَ سَيُغْفَرُ لَنَا وَإِن يَأْتِهِمْ عَرَضٌ مِّثْلُهُ يَأْخُذُوهُ ۚ أَلَمْ يُؤْخَذْ عَلَيْهِم مِّيثَاقُ الْكِتَابِ أَن لَّا يَقُولُوا عَلَى اللَّهِ إِلَّا الْحَقَّ وَدَرَسُوا مَا فِيهِ ۗ وَالدَّارُ الْآخِرَةُ خَيْرٌ لِّلَّذِينَ يَتَّقُونَ ۗ أَفَلَا تَعْقِلُونَ} [الأعراف : 169 [	169
كان من المتوقع أن يثني القرآن على النبي والصحابة في موضع ثناء لا يشوبه إظهار أي ضـعف لديهم ، ومع ذلك جاءت الآيات على غير المتوقع بما يشـعر انه تنزيل من حكيم عليم .	8	{كَمَا أَخْرَجَكَ رَبُّكَ مِن بَيْتِكَ بِالْحَقِّ وَإِنَّ فَرِيقًا مِّنَ الْمُؤْمِنِينَ لَكَارِهُونَ} [الأنفال : 5]	5
الكُمل من المؤمنين يغضبون إذا انتهكت محارم الله . اذكر جزءا من آية يدل على هذا المعنى .	7	{وَلَمَّا رَجَعَ مُوسَىٰ إِلَىٰ قَوْمِهِ غَضْبَانَ أَسِفًا قَالَ بِئْسَمَا خَلَفْتُمُونِي مِن بَعْدِي ۖ أَعَجِلْتُمْ أَمْرَ رَبِّكُمْ ۖ وَأَلْقَى الْأَلْوَاحَ وَأَخَذَ بِرَأْسِ أَخِيهِ يَجُرُّهُ إِلَيْهِ ۚ قَالَ ابْنَ أُمَّ إِنَّ الْقَوْمَ اسْتَضْعَفُونِي وَكَادُوا يَقْتُلُونَنِي فَلَا تُشْمِتْ بِيَ الْأَعْدَاءَ وَلَا تَجْعَلْنِي مَعَ الْقَوْمِ الظَّالِمِينَ} [الأعراف : 150 [	150
بعض الناس إذا رأى أن اتباع الدين الحق لم يرفع عنه مصـائب الدنيا التي يعانيها فإنه يبدأ بالتشكيك من فائدة هذا الاتباع . اذكر آية تذكر هذا الخلل في التفكير .	7	{قَالُوا أُوذِينَا مِن قَبْلِ أَن تَأْتِيَنَا وَمِن بَعْدِ مَا جِئْتَنَا ۚ قَالَ عَسَىٰ رَبُّكُمْ أَن يُهْلِكَ عَدُوَّكُمْ وَيَسْتَخْلِفَكُمْ فِي الْأَرْضِ فَيَنظُرَ كَيْفَ تَعْمَلُونَ} [الأعراف : 129]	129
إن أردت دعوة الناس إلى التمسك بأمر الله ، فعليك أن تكون من أهل العزم في العمل بأمر الله ، والجد والحرص دون تأخير ولا تـسـاهـل ولا انقطاع عنـد المشقة ولا ملل . اذكر كلمتين تشيران لهذا المعنى .	7	{وَكَتَبْنَا لَهُ فِي الْأَلْوَاحِ مِن كُلِّ شَيْءٍ مَّوْعِظَةً وَتَفْصِيلًا لِّكُلِّ شَيْءٍ فَخُذْهَا بِقُوَّةٍ وَأْمُرْ قَوْمَكَ يَأْخُذُوا بِأَحْسَنِهَا ۚ سَأُرِيكُمْ دَارَ الْفَاسِقِينَ} [الأعراف : 145 [	145
الداعي إلى الله يستفظع التراجع عن دعوته وإقرار الجاهليات على ما هي ؛ لأنه بذلك كأنه يثبت على نفسه تهمة أمام الناس أن ما كان يدعو إليه ما كان إلا تقولا على الله عز وجل ما لم يقله . فالذي يتجرأ أن يفعل ذلك مع الله فكيف يستأمنه الناس ؟ اذكر آية تدل على هذا المعنى .	7	{قَدِ افْتَرَيْنَا عَلَى اللَّهِ كَذِبًا إِنْ عُدْنَا فِي مِلَّتِكُم بَعْدَ إِذْ نَجَّانَا اللَّهُ مِنْهَا ۚ وَمَا يَكُونُ لَنَا أَن نَّعُودَ فِيهَا إِلَّا أَن يَشَاءَ اللَّهُ رَبُّنَا ۚ وَسِعَ رَبُّنَا كُلَّ شَيْءٍ عِلْمًا ۚ عَلَى اللَّهِ تَوَكَّلْنَا ۚ رَبَّنَا افْتَحْ بَيْنَنَا وَبَيْنَ قَوْمِنَا بِالْحَقِّ وَأَنتَ خَيْرُ الْفَاتِحِينَ} [الأعراف : 89]	89
يصـل الغرور والجهل ببعض الظالمين إلى الظن بأن الناس الذين تحت حكمه هم ملك له ، أجسادهم وأوقاتهم وأموالهم بل وحتى قلوبهم . اذكر آية تشير إلى هذا المعنى .	7	{قَالَ فِرْعَوْنُ آمَنتُم بِهِ قَبْلَ أَنْ آذَنَ لَكُمْ ۖ إِنَّ هَٰذَا لَمَكْرٌ مَّكَرْتُمُوهُ فِي الْمَدِينَةِ لِتُخْرِجُوا مِنْهَا أَهْلَهَا ۖ فَسَوْفَ تَعْلَمُونَ} [الأعراف : 123 [	123
الداعي إلى الله رحيم بالناس يحـب لهم الهـدايـة ، لكنـه يشـتـد قلبه على المعاندين بقدر ما يبذل من جهد في إيصال دعوته ، لأنه يعلم يقينا أن عذرهم قد انقطع ، بل وأقيم عليهم من الحجة أكثر مما أقيم على غيرهم . اذكر خمس كلمات من آية فيها هذا المعنى .	7	{فَتَوَلَّىٰ عَنْهُمْ وَقَالَ يَا قَوْمِ لَقَدْ أَبْلَغْتُكُمْ رِسَالَاتِ رَبِّي وَنَصَحْتُ لَكُمْ ۖ فَكَيْفَ آسَىٰ عَلَىٰ قَوْمٍ كَافِرِينَ} [الأعراف : 93 [	93
