نص السؤال 	رقم السورة 	رقم الآية	رقم آية 1	رقم آية 2				
قد يظن القارئ لقوله تعالى -حكاية عن نبيه لوط- في سورة الِحجر ﴿هَٰؤُلَاءِ بَنَـاتِي إِن كُنـتُمْ فَاعِلِيـنَ﴾ [الحجر:71] أنه يدعو قومه لمعصيةٍ أهونَ من معصية. اذكر ثلاثَ كلماتٍ من آيةٍ في هذا الجزء تدفع هذا الظن.	11	{وَجَاۤءَهُۥ قَوۡمُهُۥ یُهۡرَعُونَ إِلَیۡهِ وَمِن قَبۡلُ كَانُوا۟ یَعۡمَلُونَ ٱلسَّیِّـَٔاتِۚ قَالَ یَـٰقَوۡمِ هَـٰۤؤُلَاۤءِ بَنَاتِی #هُنَّ أَطۡهَرُ لَكُمۡۖ# فَٱتَّقُوا۟ ٱللَّهَ وَلَا تُخۡزُونِ فِی ضَیۡفِیۤۖ أَلَیۡسَ مِنكُمۡ رَجُلࣱ رَّشِیدࣱ }[سُورَةُ هُودٍ: ٧٨ [	78					
من أهم الحواجز النفسية التي ينبغي العمل على كسرها في نفوس المخاطَبين بالدعوة ظنُّهم أننا ندعوهم في سبيل تحصيل مصالح دنيوية. اذكر آية تدل على ذلك. 	11	﴿وَيا قَومِ لا أَسأَلُكُم عَلَيهِ مـالًا إِن أَجرِيَ إِلّا عَلَى اللَّهِ وَما أَنا بِطارِدِ الَّذينَ آمَنوا إِنَّهُم مُلاقو رَبِّهِم وَلكِنّي أَراكُم قَومًا تَجهَلونَ﴾   [هود:29].	29					
اذكر كلمة من جزء اليوم يستدل بها بعض العلماء على أن مجرد بلاغة القرآن وفصاحته كافية في الإعجاز بقطع النظر عن علو معانيه وما حواه من الدلالات الأخرى على أنه من عند الله.	11	﴿أَم يَقولونَ افتَـراهُ قُل فَأتـوا بِعَشرِ سُوَرٍ مِثـلِهِ #مُفتَرَياتٍ# وَادعوا مَنِ استَطَعتُم مِن دونِ اللَّهِ إِن كُنتُم صادِقينَ﴾ [هود:13] قال ابن عاشور في تفسيره: (ومعنى ﴿مُفتَرَياتٍ﴾ أنها مفتريات المعاني كما تزعمون على القرآن أي بمثل قصص أهل الجاهلية وتكاذيبهم . وهذا من إرخاء العنان والتسليم الجدلي ، فالمماثلة في قوله ﴿مِثلِهِ﴾ هي المماثلة في بلاغة الكلام وفصاحته لا في سداد معانيه . قال علماؤنا : وفي هذا دليل على أن إعجازه وفصاحته بقطع النظر عن علوّ معانيه وتصديق بعضه بعضًا).	13					
قوم من أقوام الأنبياء كرروا في جحدهم رسالةَ نبيهم كلمةً، فقابلها نبيهم بكلمةٍ تطعن في أفهامهم وتقديراتهم التي اعتمدوا عليها. ما هي هذه الكلمة؟	11	﴿فَقالَ   المَلَأُ   الَّذينَ كَفَروا  مِن  قَومِهِ #ما  نَراكَ#  إِلّا  بَشَرًا  مِثلَنا  #وَما نَراكَ# اتَّبَعَكَ إِلَّا الَّذينَ هُم أَراذِلُنا بادِيَ الرَّأيِ #وَما نَرى# لَكُم عَلَينا مِن فَضلٍ بَل نَظُنُّكُم كاذِبينَ ۝ قالَ يـا قَومِ أَرَأَيتُم إِن كُنـتُ عَلى بَيِّنَةٍ مِن رَبّي وَآتاني رَحمَةً مِن عِنـدِهِ #فَعُمِّيَت# عَلَيكُم أَنُلزِمُكُموها وَأَنتُم لَها كارِهونَ﴾ [هود:27-28].	27	28				
قد يساوُم أهلُ الباطلِ المسلمَ بالترغيب بإشعاره أنه سيبقى محترماً عندهم إذا تخلى عن دعوته. اذكر  موضعين في كل منهما 4 كلمات استخدم فيهما قومُ نبيٍّ هذا الأسلوب.	11	﴿قالوا  يا #صالِحُ قَد كُنتَ فينا مَرجُوًّا# قَبلَ هذا أَتَنهانـا أَن نَعبُدَ ما يَعبُدُ آباؤُنا وَإِنَّنا لَفي شَكٍّ مِمّا تَدعونا إِلَيهِ مُريبٍ﴾ [هود:62] ﴿قالوا يا شُعَيبُ أَصَلاتُكَ تَأمُرُكَ أَن نَترُكَ ما يَعبُدُ آباؤُنا أَو أَن نَفعَلَ في أَموالِنا ما نَشاءُ #إِنَّكَ لَأَنتَ الحَليمُ الرَّشيدُ#﴾ [هود:87] قال القرطبي: (وأحسنُ من هذَا كلهِ، وَيَدلُّ مَا قبلهُ على صحَّتهِ، أَي إِنَّكَ أنتَ الحَلِيمُ الرَّشِيدُ حَقًّا، فَكَيفَ تَأمُرُنَا أَن نَتركَ مَا يَعبُدُ آبَاؤُنَا! وَيَدُلُّ عَلَيهِ. "أَصَلاتُكَ تَأمرُكَ أَن نَترُكَ مَا يَعبُدُ آباؤُنا" أَنكَرُوا لَمَّا رَأَوا مِن كَثرَةِ صلَاتهِ وَعبَادَتهِ، وَأَنَّهُ حَليمٌ رَشيدٌ بِأَن يَكُونَ يَأمُرُهُم بِتَركِ مَا كَانَ يَعبُدُ آبَاؤُهُم، وَبَعدَهُ أَيضًا مَا يَدُلُّ عليهِ. ﴿قالَ يَا قَوْمِ أَرَأَيْتُمْ إِنْ كُنْتُ عَلى بَيِّنَةٍ مِنْ رَبِّي وَرَزَقَنِي مِنْهُ رِزْقاً حَسَناً﴾ أي أفلَا أنهَاكُم عن الضلَالِ؟! وهذَا كلهُ يدل عَلَى أنهم قَالُوهُ عَلَى وجهِ الحقيقةِ، وأَنّهُ اعتِقادُهم فِيهِ).  وقد قيل في تفسيرها أيضا أنها قيلت على وجه الاستهزاء والسخرية.	62	87				
التسويف بالاستقامة، وتمنية النفس أن هذا آخر الأخطاء، مدخل شيطاني لاقتحام المخالفة ثم الركون إلى مثلها. اذكر  خمس كلمات من آية فيها ذكرٌ لتسويفٍ كهذا.	12	﴿اقتُلوا يوسُفَ أَوِ اطرَحوهُ أَرضًا يَخلُ لَكُم وَجهُ أَبيـكُم #وَتَكونوا مِن بَعدِهِ قَومًا صالِحينَ#﴾ [يوسف:9]     قال السعدي في تفسيره: (﴿وَتَكونوا مِن بَعدِهِ﴾ أي: من بعد هذا الصنيع ﴿قَوْمًا صَالِحِينَ﴾ أي: تتوبون إلى الله، وتستغفرون من بعد ذنبكم. فقدموا العزم على التوبة قبل صدور الذنب منهم تسهيلا لفعله، وإزالة لشناعته، وتنشيطا من بعضهم لبعض). 	9					
عزة النفس تزيد ثقة الناس بصدقك. اذكر آية تدل على ذلك.	12	﴿قالَ ما خَطبُكُنَّ إِذ راوَدتُنَّ يوسُفَ عَن نَفسِهِ قُلنَ حاشَ لِلَّهِ ما عَلِـمنا عَلَيهِ مِن سوءٍ  قالَتِ امرَأَتُ العَزيـزِ الآنَ حَصحَصَ الحَقُّ أَنا راوَدتُهُ عَن نَفسِهِ وَإِنَّهُ لَمِنَ الصّادِقينَ﴾ [يوسف:51] فعزة نفس يوسف ورفضه الخروج إلا بعد ظهور براءته كان من أسباب زيادة ثقة الملك به والذي استقصى الأمر ثم جمع النسوة فقال ﴿ما خَطبُكُنَّ إِذ راوَدتُنَّ يوسُفَ عَن نَفسِهِ﴾.	51					
سلامة الدين نعمة يمتن الله بها على العبد وإن كانت من خلال مصيبة تصيب المرء في دنياه. اذكر آية تدل على ذلك.	12	﴿فَاستَجابَ  لَهُ  رَبُّهُ فَصَرَفَ عَنهُ كَيدَهُنَّ إِنَّهُ هُوَ السَّميعُ العَليمُ﴾    [يوسف:34] فهذه نعمة أن من الله تعالى بها على يوسف أن صرف عنه كيد النساء وإن أدخله السجن.	34					
كم كلمةً قالها يوسف في قضيةِ خروجهِ من السجن، مقارنةً بِكَم كلمةٍ قالها في الدعوة إلى ربه سبحانه؟	12	﴿وَقَالَ لِلَّذِي ظَنَّ أَنَّهُ نَاجٍ مِّنْهُمَا #اذْكُرْنِي عِندَ رَبِّكَ# فَأَنسَاهُ الشَّيْطَانُ ذِكْرَ رَبِّهِ فَلَبِثَ فِي السِّجْنِ بِضْعَ سِنِينَ﴾   [يوسف:42] ﴿قالَ #لا يَأتيكُما طَعـامٌ تُرزَقانِـهِ إِلّا نَبَّأتُكُما بِتَأويـلِهِ قَبلَ أَن يَأتِيَكُما ذلِكُما مِمّا عَلَّمَني رَبّي إِنّي تَرَكتُ مِلَّةَ قَومٍ لا يُؤمِنونَ بِاللَّهِ وَهُم بِالآخِرَةِ هُم كافِرونَ ۝ وَاتَّبَعتُ مِلَّةَ  آبائي  إِبراهيمَ  وَإِسحاقَ  وَيَعقوبَ ما كانَ لَنا أَن نُشرِكَ بِاللَّهِ مِن شَيءٍ ذلِكَ مِن فَضلِ اللَّهِ عَلَينا وَعَلَى النّاسِ وَلكِنَّ أَكثَرَ النّاسِ لا يَشكُرونَ ۝ يا صاحِبَيِ السِّجـنِ أَأَربابٌ مُتَفَرِّقونَ خَيرٌ أَمِ اللَّهُ الواحِدُ القَهّـارُ ۝ ما تَعبُدونَ مِن دونِـهِ إِلّا أَسماءً سَمَّيتُموها أَنتُم وَآباؤُكُم ما أَنزَلَ اللَّهُ بِها مِن سُلطانٍ إِنِ الحُكمُ إِلّا لِلَّهِ أَمَرَ أَلّا تَعبُـدوا إِلّا إِيّاهُ ذلِكَ الدّينُ القَيِّمُ وَلكِنَّ أَكثَرَ النّاسِ لا يَعلَمونَ#﴾ [يوسف:37-41] فقال فيما يتعلق بإثبات النبوة ثم الدعوة إلى التوحيد حوالي 100 كلمة، بينما قال فيما يتعلق بخروجه من السجن ثلاث كلمات: ﴿اذْكُرْنِي عِندَ رَبِّكَ﴾. فانظر يرحمك الله كيف حمل يوسف هم دعوته في السجن وكم جاهد من أجل تبليغها  وقارن بين كلماته التي قالها من أجل دينه وكلماته التي قالها من أجل خروجه	37	38	39	40	41	42
آية يستدل بها أهل العلم على أن الذي أُمِرَ إبراهيم بذبحه هو اسماعيل وليس إسحاق.	11	﴿وَامْرَأَتُهُ قَائِمَةٌ فَضَحِكَتْ فَبَشّـَرْنَاهَا بِإِسْحَاقَ وَمِن وَرَاءِ إِسْحَاقَ يَعْقُوبَ﴾ [هود:71] قال ابن كثير: وَمِنْ هَاهُنَا اسْتَدَلَّ مَنِ اسْتَدَلَّ بِهَذِهِ الْآيَةِ، عَلَى أَنَّ الذَّبِيحَ إِنَّمَا هُوَ إِسْمَاعِيلُ، وَأَنَّهُ يُمْتَنَعُ أَنْ يَكُونَ هُوَ إِسْحَاقُ؛ لِأَنَّهُ وَقَعَتِ الْبِشَارَةُ بِهِ، وَأَنَّهُ سَيُولَدُ لَهُ يَعْقُوبُ، فَكَيْفَ يُؤْمَرُ إِبْرَاهِيمُ بِذَبْحِهِ وَهُوَ طِفْلٌ صَغِيرٌ، وَلَمْ يُولَدْ لَهُ بَعْدُ يَعْقُوبُ الْمَوْعُودُ بِوُجُودِهِ. وَوَعْدُ اللَّهِ حَقٌّ لَا خُلْفَ فِيهِ، فَيُمْتَنَعُ أَنَّ يُؤْمَرَ بِذَبْحِ هَذَا وَالْحَالَةُ هَذِهِ، فَتَعَيَّنُ أَنْ يَكُونَ هُوَ إِسْمَاعِيلُ وَهَذَا مِنْ أَحْسَنِ الِاسْتِدْلَالِ وَأَصَحِّهِ وَأَبْيَنِهِ، وَلِلَّهِ الْحَمْدُ. 	71					
