نص السؤال 	رقم السورة 	رقم الآية 		
هناك جملة معترضة في آية ، اعتراضها يدل على أن الله يعجِّب فيها من الضلال الذي يَصِلُ إليه من حُرم من هداية الله و توفيقه ، بحيث يقول أقوالاً لا يقولها عاقل، تدل على استهانة بصفات الله . اذكر هذه الآية و الجملة المعترضة فيها .	3	﴿وَقالَت طائِفَـةٌ مِن أَهلِ الكِتـابِ آمِنوا بِالَّذي أُنزِلَ عَلَى الَّذينَ آمَنوا وَجهَ النَّهارِ وَاكفُروا آخِرَهُ لَعَلَّهُـم يَرجِعونَ۝وَلا تُؤمِنوا إِلّا لِمَن تَبِعَ دينَكُم #قُل إِنَّ الهُدى هُدَى اللَّهِ# أَن يُؤتى أَحَدٌ مِثلَ ما أوتيتُـم أَو يُحاجّوكُم عِندَ رَبِّكُم #قُل إِنَّ الفَضلَ بِيَدِ اللَّهِ يُؤتيهِ مَن يَشاءُ# وَاللَّهُ واسِعٌ عَليمٌ﴾ [آل عمران:72-73] قال ابن عاشور: وفائدة الاعتراض في أثناء كلامهم المبادرة بما يفيد ضلالهم لأنّ الله حرمهم التوفيق. وقال ابن كثير في تفسير ﴿وَلا تُؤمِنـوا إِلّا لِمَن تَبِعَ دينَكُم﴾ أي: لا تطمئنوا وتظهروا سركم وما  عندكم إلا لمن تبع دينكم، ولا تظهروا ما بأيديكم إلى المسلمين.. وقوله  ﴿أَن يُؤتى أَحَـدٌ مِثلَ ما أوتيتُم أَو يُحاجّوكُم عِندَ رَبِّكُم﴾، يقولون: لا تظهروا ما عندكم من العلم للمسلمين، فيتعلموه منكم، ويساووكم فيه، ويمتازوا به عليكم لشدة الإيمان به، أو يحاجوكم به عند الله. فانظر كيف أن هؤلاء ما قدروا الله حق قدره فكانوا يتكلمون وكأن الله -تعالى- لا يعلم سرّهم ونجواهم، فخافوا أن إذا آمنوا لغير أهل ملّتهم أن يكون ذلك حُجّةً عليهم عند ربهم، وكأن الله لا يطلع على نقاشهم هذا. فعجّب الله  من حالهم بهذه الجملة المعترضة ﴿قُل إِنَّ الهُدى هُدَى اللَّه﴾، والله أعلم.	72	73
الأصل في العلم أن يُحدِثَ تواضعاً للحق و أُلْفَةً بين الناس ، لكن من الناس من اتخذوه سبباً للاختلاف و مادة للتحاسد و التظالم ، فعملوا بعكس مقصده . اذكر آية بهذا المعنى 	3	{ إِنَّ ٱلدِّینَ عِندَ ٱللَّهِ ٱلۡإِسۡلَـٰمُۗ وَمَا ٱخۡتَلَفَ ٱلَّذِینَ أُوتُوا۟ ٱلۡكِتَـٰبَ إِلَّا مِنۢ بَعۡدِ مَا جَاۤءَهُمُ ٱلۡعِلۡمُ بَغۡیَۢا بَیۡنَهُمۡۗ وَمَن یَكۡفُرۡ بِـَٔایَـٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِیعُ ٱلۡحِسَابِ }[سُورَةُ آلِ عِمۡرَانَ: ١٩] وهناك آية من سورة البقرة بهذا المعنى: ﴿وَمَا اخْتَلـَفَ فِيهِ إِلاَّ الَّذِيـنَ أُوتُوهُ مِنْ بَعْدِ مَا جَـاءَتْهُمُ الْبَيِّنَـاتُ بَغْياً بَيْنَهُمْ﴾ [البقرة:213]. قال ابن كثير: فاختلفوا في الحق لتحاسدهم وتباغضهم وتدابرهم، فحَمِلَ بعضَهم بغضُ البعض الآخر على مخالفته في جميع أقواله وأفعاله، وإن كانت حقا).	19	
إذا ضحى المسلم في سبيل دينه و بذل له الغالي و النفيس موقناً و مصدقاً بالجزاء فإن ذلك يزيده تمسكاً بدينه و ثباتاً عليه . اذكر ثلاث كلمات من آية تدل على ذلك .	2	{وَمَثَلُ ٱلَّذِینَ یُنفِقُونَ أَمۡوَ ٰ⁠لَهُمُ ٱبۡتِغَاۤءَ مَرۡضَاتِ ٱللَّهِ #وَتَثۡبِیتࣰا مِّنۡ أَنفُسِهِمۡ# كَمَثَلِ جَنَّةِۭ بِرَبۡوَةٍ أَصَابَهَا وَابِلࣱ فَـَٔاتَتۡ أُكُلَهَا ضِعۡفَیۡنِ فَإِن لَّمۡ یُصِبۡهَا وَابِلࣱ فَطَلࣱّۗ وَٱللَّهُ بِمَا تَعۡمَلُونَ بَصِیرٌ }[سُورَةُ البَقَرَةِ: ٢٦٥ [ قال ابن عاشور: (ويجيءُ على الوجه الأول في تفسير التثبيت معنى أخلاقيّ جليل أشار إليه الفخرُ، وهو ما تقرر في الحكمة الخلقية أنَّ تكرُّر الأفعال هو الذي يُوجِبُ حصولَ المَلَكةِ الفاضلةِ في النّفْس، بحيث تَنْساقُ عَقِبَ حصولها إلى الكمالات باختيارها، وبلا كُلفة ولا ضجر، فالإيمان يأمر بالصدقة وأفعال البر، والذي يأتي تلك المأموراتِ يُثبّت نفسه بأخلاق الإيمان، وعلى هذا الوجه تصير الآية تحريضًا على تكرير الإنفاق). وقال غيره من المفسرين كابن كثير أن الله سيجزيهم على ذلك أوفر الجزاء.	265	
عادة ما يُخَذِّلُ الشيطان عن طاعة الله بالتخويف من عواقب هذه الطاعة . اذكر آية تدل على ذلك .	2	{ ٱلشَّیۡطَـٰنُ یَعِدُكُمُ ٱلۡفَقۡرَ وَیَأۡمُرُكُم بِٱلۡفَحۡشَاۤءِۖ وَٱللَّهُ یَعِدُكُم مَّغۡفِرَةࣰ مِّنۡهُ وَفَضۡلࣰاۗ وَٱللَّهُ وَ ٰ⁠سِعٌ عَلِیمࣱ }[سُورَةُ البَقَرَةِ: ٢٦٨] ﴿الشَّيطانُ يَعِدُكُمُ الفَقرَ﴾ يعني  يخوّفكم من الفقر إذا أنفقتم في سبيل الله،  ﴿وَيَأمُرُكُم بِالفَحشاءِ﴾ أي بالبخل وعدم إعطاء الزكاة. ضع هذه الآية أمام عينيك عندما يُخَذِّلُكَ الشيطان عن أي طاعة ويخوفك بعواقب هذه الطاعة. تذكر وعد الشيطان ووعد الله -تعالى- ﴿وَاللَّهُ يَعِدُكُـم مَغفِرَةً مِنهُ وَفَضلًا﴾.	268	
القرآن يعمل على تطهير القلب من خواطر السوء ، و ذلك باستحضار أن الله مطلع على ما يجول فيه ، فيستحي العبد أن يرى اللهُ قلبَه محلاً لتفكير رديء . اذكر آية تُنمّي هذه الرقابة .	3	{ قُلۡ إِن تُخۡفُوا۟ مَا فِی صُدُورِكُمۡ أَوۡ تُبۡدُوهُ یَعۡلَمۡهُ ٱللَّهُۗ وَیَعۡلَمُ مَا فِی ٱلسَّمَـٰوَ ٰ⁠تِ وَمَا فِی ٱلۡأَرۡضِۗ وَٱللَّهُ عَلَىٰ كُلِّ شَیۡءࣲ قَدِیرࣱ }[سُورَةُ آلِ عِمۡرَانَ: ٢٩]	29	
يحلف بعض التجار أيماناً كاذبة أن البضاعة عليه بكذا أو دُفع فيها كذا،  و لا يدري أن الله -تعالى- هَدَّدَ من يفعل ذلك بآية . اذكرها .	3	{ إِنَّ ٱلَّذِینَ یَشۡتَرُونَ بِعَهۡدِ ٱللَّهِ وَأَیۡمَـٰنِهِمۡ ثَمَنࣰا قَلِیلًا أُو۟لَـٰۤىِٕكَ لَا خَلَـٰقَ لَهُمۡ فِی ٱلۡـَٔاخِرَةِ وَلَا یُكَلِّمُهُمُ ٱللَّهُ وَلَا یَنظُرُ إِلَیۡهِمۡ یَوۡمَ ٱلۡقِیَـٰمَةِ وَلَا یُزَكِّیهِمۡ وَلَهُمۡ عَذَابٌ أَلِیمࣱ }[سُورَةُ آلِ عِمۡرَانَ: ٧٧] روى البخاري في كتاب البيوع (حديث رقم 2088): (عن عبد الله بن أبي أوفى أنَّ رَجلًا أقامَ سِلْعَةً  وهو في  السوق، فَحَلَفَ باللَّهِ لقَدْ أُعْطَى بهَا ما لَمْ يُعْط لِيُوقِعَ فِيهَا رَجُلًا مِنَ المُسْلِمِينَ، فَنَزَلَتْ: ﴿إنَّ الَّذِينَ يَشْتَرُونَ بعَـهْدِ اللَّهِ وأَيْمَانِهِمْ ثَمَنًا قَلِيلًا﴾).	77	
إحدى الأخوات الفاضلات حَثّت معارفها على التبرع بما لديهم من ملابس زائدة لتعطيها للفقراء . فجاءتها تبرعات من ناس أغنياء بملابس متسخة ما كانوا ليحبوا مثلها لهم . اذكر آية يَحْسُنُ أن تخاطب بها الاختُ هؤلاء لتنبيههم على خطئهم .	2	{یَـٰۤأَیُّهَا ٱلَّذِینَ ءَامَنُوۤا۟ أَنفِقُوا۟ مِن طَیِّبَـٰتِ مَا كَسَبۡتُمۡ وَمِمَّاۤ أَخۡرَجۡنَا لَكُم مِّنَ ٱلۡأَرۡضِۖ #وَلَا تَیَمَّمُوا۟ ٱلۡخَبِیثَ مِنۡهُ تُنفِقُونَ وَلَسۡتُم بِـَٔاخِذِیهِ إِلَّاۤ أَن تُغۡمِضُوا۟ فِیهِۚ# وَٱعۡلَمُوۤا۟ أَنَّ ٱللَّهَ غَنِیٌّ حَمِیدٌ }[سُورَةُ البَقَرَةِ: ٢٦٧ [ قال القرطبي: قوله تعالى: ﴿وَلَسْتُم  بِآخِذِيهِ  إِلَّا  أَن  تُغْمِضُوا  فِيهِ﴾ أي لستم بآخذيه في ديونكم وحقوقكم من الناس إلا أن تتساهلوا في ذلك وتتركوا من حقوقكم، وتكرهونه ولا ترضونه. أي: فلا تفعلوا مع الله ما لا ترضونه لأنفسكم.	267	
تصور نفسك تكاد تهوي في وادٍ ، فجاء من ينقذك و أنت تخاف أن تكون عقدته مرتخية الشد ، و لكنك وجدت الحبل منعقداً بإحكام . اذكر آية تُذَكِّرُك  بهذه الصورة و تطمئن المؤمن .	2	{لَاۤ إِكۡرَاهَ فِی ٱلدِّینِۖ قَد تَّبَیَّنَ ٱلرُّشۡدُ مِنَ ٱلۡغَیِّۚ فَمَن یَكۡفُرۡ بِٱلطَّـٰغُوتِ وَیُؤۡمِنۢ بِٱللَّهِ #فَقَدِ ٱسۡتَمۡسَكَ بِٱلۡعُرۡوَةِ ٱلۡوُثۡقَىٰ لَا ٱنفِصَامَ لَهَاۗ# وَٱللَّهُ سَمِیعٌ عَلِیمٌ }[سُورَةُ البَقَرَةِ: ٢٥٦ [ قال الزمخشري في الكَشّافِ: (مُثِّلَتْ حالُ المُتَوَكِّلِ بِحالِ مَن أرادَ أنْ يَتَدَلّى مِن شاهِقٍ فاحْتاطَ لِنَفْسِهِ بِأنِ اسْتَمْسَكَ بِأوْثَقِ عُرْوَةٍ مِن حَبْلٍ مَتِينٍ مَأْمُونٍ انْقِطاعُهُ).	256	
إذا مَنع العبدُ حق الله و حق عباده ، فإن الله يقسّي -عليه قلوب عباده و يلقي عليه الكراهية بين الناس . اذكر جزءاً من آية يشير إلى هذا المعنى .	2	{وَمَاۤ أَنفَقۡتُم مِّن نَّفَقَةٍ أَوۡ نَذَرۡتُم مِّن نَّذۡرࣲ فَإِنَّ ٱللَّهَ یَعۡلَمُهُۥۗ #وَمَا لِلظَّـٰلِمِینَ مِنۡ أَنصَارٍ#}[سُورَةُ البَقَرَةِ: ٢٧٠ [ قال ابن عاشور: (﴿وَمَا لِلظَّالِمِينَ مِنْ أَنصَارٍ﴾ هذا وعيد قُوبِلَ به الوعد الذي كنّي عنه بقوله ﴿فَإِنَّ اللَّهَ يَعْلَمُهُ﴾، والمراد بالظالمين المشركون علنا والمنافقون، لأنّهم إنْ منعوا الصدقات الواجبة فقد ظلموا مصارفها في حقّهم في المال وظلموا أنفسهم بإلقائها في تبعات المنع، وإن منعوا صدقة التطوُّع فقد ظلموا أنفسهم بحرمانها من فضائل الصدقات وثوابها في الآخرة. والأنصار جمع نصير، ونفي الأنصار كناية عن نفي النصر والغوث في الآخرة، وهو ظاهر، وفي الدنيا، لأنّهم لما بخلوا بنصرهم الفقير بأموالهم فإنّ الله يُعدِمهم النصير في المضائق، ويقسي عليهم قلوب عباده، ويلقي عليهم الكراهية من الناس).  وفي الحديث (صنائع المعروف تقي مصارع السوء). 	270	
مَن أنعم الله عليه بعلم أو مهارة يحتاجها الناس ينبغي ألا يمنعها عنهم ، فهذا من تمام شكر النعمة . اذكر جزءاً من آية فيه إشارة إلى ذلك .	2	{ وَلَا یَأۡبَ كَاتِبٌ أَن یَكۡتُبَ كَمَا عَلَّمَهُ ٱللَّهُۚ }[سُورَةُ البَقَرَةِ: ٢٨٢] قال ابن كثير: (﴿وَلَا يَأْبَ كَاتِبٌ أَن يَكْتُـبَ كَمَا عَلَّمَهُ اللَّهُ﴾ أي: ولا يَمتَنِعْ من يعرف الكتابة إذا سُئِل أن يكتب للناس، ولا ضرورة عليه في ذلك، فكما علمه الله ما لم يكن يعلم، فليتصدق على غيره ممن لا يحسن الكتابة وليكتب، كما جاء في الحديث: (إن من الصدقة أن تعين صانعا أو تصنع لأخرق). وفي الحديث الآخر: (من كتم علما يعلمه ألجم يوم القيامة بلجام من نار)).  وهناك خلاف بين أهل العلم في وجوب هذه الكتابة على مَن تعلمها مِن عدم وجوبها. لكنها مشروعة محضوض عليها على كل حال. 	282	
