نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2
القرآن لا يأتي بالآدلة الواضحة فحسب ، بل يبني البنية العقلية الفكرية الفطرية السليمة التي تستفيد من الأدلة و تستطيع التفريق بين الحق و الباطل . اذكر آية تدل على هذا المعنى. 	6	﴿قَدْ جَاءَكُم بَصَائِرُ مِن رَّبِّكُـمْ ۖ فَمَنْ أَبۡصَرَ فَلِنَفۡسِهِۦۖ وَمَنْ عَمِيَ فَعَلَيْهَا ۚ وَمَا أَنَا عَلَيْكُم بِحَفِيظٍ﴾ [الأنعام:104] قال ابن عاشور: (وبصائر جمع بصيرة، والبصيرة: العقل الّذي تظهر به المعاني والحقائق، كما أنّ البصر إدراك العين الّذي تتجلّى به الأجسام، وأطلقت البصائر على ما هو سبب فيها). وقال في موضع آخر: (وإنما جمع «البصائر» لأن القرآن أنواعاً من الهدى على حسب النواحي التي يهدي إليها، من تنوير العقل في إصلاح الاعتقاد، وتسديد الفهم في الدين، ووضع القوانين للمعاملات والمعاشرة بين الناس، والدلالة على طرق النجاح والنجاة في الدنيا، والتحذير من مهاوي الخسران).	104	
كثير من الناس يشكر ربه فقط على النعم الدنيوية ويغض طرفه عن النعم الدينية. اذكر آية تدلل على أنه يتوجب على العباد شكر الله لما يمن عليهم من معرفة الأحكام الشرعية وتبيينها.	5	﴿لا يُؤاخِـذُكُمُ اللَّهُ بِاللَّغوِ في أَيمانِكُـم وَلكِن يُؤاخِذُكُم بِما عَقَّدتُـمُ الأَيمانَ فَكَفّارَتُـهُ إِطعامُ عَشَرَةِ مَساكيـنَ مِن أَوسَطِ ما تُطعِمـونَ  أَهليكُم أَو كِسوَتُهُم أَو تَحريرُ رَقَبَـةٍ فَمَن لَم يَجِد فَصِيامُ ثَلاثَـةِ أَيّامٍ ذلِكَ كَفّارَةُ أَيمانِكُـم إِذا حَلَفتُـم وَاحفَظوا أَيمانَكُم #كَذلِكَ يُبَيِّنُ اللَّهُ لَكُم آياتِهِ لَعَلَّكُم تَشكُرونَ#﴾ [المائدة:89] فهذه نعمة يوضح الله عز وجل طريقة تكفير الأيمان، وهذه النعمة  فيها التيسير على المسلمين، يبينها الله للناس لعلهم يشكروه على هذه النعمة.	89	
المؤمن حريص على دخول إخوانه الجنة. قال الله ﴿وَما كانَ اللَّهُ لِيُضيعَ إيمـانَكُم إِنَّ اللَّهَ بِالنّاسِ لَرَءوفٌ رَحيمٌ﴾ [البقرة:143] ردا على من سأل عن حال من مات وقبلته إلى بيت المقدس هناك آية أخرى في هذا الجزء فيها الرد على سؤال كهذا.	5	﴿لَيسَ عَلَى الَّذينَ آمَنـوا وَعَمِلُـوا الصّالِحـاتِ جُناحٌ فيما طَعِمـوا إِذا مَا اتَّقَوا وَآمَنوا وَعَمِلُـوا الصّالِحـاتِ ثُمَّ اتَّقَوا وَآمَنوا ثُمَّ اتَّقَوا وَأَحسَنوا وَاللَّهُ يُحِبُّ المُحسِنينَ﴾ [المائدة:93] قال السعدي: (لمّا نَزَل تحريم الخمر والنهي الأكيد والتشديد فيه، تمنى أناس من المؤمنين أن يعلموا حال إخوانهم الذين ماتوا على الإسلام قبل تحريم الخمر وهم يشربونها. فأنزل الله هذه الآية، وأخبر تعالى أنه ﴿لَيْسَ عَلَى الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ جُنَـاحٌ﴾ أي: حرج وإثم ﴿فِيـمَا طَعِمُوا﴾ من الخمر والميسر قبل تحريمهما. ولما كان نفي الجناح يشمل المذكورات وغيرها، قيد ذلك بقوله: ﴿إِذَا مَا اتَّـقَوْا وَآمَنُوا وَعَمِـلُوا الصَّالِحَاتِ﴾ أي: بشرط أنهم تاركون للمعاصي، مؤمنون بالله إيمانا صحيحا، موجبا لهم عمل الصالحات، ثم استمروا على ذلك. وإلا فقد يتصف العبد بذلك في وقت دون آخر. فلا يكفي حتى يكون كذلك حتى يأتيه أجله، ويدوم على إحسانه، فإن الله يحب المحسنين في عبادة الخالق، المحسنين في نفع العبيد، ويدخل في هذه الآية الكريمة، من طعم المحرم، أو فعل غيره بعد التحريم، ثم اعترف بذنبه وتاب إلى الله، واتقى وآمن وعمل صالحا، فإن الله يغفر له، ويرتفع عنه الإثم في ذلك).	93	
كثير من الناس يغتر بسعة رحمة الله وهو مقصر في طاعة الله مسرف على نفسه ويقول  رحمته سبحانه واسعة وسيغفر لنا جميعا اذكر آية من جزء اليوم يعلمنا فيها سبحانه أنه لا بد للمرء من جناحين يطير بهما الخوف والرجاء.	5	﴿اعلَموا أَنَّ اللَّهَ شَديدُ العِقابِ وَأَنَّ اللَّهَ غَفورٌ رَحيمٌ﴾ [المائدة:98].	98	
اذكر آية توضح أن المشركين يجمعون بين الضلال والإضلال فلا هم ينتفعون الهدى ولا هم يريدون نفعه لغيرهم .	6	﴿وَهُم يَنـهَونَ عَنـهُ وَيَنـأَونَ عَنـهُ وَإِن يُهلِكونَ إِلّا أَنفُسَـهُم وَما يَشـعُرونَ﴾ [الأنعام:26] ﴿وَهُم يَنـهَونَ عَنهُ﴾ أي: ينهون الناس عن اتباع محمد صلى الله عليه وسلم ﴿وَيَنـأَونَ عَنهُ﴾، أي: يتباعدون عنه بأنفسهم.	26	
نذارة القرآن لجميع الناس لكن الله سبحانه خص نذارته للمؤمنين في بعض الآيات لأنهم المنتفعون على الحقيقة بالقرآن كما قال تعالى: ﴿لِيُنذِرَ مَـن كانَ حَيًّا وَيَحِـقَّ القَولُ عَلَى الكافِرينَ﴾ [يس:70]. اذكر آية بنفس المعنى.	6	{ وَأَنذِرۡ بِهِ ٱلَّذِینَ یَخَافُونَ أَن یُحۡشَرُوۤا۟ إِلَىٰ رَبِّهِمۡ لَیۡسَ لَهُم مِّن دُونِهِۦ وَلِیࣱّ وَلَا شَفِیعࣱ لَّعَلَّهُمۡ یَتَّقُونَ }[سُورَةُ الأَنۡعَامِ: ٥١]	51	
آية فيها تنبيه على أنه يحق الحمد لله عند هلاك الظلمة لأن هلاكهم صلاح للناس و الصلاح أعظم النعم و شكر النعمة واجب . اذكر هذه الآية. 	6	﴿فَقُطِعَ دابِـرُ القَومِ الَّذينَ ظَلَموا وَالحَمدُ لِلَّهِ رَبِّ العالَمينَ﴾ [الأنعام:45] قال ابن عاشور: ففي المرادِ منها اعْتِباراتٌ ثلاثة: أحدُها: أنْ تكونَ تَلْقِينًا لِلرسول ﷺ والمؤْمنين أنْ يَحْمَدُوا اللَّه على نصره رسله وأولياءهم وإهلاكِ الظالمِين، لأنَّ ذلك النصرَ نعمَةٌ بإزالة فسادٍ كانَ في الأرْضِ، ولأن في تذكِيرِ اللَّهِ النّاسَ به إيماءً إلى ترقّبِ الأسْوَةِ بِما حصلَ لمن قبلهم أنْ يَتَرَقَّبُوا نَصْرَ اللَّه كَما نَصَرَ المُؤْمِنِين من قبْلِهِمْ؛ فيكُونُ ﴿الحَمْدُ لِلَّهِ﴾ مصدرًا بدلًا من فعلِهِ، عدلَ عَنْ نَصْبِهِ وتَنْكِيرِهِ إلى رَفْعِهِ وتعْريفه للدَّلالَة على معنى الدَّوامِ والثبات، كَما تَقَدَّمَ في قَوْلِهِ تَعالى ﴿الحَمْدُ لِلَّهِ﴾ في سُورَةِ الفاتِحَةِ. ثانيها: أنْ يكون ﴿الحَمْدُ لِلَّهِ﴾ كِنايَةً عنْ كونِ ما ذُكِرَ قبله نعْمَة من نعَمِ اللَّهِ -تعالى- لِأنَّ مِن لَوازِمِ الحَمْدِ أنْ يَكُونَ عَلى نعمَة، فَكَأنَّهُ قِيلَ: فَقُطِعَ دابِرُ القَوْمِ الَّذِينَ ظَلَمُوا. وتِلْكَ نِعْمَةٌ مِن نِعَمِ اللَّهِ تَقْتَضِي حَمْدَهُ. ثالثها: أنْ يكون إنْشاءُ حمْدِ لِلَّهِ -تعالى- مِن قِبَلِ جَلالِهِ مُسْتَعْمَلًا في التعجيب مِن معامَلة اللَّه -تَعالى- إيّاهم وتدريجِهم في درجاتِ الإمهال إلى أنْ حَقَّ عَليهم العذاب. 	45	
قد تحصل معك مواقف يتضح فيها عناية الله بك أو استجابته لدعائك بشكل يستعصي -على التفاسير المادية المعتادة ، فتُسر بها . لكن عليك تذكر أن واجب الشكر يعظم و إثم كفران هذه المواقف يعظم كذلك .	5	﴿قَالَ  اللَّهُ إِنِّي مُنَزِّلُهَا عَلَيْكُمْ ۖ فَمَن يَكْفُرْ بَعْدُ مِنكُمْ فَإِنِّي أُعَذِّبُهُ عَذَابًا لَّا أُعَذِّبُهُ أَحَدًا مِّنَ الْعَالَمِينَ﴾ [المائدة:115] قال البغوي: وذلك أن بني إسرائيل سألوا الله -تعالى- نزول مائدة من السماء، فأخبرهم الله: إن سألتم نزول المائدة فإنها ستنزل عليكم ، ولكن من يكفر بعد نزول المائدة فإنه يعذبه عذابًا لم يعذبه أحدًا من عالم زمانهم. 	115	
على المسلم أن يُوطِّن نفسه على أنّ جزاء الأعمال و الخصال الخيّرة بتمامه هو في الآخرة ، لا في الدنيا . اذكر جزءاً من آية يوضّح هذا المفهوم. 	5	﴿#قَالَ اللَّهُ هَٰذَا يَوْمُ يَنفَعُ الصَّادِقِينَ صِدْقُهُمْ# ۚ لَهُمْ جَنَّـاتٌ تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِـدِينَ فِيهَا  أَبَدًا ۚ رَّضِيَ اللَّهُ عَـنْهُمْ وَرَضُوا عَنْـهُ ۚ ذَٰلِكَ الْفَوْزُ الْعَظِيمُ﴾ [المائدة:119] ومناسبة هذه الآية بما قبلها أن نبي الله عيسى لما قال لربه: ﴿إِن تُعَذِّبْهُمْ فَإِنَّهُمْ عِبَادُكَ ۖ وَإِن تَغْفِرْ لَـهُمْ فَإِنَّكَ أَنـتَ الْعَزِيزُ الْحَكِيمُ﴾، فقال الله في الآية التي تليها ﴿قَالَ اللَّهُ هَٰذَا يَوْمُ يَنـفَعُ الصَّادِقِينَ صِدْقُهُمْ﴾، يعني: تكون هذه الأشياء في يوم ينفع الصادقين في الدنيا صدقهم في الآخرة ، ولو كذبوا ختم الله على أفواههم ونطقت به جوارحهم فافتضحوا (مستفاد من تفسير البغوي).	119	
اذكر آية من الأجزاء السابقة تحمل المعنى نفسه.	3	﴿كُلُّ نَفْسٍ ذَائِقَـةُ الْمَوْتِ ۗ#وَإِنَّمَا تُوَفَّوْنَ أُجُورَكُمْ يَوْمَ الْقِيَامَةِۖ# فَمَن زُحْزِحَ عَنِ النَّارِ وَأُدْخِـلَ الْجَنَّةَ فَقَدْ فَازَ ۗ وَمَا الْحَيَاةُ الدُّنْيَا إِلَّا مَتَاعُ الْغُرُورِ﴾  [آل عمران:185] و(إنما) أداة تفيد الحصر: يعني لن تستوفوا جزاء أعمالكم إلا يوم القيامة، إن خيرًا فخير وإن شرًا فشر.	185	
