نص السؤال	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية 2
حين خلق الله آدم, كان سبحانه يعلم أنَّ آدم سيهبط من الجنة ، و ما حصل مع آدم و حواء من تعليم ثم من التعرض لوسوسة الشيطان الذي أغراهما بالأكل من الشجرة كان كلُّه تهيئةً لمهمة عظيمة تتطلب أن يكون لديهما حرية الاختيار و أن ينتبها لعداوة الشيطان و مقاومة نوازع الشهوات . اذكر جزءاً من آية يدل على ذلك.	2	{#وَإِذۡ قَالَ رَبُّكَ لِلۡمَلَـٰۤىِٕكَةِ إِنِّی جَاعِلࣱ فِی ٱلۡأَرۡضِ خَلِیفَةࣰۖ# قَالُوۤا۟ أَتَجۡعَلُ فِیهَا مَن یُفۡسِدُ فِیهَا وَیَسۡفِكُ ٱلدِّمَاۤءَ وَنَحۡنُ نُسَبِّحُ بِحَمۡدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّیۤ أَعۡلَمُ مَا لَا تَعۡلَمُونَ }[سُورَةُ البَقَرَةِ: ٣٠ ]فالله -عز وجل- عَلِم أزلًا أن آدم سينزل إلى الأرض بسبب معصيته من قبل أن يخلـقه، كـما قال: ﴿إِنِّي جَـاعِلٌ فِي الْأَرْضِ خَلِيفَةً﴾، ولكنـه لم يُجبِرَهُ على معصيتِه، ولا يخرج شيءٌ عن تقدير الله -تعالى- وحكمته. قارن ذلك بما في كتب أهل الكتاب المحرفة التي تُظهر وكأن الرب تفاجأ وغضب وخاف من أكله آدم وحواء من الشجرة، تعالى الله عن ذلك.  	30	
الأدلة على صحة دين الله تعالى واضحة شافية كافية لكل طالب حق ، فإذا رفضها أحد ، فهذا دلالة على سوئه و على أن الخروج عن طريق الخير شأنه و دأبه ، و ذلك يهيئه للكفر بمثل هذه الأدلة . و في ذلك رد على من يدعي أن " الملحد المسكين " قد تُعرَضُ عليه أدلة الإسلام فلا يقبلها و يكون مع ذلك معذوراً لم يقتنع بها ! بل إذا رفض أيُّ أحد أدلة الإسلام فهذا لعيب فيه لا لنقصٍ في الأدلة . اذكر آية تدل على ذلك .	2	{ وَلَقَدۡ أَنزَلۡنَاۤ إِلَیۡكَ ءَایَـٰتِۭ بَیِّنَـٰتࣲۖ وَمَا یَكۡفُرُ بِهَاۤ إِلَّا ٱلۡفَـٰسِقُونَ }[سُورَةُ البَقَرَةِ: ٩٩] , حيث ذكر الله تعالى أن آياته ﴿بَيِّنـاتٍ﴾ في غاية الوضوح، والدلالة وكافية لإقامة الحجة، وأعقبها -سبحانه- بقوله ﴿وَمَا يَكْفُرُ بِـهَا إِلَّا الْفَاسِقُونَ﴾. فتقديم النفي مع الاستثناء يفيد الحصر، يعني هذه الآيات الواضحات لا يكفر بها إلا الفاسقون الجاحدون لأمر الله تعالى.	99	
تكاليف الإسلام ثقيلة على ضعيف اليقين ، و كلما زاد يقينك بالله و باليوم الآخر سهل عليك القيام بها . اذكر الجواب في آيتين متتاليتين .	2	{ وَٱسۡتَعِینُوا۟ بِٱلصَّبۡرِ وَٱلصَّلَوٰةِۚ وَإِنَّهَا لَكَبِیرَةٌ إِلَّا عَلَى ٱلۡخَـٰشِعِینَ (٤٥) ٱلَّذِینَ یَظُنُّونَ أَنَّهُم مُّلَـٰقُوا۟ رَبِّهِمۡ وَأَنَّهُمۡ إِلَیۡهِ رَ ٰ⁠جِعُونَ (٤٦) }[سُورَةُ البَقَرَةِ: ٤٥-٤٦] , فالله يذكر لنا في الآية الكريمة في شأن الصلاة ﴿وَإِنَّها لَكَبيرَةٌ﴾، يعني: ثقيلة أو شاقة على النفوس. إلا أنها غير ثقيلة على عباده الخاشعين، ووصف هؤلاء الخاشعين بـ ﴿الَّذينَ يَظُنّـونَ أَنَّهُم مُلاقو رَبِّهِم﴾ يعني لديهم اليقين بأنهم مبعوثون ومحاسبون وراجعون إلى الله -تعالى-، وهذا اليقين هو ما يعينهم على إقامة الصلاة. والظن هنا بمعنى اليقين، كما في قوله تعالى مثلاً: ﴿وَرَأَى الْمُجْرِمُونَ النَّارَ فَظَنُّوا أَنَّهُم مُّوَاقِعُوهَا﴾. قال ابن عاشور: (والمراد بالخاشع هنا الذي ذلّلَ نفسه، وكسر سَورتها وعودها أن تطمئن إلى أمر الله، وتطلب حسن العواقب، وأن لا تغتر بما تزينه الشهوة الحاضرة. فهذا الذي كانت تلك صفته قد استعدت نفسه لقبول الخير. وكأن المراد بالخاشعين هنا الخائفون الناظرون في العواقب، فَتَخِفُّ عليهم الاستعانة بالصبر والصلاة، مع ما في الصبر من القمع للنفس وما في الصلاة من التزام أوقات معينة وطهارة في أوقات قد يكون للعبد فيها اشتغال بما يهوى أو بما يحصِّل منه مالًا أو لذة). 	45	46
من عادة الظالمين و المتآمرين على المسلمين أنهم يعملون بعض الأعمال "الخيرية"  لضحايا ظلمهم و تآمرهم! فلا يقال في هذه الحال : ( أحسَنوا في هذا الجانب و إن كانوا أساؤوا في غيره )، بل هم مذمومون بالتسبب في الأذية للناس و لا يُحمَدون على تخفيف آثار اذيتهم بعد ذلك . الجواب في آيتين متتاليتين .	2	{ وَإِذۡ أَخَذۡنَا مِیثَـٰقَكُمۡ لَا تَسۡفِكُونَ دِمَاۤءَكُمۡ وَلَا تُخۡرِجُونَ أَنفُسَكُم مِّن دِیَـٰرِكُمۡ ثُمَّ أَقۡرَرۡتُمۡ وَأَنتُمۡ تَشۡهَدُونَ (٨٤) ثُمَّ أَنتُمۡ هَـٰۤؤُلَاۤءِ تَقۡتُلُونَ أَنفُسَكُمۡ وَتُخۡرِجُونَ فَرِیقࣰا مِّنكُم مِّن دِیَـٰرِهِمۡ تَظَـٰهَرُونَ عَلَیۡهِم بِٱلۡإِثۡمِ وَٱلۡعُدۡوَ ٰ⁠نِ وَإِن یَأۡتُوكُمۡ أُسَـٰرَىٰ تُفَـٰدُوهُمۡ وَهُوَ مُحَرَّمٌ عَلَیۡكُمۡ إِخۡرَاجُهُمۡۚ أَفَتُؤۡمِنُونَ بِبَعۡضِ ٱلۡكِتَـٰبِ وَتَكۡفُرُونَ بِبَعۡضࣲۚ فَمَا جَزَاۤءُ مَن یَفۡعَلُ ذَ ٰ⁠لِكَ مِنكُمۡ إِلَّا خِزۡیࣱ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَاۖ وَیَوۡمَ ٱلۡقِیَـٰمَةِ یُرَدُّونَ إِلَىٰۤ أَشَدِّ ٱلۡعَذَابِۗ وَمَا ٱللَّهُ بِغَـٰفِلٍ عَمَّا تَعۡمَلُونَ (٨٥) }[سُورَةُ البَقَرَةِ: ٨٤-٨٥] , جاء في تفسير البغوي:(قال السدي: إن الله تعالى أخذ على بني إسرائيل في التوراة أن لا يقتل بعضهم بعضاً، ولا يُخرج بعضهم بعضاً من ديارهم، وأيما عبد أو أمة وجدتموه من بني إسرائيل فاشتروه بما قام من ثمنه وأعتقوه، فكانت قريظة حلفاء الأوس، والنضير حلفاء الخزرج، وكانوا يقتتلون في حرب سمير فيقاتل بنو قريظة وحلفاؤهم وبنو النضير وحلفاؤهم وإذا غلبوا أخربوا ديارهم وأخرجوهم منها، وإذا أَسَر رجل من الفريقين جمعوا له حتى يفدوه وإن كان الأسير من عدوهم، فتُعَيِّرهم الأعراب وتقول: كيف تقاتلونهم وتفدونهم قالوا: إنا أُمِرنا أن نفديهم، فيقولون: فلم تقاتلونهم؟ قالوا: إنا نستحيي أن يُستذل حلفاؤنا). فاليهود كانوا يفعلون هذه الأفعال من افتداء الأسرى والتي ظاهرها (أعمال خيرية) ومع ذلك لم يقل الله لهم: أحسنتم في هذا الجانب (افتداء الأسرى)، وإن كنتم أسأتم في غيره (قتال إخوانهم من اليهود والتسبب في أسرهم). بل إن الله تعالى يوجه لهم خطابًا شديدًا بسبب  تسببهم بالأذية من البداية ومخالفة النهي ﴿لا تَسفِكونَ دِماءَكُم وَلا تُخـرِجونَ أَنفُسَكُم مِن دِيارِكُم﴾، ويوجه لهم خطابًا في غاية التشنيع  ﴿فَما جَـزاءُ مَن يَفعَلُ ذلِكَ مِنكُم إِلّا خِزيٌ فِي الحَـياةِ الدُّنيا وَيَومَ القِيامَةِ يُرَدّونَ إِلى أَشَدِّ العَذابِ وَمَا اللَّهُ بِغافِلٍ عَمّا تَعمَلونَ﴾. 	84	85
الله عز و جل يُعجّب لعباده أمر الفاكهة التي تكون بنفس الشكل و لكن بمذاق مختلف . اذكر آية تدل على هذا المعنى .	2	{وَبَشِّرِ ٱلَّذِینَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ أَنَّ لَهُمۡ جَنَّـٰتࣲ تَجۡرِی مِن تَحۡتِهَا ٱلۡأَنۡهَـٰرُۖ كُلَّمَا رُزِقُوا۟ مِنۡهَا مِن ثَمَرَةࣲ رِّزۡقࣰا قَالُوا۟ هَـٰذَا ٱلَّذِی رُزِقۡنَا مِن قَبۡلُۖ #وَأُتُوا۟ بِهِۦ مُتَشَـٰبِهࣰاۖ# وَلَهُمۡ فِیهَاۤ أَزۡوَ ٰ⁠جࣱ مُّطَهَّرَةࣱۖ وَهُمۡ فِیهَا خَـٰلِدُونَ }[سُورَةُ البَقَرَةِ: ٢٥ ], ﴿وَأُتوا بِهِ مُتَشابِهًا﴾ قيل: يشبه بعضه بعضا، ويختلف في الطعم، فلا سآمة ولا رتابة في الجنة. حتى الفاكهة التي تبدو بنفس الشكل يتغير طعمها من قبيل المفاجأة والله أعلم.	25	
مغفرة الله لذنب العبد لا يلزم منها محو الآثار الدنيوية لمعصيته .اذكر جزءاً من آية يوضح هذا المعنى .	2	{#قُلۡنَا ٱهۡبِطُوا۟ مِنۡهَا جَمِیعࣰاۖ# فَإِمَّا یَأۡتِیَنَّكُم مِّنِّی هُدࣰى فَمَن تَبِعَ هُدَایَ فَلَا خَوۡفٌ عَلَیۡهِمۡ وَلَا هُمۡ یَحۡزَنُونَ }[سُورَةُ البَقَرَةِ: ٣٨ ] ,فالله -عزّ وجلّ- قَبِل توبة آدم كما أوضح في سورة الأعراف ﴿فَتَلَقَّىٰ آدَمُ مِن رَّبِّـهِ كَلِمَـاتٍ فَتَـابَ عَلَيْهِ﴾، ولكن مع هذه التوبة من الله فإنها لم تمحُ الآثار الدنيوية، وهي الهبوط من الجنة ﴿قُلنَا اهبِطوا مِنها جَميعًا﴾. ومثال آخر على ذلك قول الله -تعالى-: ﴿وَإِذ قـالَ موسى لِقَومِهِ يا قَومِ إِنَّكُم ظَلَمتُم أَنفُسَكُم بِاتِّخاذِكُـمُ العِجلَ فَتوبوا إِلى بارِئِكُم فَاقتُلوا أَنفُسَـكُم ذلِكُم خَيرٌ لَكُم عِندَ بارِئِكُم فَتـــابَ عَلَيكُم إِنَّهُ هُوَ التَّوّابُ الرَّحيمُ﴾ [البقرة:54]. فالله -عزّ وجلّ- قَبِلَ توبةَ بني إسرائيل ﴿فَتـابَ عَلَيكُم﴾، ولكن هذه التوبة من الله كانت مشروطة بتنفيذ العقوبة الدنيوية ﴿فَاقتُـلوا أَنفُسَكُم ذلِكُم خَيرٌ لَكُم عِندَ بارِئِكُم﴾. 	38	
في الحديث أدلة وجود الله تعالى : نذكر دليل إيجاد المخلوقات . قد يقول قائل : أنا أُوجِدتُ من الحيوان المنوي لأبي و بويضة أمي ... فنقول : هؤلاء الآباء بدورهم و آباء آبائهم لا بد لهم من خالق ينتهي عنده التسلسل.  يعني يستحيل عقلاً أن تتسلسل الأسباب إلى ما لا بداية . اذكر ثلاث كلمات من آية تشير إلى هذا المعنى  	2	{ یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ #وَٱلَّذِینَ مِن قَبۡلِكُمۡ# لَعَلَّكُمۡ تَتَّقُونَ }[سُورَةُ البَقَرَةِ: ٢١ ]	21	
من عُلوية الخطاب القرآني أنك تجد أن الله تعالى يهدد تهديداً يخلع القلوب ثم يُتبعه بخطاب فيه إيناس و إرشاد و فتح باب التوبة كما قال تعالى :{ لَّقَدۡ كَفَرَ ٱلَّذِینَ قَالُوۤا۟ إِنَّ ٱللَّهَ ثَالِثُ ثَلَـٰثَةࣲۘ وَمَا مِنۡ إِلَـٰهٍ إِلَّاۤ إِلَـٰهࣱ وَ ٰ⁠حِدࣱۚ وَإِن لَّمۡ یَنتَهُوا۟ عَمَّا یَقُولُونَ لَیَمَسَّنَّ ٱلَّذِینَ كَفَرُوا۟ مِنۡهُمۡ عَذَابٌ أَلِیمٌ ● أَفَلَا یَتُوبُونَ إِلَى ٱللَّهِ وَیَسۡتَغۡفِرُونَهُۥۚ وَٱللَّهُ غَفُورࣱ رَّحِیمࣱ }[سُورَةُ المَائـِدَةِ:٧٣، ٧٤]  . اذكر آية فيها إقبال من الله تعالى على عباده بعد تخويف و تقريع .	2	{ یَـٰۤأَیُّهَا ٱلنَّاسُ ٱعۡبُدُوا۟ رَبَّكُمُ ٱلَّذِی خَلَقَكُمۡ وَٱلَّذِینَ مِن قَبۡلِكُمۡ لَعَلَّكُمۡ تَتَّقُونَ }[سُورَةُ البَقَرَةِ: ٢١] , بعد قوله تعالى: ﴿يَكـادُ البَرقُ يَخـطَفُ أَبـصارَهُم كُلَّمـا أَضـاءَ لَهُم مَشَوا فيهِ وَإِذا أَظلَـمَ عَلَـيهِم قامـوا وَلَو شاءَ اللَّهُ لَذَهَبَ بِسَمعِهِم وَأَبصارِهِم إِنَّ اللَّهَ عَلى كُلِّ شَيءٍ قَديرٌ﴾ [البقرة:20] فجاء التخويف والتقريع في الآية الأولى ﴿وَلَـو شاءَ اللَّهُ لَـذَهَبَ بِسَـمعِهِم وَأَبصارِهِم﴾، ثم أتبعه بخطاب إقبال ورحمة من الله تعالى: ﴿يَا أَيُّـهَا النّاسُ اعبُدوا رَبَّكُمُ﴾. 	21	
قد يصل المرء مطموس القلب إلى مرحلة أنه لا يدرك سوء عاقبة أفعاله في الأرض و الخلق .	2	{ وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ (١١) أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ (١٢) }[سُورَةُ البَقَرَةِ: ١١-١٢] , فالمنافقون لم يستشعروا سوء عاقبة أفعالهم، وأنها تنشر الفساد في الأرض، بل أوصلهم عمى قلوبهم إلى استشعار أن ما يفعلونه هو من الإصلاح ﴿قالوا إِنَّما نَحنُ مُصلِحونَ﴾.  	11	12
يحتجُّ بعض المبطلين بقولهم : "  إنَّ الله كتب علينا الضلال ، و لو شاء الله لهدانا " . و كأن الله أجبرهم على الضلال و لم يخيّرهم . و قد بيَّن القرآن الكريم في عدة مواضع بطلان هذا الادعاء و أنَّ الإنسانَ يكتسب بعمل نفسه الحرمان من هداية الله و توفيقه ، كما قال الله تعالى : { وَقَالُوا۟ قُلُوبُنَا غُلۡفُۢۚ بَل لَّعَنَهُمُ ٱللَّهُ بِكُفۡرِهِمۡ فَقَلِیلࣰا مَّا یُؤۡمِنُونَ }[سُورَةُ البَقَرَةِ: ٨٨].	2	{ فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ }[سُورَةُ البَقَرَةِ: ١٠] , فالأصل أن قلوبهم كانت مريضة فزادهم الله مرضاً فلم يجبرهم الله عز وجل على مرض القلوب، كما قال تعالى: ﴿فلما زاغوا أزاغ الله قلوبهم﴾ [الصف:5].ونجد في المقابل أنَّ من آمن قلبُه واهتدى واستسلم لله فإنَّ الله يزيده هدىً وإيماناً كما في قـوله تعـالى: ﴿وَالَّذِينَ اهْتَدَوْا زَادَهُمْ هُدًى وَآتَاهُمْ تَقْوَاهُمْ﴾ [محمد: 17]. فالجزاءُ من جنس العمل. 	10	
