نص السؤال 	رقم السورة 	رقم الاية	رقم آية 1	رقم آية 2	رقم آية 3
قد يتصور البعض أن سبب الخلاف والتشاحن بين أفراد المجتمع الواحد من المجتمعات الإنسانية هو اقتصادي بالدرجة الأولى ، بحيث إذا ازدهر اقتصاد هذا المجتمع وسدت حاجات الناس وتحققت لهم الرفاهية فإن هذا كفيل بأن يقضي على المشاكل الاجتماعية ويحدث الألفة والتماسك بين الأفراد . اذكر آية تدل على خلاف ذلك .	8	﴿وَأَلَّفَ بَيـنَ قُلـوبِهِـم لَو أَنفَقتَ ما فِي الأَرضِ جَميـعًا ما أَلَّفتَ بَينَ قُلوبِهِم وَلكِنَّ اللَّهَ أَلَّفَ بَينَهُم إِنَّهُ عَزيزٌ حَكيمٌ﴾ [الأنفال:63]. فهذه الآية في الأوس والخزرج، قال السعدي:‏ (فاجتمعوا وائتلفوا، وازدادت قوتهم بسبب اجتماعهم، ولم يكن هذا بسعي أحد، ولا بقوة غير قوة اللّه،فلو أنفقت ما في الأرض جميعا من ذهب وفضة وغيرهما لتأليفهم بعد تلك النفرة والفرقة الشديدة ‏﴿مَا أَلَّفْتَ بَيْنَ قُلُوبِهِمْ﴾‏ لأنه لا يقدر على تقليب القلوب إلا اللّه تعالى)‏.	63		
من أقبل بوجهه على الباطل وأهله وأعرض بظهره عن الحق وأهله فإن الجزاء يأتيه عند موته وفاقا . اذكر آية فيها هذا المعنى .	8	{وَلَوْ تَرَىٰ إِذْ يَتَوَفَّى الَّذِينَ كَفَرُوا ۙ الْمَلَائِكَةُ يَضْرِبُونَ وُجُوهَهُمْ وَأَدْبَارَهُمْ وَذُوقُوا عَذَابَ الْحَرِيقِ} [الأنفال : 50]	50		
قد يفكر المسلم بنقض عهده مع غير المسلمين ، متعذراً بأنهم أهل غدر . لكن هناك آية تمنعه ، إذ هي تطمئن النبي صلى الله عليه وسلم إلى أن الله تعالى يكفيه شـر الغادرين المخادعين . فالمسلم يتأسى بالنبي في الوفاء بالعهد مع المشركين ، ويرجو من الله أن يكفيه شر غدرهم . لكنه لا يغدر ولا يخون .	8	{وَإِن يُرِيدُوا أَن يَخْدَعُوكَ فَإِنَّ حَسْبَكَ اللَّهُ ۚ هُوَ الَّذِي أَيَّدَكَ بِنَصْرِهِ وَبِالْمُؤْمِنِينَ} [الأنفال : 62]	62		
اذكر آية جعل الله فيها غباوة الكفر منتقصة من قوة الكفار وإن كثروا .	8	{يَا أَيُّهَا النَّبِيُّ حَرِّضِ الْمُؤْمِنِينَ عَلَى الْقِتَالِ ۚ إِن يَكُن مِّنكُمْ عِشْرُونَ صَابِرُونَ يَغْلِبُوا مِائَتَيْنِ ۚ وَإِن يَكُن مِّنكُم مِّائَةٌ يَغْلِبُوا أَلْفًا مِّنَ الَّذِينَ كَفَرُوا بِأَنَّهُمْ قَوْمٌ لَّا يَفْقَهُونَ} [الأنفال : 65]	65		
من أعظم أسباب هزيمة الأمة فساد ذات بينها في الجزئيات في زمن صـراع الكليات . اذكر خمس كلمات من آية تدل على ذلك .	8	﴿وَأَطيعُوا اللَّهَ وَرَسولَهُ #وَلا تَنازَعوا فَتَفشَلوا وَتَذهَبَ ريحُكُم# وَاصبِروا إِنَّ اللَّهَ مَـعَ الصّابِرينَ﴾ [الأنفال:46] قال السعدي: (قوله -تعالى- ﴿‏وَلَا تَنَـازَعُوا‏﴾‏ تنازعا يوجب تشتت القلوب وتفرقها، ﴿‏فَتَفْشَـلُوا‏﴾‏ أي‏:‏ تجبنـوا ‏﴿‏وَتَـذْهَبَ رِيـحُكُمْ‏﴾‏ أي‏:‏ تنحل عزائمكـم، وتفرق قوتكم، ويرفع ما وعدتم به من النصر على طاعة اللّه ورسوله‏).‏	46		
عند سهولة التكاليف ويسر الطاعات يمكن لأي شخص كان ادعاء الإيمان والامتثال . لكن لا يتبين المؤمن الحقيقي من المنافق أو ضعيف الإيمان إلا في الشدائد والتكاليف الصعبة . اذكر آية تدل على هذا المعنى .	9	﴿لَو  كانَ  عَرَضًا  قَريبًا وَسَفَرًا قاصِدًا لَاتَّبَعوكَ وَلكِن بَعُدَت عَلَيهِمُ الشُّقَّةُ وَسَيَحلِفونَ بِاللَّهِ لَوِ استَطَعنـا لَخَرَجنـا مَعَكُـم يُهلِكـونَ أَنفُسَهُـم وَاللَّهُ يَعلَمُ إِنَّهُم لَكاذِبونَ﴾ [التوبة:42] قال البغوي: قوله -تعالى- ﴿لَو كانَ عَرَضًا قَريبًـا﴾ ، أي : لو كان ما تدعون إليه المنافقين غنيمة قريبة المتناول ، ﴿وَسَفَـرًا قـاصِـدًا﴾ أي قريبا هينا ، ﴿لَاتَّبَعوكَ﴾ لخرجوا معك ، ﴿وَلكِن بَعُدَت عَلَيهِمُ الشُّقَّةُ﴾ أي : المسافة ، والشقة : السفر البعيد.	42		
الأمر بالمعروف والنهي عن المنكر ليس مهمة الدعاة والعلماء فقط ، بل مهمة كل مؤمن ، بما فيهم النساء . اذكر آية تدل على ذلك .	9	{وَالْمُؤْمِنُونَ وَالْمُؤْمِنَاتُ بَعْضُهُمْ أَوْلِيَاءُ بَعْضٍ ۚ يَأْمُرُونَ بِالْمَعْرُوفِ وَيَنْهَوْنَ عَنِ الْمُنكَرِ وَيُقِيمُونَ الصَّلَاةَ وَيُؤْتُونَ الزَّكَاةَ وَيُطِيعُونَ اللَّهَ وَرَسُولَهُ ۚ أُولَٰئِكَ سَيَرْحَمُهُمُ اللَّهُ ۗ إِنَّ اللَّهَ عَزِيزٌ حَكِيمٌ} [التوبة : 71]	71		
كثيراً ما نتطلع إلى نعم زائدة على ما في أيدينا ، وننسى أن الله تعالى إن آتانا هذه النعم فقد لا نستطيع الوفاء بحقها ، فتتحول هذه النعم إلى سـبب فتنة لقلوبنا يهلكنا في أخرانا . اذكر مطلع ثلاث آيات متتابعات تبين ذلك .	9	{  وَمِنۡهُم مَّنۡ عَـٰهَدَ ٱللَّهَ لَىِٕنۡ ءَاتَىٰنَا مِن فَضۡلِهِۦ لَنَصَّدَّقَنَّ وَلَنَكُونَنَّ مِنَ ٱلصَّـٰلِحِینَ (٧٥) فَلَمَّاۤ ءَاتَىٰهُم مِّن فَضۡلِهِۦ بَخِلُوا۟ بِهِۦ وَتَوَلَّوا۟ وَّهُم مُّعۡرِضُونَ (٧٦) فَأَعۡقَبَهُمۡ نِفَاقࣰا فِی قُلُوبِهِمۡ إِلَىٰ یَوۡمِ یَلۡقَوۡنَهُۥ بِمَاۤ أَخۡلَفُوا۟ ٱللَّهَ مَا وَعَدُوهُ وَبِمَا كَانُوا۟ یَكۡذِبُونَ (٧٧) }[سُورَةُ التَّوۡبَةِ: ٧٥-٧٧]	75	76	77
كلمتان وردتا في آية كانتا بمثابة شهادة من الله على صدق الصحابة رضـوان الله عليهم . ما هما ؟	9	﴿وَمِنهُمُ  الَّذينَ يُؤذونَ النَّبِيَّ وَيَقـولونَ هُو أُذُنُ قُل أُذُنُ خَيرٍ لَكُم يُؤمِنُ بِاللَّهِ #وَيُؤمِنُ لِلمُؤمِنينَ# وَرَحمَةٌ لِلَّذينَ آمَنـوا مِنكُم وَالَّذينَ يُؤذونَ رَسـولَ اللَّهِ لَهُـم عَذابٌ أَليمٌ﴾ [التوبة:61]     قال ابن عاشور: (والإيمان للمؤمنين تصديقهم في ما يخبرونه، يقال: آمن لفلانٍ بِمَعْنى صدَّقَه، ولِذلك عُدِّيَ باللّامِ دون الباءِ كَما في قوله - تَعالى- حكاية عن إخوة يوسف: ﴿وما أنْتَ بِمُؤْمِنٍ لَنا ولَوْ كُنّا صادِقِينَ﴾ [يوسف:17] فتصديقه إيّاهم لأنَّهم صادقون لا يكذبونَ؛ لِأنَّ الإيمانَ وازِعٌ لَهم عنْ أنْ يُخْبِرُوهُ الكذب، فكَما أنَّ الرسول لا يؤاخذ أحدًا بخبرِ الكاذب فهو يُعامِل الناس بشهادة المؤمنين، فقوله: ﴿ويُؤْمِـنُ لِلْمُؤْمِنِينَ﴾ ثناءٌ عليه بِذَلِكَ يتضمّن الأمر به، فهو ضدّ قَوْلِهِ: ﴿يا أيُّها الَّذِينَ آمَنُوا إنْ جاءَكم  فاسِقٌ  بِنَبَأٍ فَتَبَيَّنُوا﴾ [الحجرات:6]). 	61		
من أفضـل الطرق لمواجهة كلمات التهكم هو أن تسـتـخـدمهـا ذاتها وتغير مسارها ، فكما قد تستخدم الكلمة للذم والقدح ، فإنه يمكن استخدامها في سياق آخر للمدح ورفع شأن صاحبها . هناك كلمة وردت مرتين في آية واحدة فجاءت مرة في سياق السخرية ثم أصبحت في سياق المدح والرفعة ، ما هي هذه الكلمة ؟	9	{وَمِنْهُمُ الَّذِينَ يُؤْذُونَ النَّبِيَّ وَيَقُولُونَ هُوَ #أُذُنٌ# ۚ قُلْ #أُذُنُ خَيْرٍ# لَّكُمْ يُؤْمِنُ بِاللَّهِ وَيُؤْمِنُ لِلْمُؤْمِنِينَ وَرَحْمَةٌ لِّلَّذِينَ آمَنُوا مِنكُمْ ۚ وَالَّذِينَ يُؤْذُونَ رَسُولَ اللَّهِ لَهُمْ عَذَابٌ أَلِيمٌ} [التوبة:61 ]قال السعدي: قول-تعالى- ﴿وَيَقولونَ هُوَ أُذُنٌ﴾ يعني كان يقول المنافقون عن النبي -صلى الله عليه وسلم- أنه  يقبل كل ما يقال له، لا يميز بين صادق وكاذب، فرد الله عليهم ﴿قُـل أُذُنُ خَيـرٍ لَكُـم﴾ أي‏:‏ يقبل من قال له خيرا وصدقًا‏.‏وأما إعراضه وعدم تعنيفه لكثير من المنافقين المعتذرين بالأعذار الكذب، فلسعة خلقه، وعدم اهتمامه بشأنهم. قال ابن عاشور: وجُمْلَةُ ﴿قُـل أُذُنُ خَيـرٍ لَكُـم﴾ جُمْلَةُ قُلْ مُسْتَأْنَفَةٌ اسْتِئْنافًا ابْتِدائِيًّا، عَلى طَرِيقَةِ المُقاوَلَةِ والمُحاوَرَةِ، لِإبْطالِ قَوْلِهِمْ بِقَلْبِ مَقْصِدِهِمْ إغاظَةً لَهم، وكَمْدًا لِمَقاصِدِهِمْ، وهو مِنَ الأُسْلُوبِ الحَكِيمِ الَّذِي يَحْمِلُ فِيهِ المُخاطَبُ كَلامَ المُتَكَلِّمِ عَلى غَيْرِ ما يُرِيدُهُ، تَنْبِيهًا لَهُ عَلى أنَّهُ الأوْلى بِأنْ يُراد.	61		
