نص السؤال 	رقم السورة 	رقم الآية 	رقم آية 1	رقم آية2
موقفُ ثباتٍ من النبي صلى الله عليه وسلم ينسِبُ فيه القرآن الفضلَ إلى الله تعالى. اذكر ثلاث كلمات فيها هذه النسبة.	17	﴿وَلَولا أَن ثَبَّتناكَ لَقَد كِدتَ تَركَنُ إِلَيهِم شَيئًا قَليلًا﴾ [الإسراء:74]. فقد ثبت النبي صلى الله عليه وسلم طوال دعوته ولم يركن إلى المشركين، فتنسب الآية الفضل في هذا الثبات العظيم إلى الله تعالى: ﴿وَلَولا أَن ثَبَّتناكَ﴾.	74	
اذكر آيتين فيهما خطاب للنبي بما يؤكد على أن كرامته على الله مقرونة بطاعته، وأنه إن أشرك فقد هذه الكرامة.	17	﴿لا تَجعَل مَعَ اللَّهِ إِلهًا آخَرَ فَتَقعُدَ مَذمومًا مَخذولًا﴾  [الإسراء:22] ﴿وَلا تَجعَل مَعَ اللَّهِ إِلهًا آخَرَ فَتُلقى في جَهَنَّمَ مَلومًا مَدحورًا﴾  [الإسراء:39] وهذه أيضا رسالة للأمة من بعده عليه السلام. جاء في تفسير الطبري: (عن قتادة، قوله ﴿لا تَجْعَـلْ مَعَ اللَّهِ إِلَهًا آخَرَ فَتَقْعُدَ مَذْمُومًـا مَخْذُولا﴾ يقول: مذموما في نعمة الله، وهذا الكلام وإن كان خرج على وجه الخطاب لنبيّ الله صلى الله عليه وسلم، فهو معنيّ به جميع من لزمه التكليف من عباد الله جلّ وعزّ).	22	39
قال تعالى في أهل النار: (وَالَّذِينَ كَفَرُوا لَهُمْ نَارُ جَهَنَّمَ لَا يُقْضَىٰ عَلَيْهِمْ فَيَمُوتُوا وَلَا يُخَفَّفُ عَنْهُم مِّنْ عَذَابِهَا ۚ كَذَٰلِكَ نَجْزِي كُلَّ كَفُورٍ) ]فاطر:36 [. وهذا يُشعر بأن نار جهنم لا تخبو. اذكر آية فيها حرف واحد يحل ما قد يظهر أنه تعارض بين الآيتين.	17	﴿وَمَن يَهدِ اللَّهُ فَهُوَ المُهتَدِ وَمَن يُضلِل فَلَن تَجِدَ لَهُم أَولِيـاءَ مِن دونِهِ وَنَحشُرُهُم يَومَ القِيامَةِ عَلى وُجوهِهِم عُميًا وَبُكمًا وَصُمًّا مَأواهُم جَهَنَّمُ كُلَّمـا خَبَت زِدناهُم سَعيرًا﴾ [الإسراء:97] جاء في تفسير ابن عاشور: (عن ابن عباس : أن الكفرة وقود للنار قال تعالى وقودها الناس والحجارة فإذا أحرقتهم النار زال اللهب الذي كان متصاعدا من أجسامهم ، فلا يلبثون أن يعادوا كما كانوا فيعود الالتهاب لهم . فالخبو وازدياد الاشتعال بالنسبة إلى أجسادهم لا في أصل نار جهنم ، ولهذه النكتة سلط فعل زدناهم على ضمير المشركين للدلالة على أن ازدياد السعير كان فيهم ، فكأنه قيل : كلما خبت فيهم زدناهم سعيرا ، ولم يقل : زدناها سعيرا) .	97	
آية تُعينُ في حل المشاكل بين المسلمين، وتفسير وقوع الخلاف بين طرفين مُريدين للخير.	17	﴿#وَقُل لِعِبادي يَقولُوا الَّتي هِيَ أَحسَنُ إِنَّ الشَّيطانَ يَنزَغُ بَينَهُم# إِنَّ الشَّيطانَ كانَ لِلإِنسانِ عَدُوًّا مُبينًا﴾ [الإسراء:53].	53	
تشويه الصادقين بالألقاب وسيلة جاهلية، يطلقون لقباً بالأمس يناقض لقب اليوم والمقصود واحد، تشويه صورته وتنفير الناس عنه. اذكر مطلع آية تدل على تخبطهم في ذلك.	17	﴿انظُر كَيفَ ضَرَبوا لَكَ الأَمثالَ فَضَلّوا فَلا يَستَطيعونَ سَبيلًا﴾ [الإسراء:48]، ومثيلتها في سورة الفرقان الآية التاسعة. (﴿انظُر﴾ يا محمد ﴿كَيـفَ ضَرَبوا لَكَ الأَمثـالَ﴾ الأشباه، قالوا : شاعر وساحر وكاهن ومجنـون ﴿فَضَلّوا﴾ فحـاروا وحـادوا ﴿فَلا يَستَطيعونَ سَبيلًا﴾ أي: وصـولا إلى طريق الحق) (تفسير البغوي).	48	
اذكر كلمتين من آية تدلان على أدب نبيٍ وتواضعه في تعامله مع من يقوم بخدمته.	18	﴿فَلَمّا جاوَزا قالَ لِفَتاهُ #آتِنا غَداءَنا# لَقَد لَقينا مِن سَفَرِنا هذا نَصَبًا﴾ [الكهف:62].	62	
ست كلمات من آية تدل على أن الإنسان يرجع إلى ربه بلا مال ولا أهل ولا عشيرة. ما هي؟	18	﴿وَعُرِضوا  عَلى رَبِّكَ صَفًّا #لَقَد جِئتُمونا كَما خَلَقناكُم أَوَّلَ مَرَّةٍ# بَل زَعَمتُم أَلَّن نَجعَلَ لَكُم مَوعِدًا﴾ [الكهف:48].	48	
جعل الله الدنيا مغرية ملهية، ليرى أقواهُم عزيمةً يُقدَّم حق ربه على شهوة نفسه. اذكر آية تدل على هذا المعنى.	18	{إِنَّا جَعَلْنَا مَا عَلَى الْأَرْضِ زِينَةً لَهَا لِنَبْلُوَهُمْ أَيُّهُمْ أَحْسَنُ عَمَلًا}[ الكهف :7 ]	7	
لا تغتر بنفسك في أية رِفعةٍ أو خير تصل إليه، فكل ما أنت فيه من خير هو محض فضل من الله، وهو قادر على سلبه منك. اذكر آية تدل على هذا المعنى.	17	{وَلَئِن شِئْنَا لَنَذْهَبَنَّ بِالَّذِي أَوْحَيْنَا إِلَيْكَ ثُمَّ لَا تَجِدُ لَكَ بِهِ عَلَيْنَا وَكِيلًا}[ الإسراء : 86]	86	
صاحبك يتقرب إلى الله بما لم يشرع. نصحته فقال لك: (المهم العمل بنية طيبة). اذكر كلمة من آية ترد بها عليه.	17	﴿وَمَن أَرادَ الآخِرَةَ وَسَـعى لَها #سَـعيَها# وَهُوَ مُؤمِنٌ فَأُولئِكَ كانَ سَعيُهُم مَشكورًا﴾ [الإسراء:19] وَقولهُ: ﴿وَمَنْ أَرَادَ الآخِرَةَ﴾ أَي: أَرَادَ الدَّارَ الآخِرَةَ وَمَا فِيهَا مِنَ النَّعِيمِ وَالسُّرُورِ ﴿وَسَعَى لَهَا سَعْيَهَا﴾ أي: طَلَبَ ذلك مِن طَريقِهِ وهوَ مُتَابَعَةُ الرَّسُولِ ﴿وَهُوَ مُؤْمِنٌ﴾ أَي: وَقَلبُهُ مؤمِنٌ، أَي: مُصَدِّقٌ بالثَّوابِ وَالجزاءِ ﴿فَأُولَئِكَ كَانَ سَعْيُهُمْ مَشْكُورًا﴾) (تفسير ابن كثير).	19	
