نص السؤال 	رقم السورة 	رقم الآية 	رقم آية1	رقم آية2
لما كان تضييع نصوص الوحي القرآني أمراً مستحيلاً على الشيطان لأن الله قدر حفظه فإن محاولة الشيطان تكون بتضييع معنى النص بالخطأ في الفهم. اذكر آيةً تحمل هذا المعنى.	22	﴿وَما أَرسَلنا مِن قَبلِكَ مِن رَسولٍ وَلا نَبِيٍّ إِلّا إِذا تَمَنّى أَلقَى الشَّيطانُ في أُمنِيَّتِهِ فَيَنسَخُ اللَّهُ ما يُلقِي الشَّيطانُ ثُمَّ يُحكِمُ اللَّهُ آياتِهِ وَاللَّهُ عَليمٌ حَكيمٌ﴾ [الحج:52] حيث جاء فى تفسير هذه الآية أن الشيطان يحدث الخطأ إما على لسان المُبَلِّغ أو فى عقل من تبلغه الدعوة أو بتضييع آثار الفهم الصواب للنص وفى ذلك كان أمر الله سبحانه وتعالى ﴿فَإِذَا قَرَأْتَ الْقُـرْآنَ فَاسْـتَعِذْ بِاللّهِ مِنَ الشَّـيْطَانِ الرَّجِيمِ﴾.	52	
الحق واحد والباطل يتعدد. اذكر آية تبين تخبط الكفار بين أقوال عديدة كلها باطلة.	21	{ بَلْ قَالُوا أَضْغَاثُ أَحْلَامٍ بَلِ افْتَرَاهُ بَلْ هُوَ شَاعِرٌ فَلْيَأْتِنَا بِآيَةٍ كَمَا أُرْسِلَ الْأَوَّلُونَ}[الأنبياء :5 ]	5	
من منهج أهل الباطل أنهم يتهربون من مناقشة الحق إلى الانتقاص من قائله. اذكر آية تحمل هذا المعنى.	21	{وَإِذَا رَآكَ الَّذِينَ كَفَرُوا إِن يَتَّخِذُونَكَ إِلَّا هُزُوًا أَهَٰذَا الَّذِي يَذْكُرُ آلِهَتَكُمْ وَهُم بِذِكْرِ الرَّحْمَٰنِ هُمْ كَافِرُونَ} [ الأنبياء : 36 ]	36	
أورد بعض المفسرين ما يُعرف بقصة الغرانيق، وذلك عند تفسيرهم لقوله تعالى: ﴿وَمَا أَرْسَلْنَا مِن قَبْلِكَ مِن رَّسُولٍ وَلَا نَبِيٍّ إِلَّا إِذَا تَمَنَّىٰ أَلْقَى الشَّيْطَانُ فِي أُمْنِيَّتِهِ فَيَنسَخُ اللَّهُ مَا يُلْقِي الشَّيْطَانُ ثُمَّ يُحْـكِمُ اللَّهُ آيَاتِهِ ۗ وَاللَّهُ عَلِيمٌ حَكِيمٌ﴾ [الحج:58]، والقصة تزعم أن رسول الله قرأ يوما بمكة سورة النجم، حتى إذا ما وصل موضع ﴿أَفَرَأَيْتُمُ اللَّاتَ وَالْعُزَّىٰ۝ وَمَنَاةَ الثَّالِثَةَ الْأُخْرَىٰ﴾ ألقى الشيطان على لسانه أو في سكتته: (تلك الغرانيق العلى وإن شفاعتهن لترتجى). وقد بين علماء الحديث بطلان هذه القصة سندا ومتنا. ومن وجوه بطلانها أن الله عز وجل شاء بحكمته ورحمته أن يبقى وحيه نقيا صافيا ﴿لِّيَهْلِكَ مَـنْ هَلَكَ عَن بَيِّنَةٍ وَيَحْيَىٰ مَنْ حَيَّ عَن بَيِّنَةٍ﴾ [الأنفال:42]. بينما لو وقعت القصة للزم منها التباس الحق بالباطل في الوحي. اذكر آية من غير هذا الجزء تبين أن القرآن -عدا عن حفظه في ذاته- فإنه لا يمكن أن يختلط بزور أو أي شيء غير الحق.	41	﴿لا يَأتيـهِ البـاطِلُ مِن بَيـنِ يَدَيـهِ وَلا مِن خَـلفِهِ تَنزيـلٌ مِن حَكيـمٍ حَميـدٍ﴾ [فصلت:42].	42	
نهى الله نبيه، ومن بعده أمته، أن نمد أعيننا إلى ما متع به الكافرين في الدنيا. ورسول الله يصبرنا بحقيقة أن ما حرمنا منه في الدنيا وتمتعوا هم به سيكون لنا في الآخرة ويُحرمون هم منه. كما قال في الحديث الذي رواه البخاري: (لا تلْبَسُوا الحرير ولا الديباج، ولا تشربوا في آنية الذهب والفضة ولا تأكلوا في صِحَافِهِا؛ فإنَّهَا لهم في الدنيا ولنا في الآخرة). اذكر موضعا في القرآن فيه أن حقيقة حصر الجنة على المؤمنين ينبغي أن تعينهم وتكفيهم كزاد يتزودون به في طريقهم إلى الله. خاصة لمن تعلق قلبه بالآخرة عم طريق العبادة.	21	﴿وَلَقَد كَتَبنا فِي الزَّبورِ مِن بَعدِ الذِّكرِ أَنَّ الأَرضَ يَرِثُهـا عِبادِيَ الصّالِحونَ ۝ إِنَّ فِي هَٰذَا لَبَلَاغًا لِّقَوْمٍ عَابِدِينَ﴾ [الأنبياء:105-106]. والأرض عند كثير من المفسرين في قوله تعالى ﴿أَنَّ الأَرضَ يَرِثُهـا عِبادِيَ الصّالِحونَ﴾ هي أرض الجنة، بدليل قوله تعالى: ﴿وَقَالُوا الْحَمْـدُ لِلَّهِ الَّذِي صَدَقَنَا وَعْدَهُ وَأَوْرَثَنَـا الْأَرْضَ نَتَبَوَّأُ مِنَ الْجَنَّةِ حَيْـثُ نَشـَاءُ ۖ فَنِعْمَ أَجْرُ الْعَامِلِينَ﴾ [الزمر:74]. و﴿بَلَاغًا﴾ عند بعض المفسرين هي بمعنى البلغة التي يَبلغ به المسافر قصده من زادٍ، أي ما يكفيه من طعام وشراب.  فإن حقيقة أن الجنة هي للصالحين فقط هي حقيقة يستصحبها العابدون في مشوارهم في الدنيا، فتصبرهم على أذاها وتكاليفها، كما يتبلغ المسافر إلى قصده ببلغة من طعام وشراب. وهذا المعنى أشد حضوراً كلما كان العبد أصح عبادة ﴿ إِنَّ فِي هَٰذَا لَبَلَاغًا لِّقَوْمٍ عَابِدِينَ﴾.	105	106
تجد من يمضي -عمره في الظلم والإفساد وترويج الباطل ومحاربة الحق. اذكر آية تصور لحظة تمثل ذروة ندمهم على هذا كله ويقينهم بما أنكروا من قبل.	21	{وَلَئِن مَّسَّتْهُمْ نَفْحَةٌ مِّنْ عَذَابِ رَبِّكَ لَيَقُولُنَّ يَا وَيْلَنَا إِنَّا كُنَّا ظَالِمِينَ}[الأنبياء : 46]	46	
تلمَعُ لُمَعُ الحق للعبد، وحتى أعتى الكفرة يكون الحق قد ظهر لهم في محطات. فمن استغل هذه اللُّمع نجا وسعد، ومن تكبر وأعرض وجحد شقى. اذكر آيتين متتاليتين تصف موقفا لمع فيه الحق لقوم فجحدوه.	21	{فَرَجَعُوا إِلَىٰ أَنفُسِهِمْ فَقَالُوا إِنَّكُمْ أَنتُمُ الظَّالِمُونَ(٦٤) ثُمَّ نُكِسُوا عَلَىٰ رُءُوسِهِمْ لَقَدْ عَلِمْتَ مَا هَٰؤُلَاءِ يَنطِقُونَ(٦٥) }[الأنبياء: 64-65]	64	65
كلمة بمعنى "نُضَيِّق" وردت في أية في هذا الجزء، يؤدي عدم فهمها لسوء فهم كبير. اذكر هذه الكلمة.	21	﴿وَذَا النّونِ إِذ ذَهَبَ مُغاضـِبًا فَظَنَّ أَن لَن #نَقدِرَ# عَلَيهِ فَنادى فِي الظُّلُمـاتِ أَن لا إِلهَ إِلّا أَنتَ سُبحانَكَ إِنّي كُنـتُ مِنَ الظّالِمينَ﴾ [الأنبياء:87] جاء في تفسير ابن كثير: (﴿فَظَنَّ أَن لَن نَقدِرَ عَلَيهِ﴾ أي: نضيق عليه في بطن الحوت. يروى نحو هذا عن ابن عباس، ومجاهد، والضحاك، وغيرهم، واختاره ابن جرير، واستشهد عليه بقوله تعالى: ﴿وَمَن قُدِرَ عَلَيْـهِ رِزْقُهُ فَلْيُنفِقْ مِمَّا آتَاهُ اللَّهُ ۚ لَا يُكَلِّفُ  اللَّهُ  نَفْسـًا  إِلَّا  مَا  آتَاهَــا ۚ  سَيَـجْعَلُ  اللَّهُ  بَعْدَ   عُسْـرٍ   يُسْرًا﴾ [الطلاق:7]).	87	
قال لك صديقك: لماذا نخوف الناس من الله ولا نكتفي بالحديث عن رحمة الله والرجاء فيها؟ لماذا نرهبهم من الله بدل أن نحببهم فيه؟ استوقفتك آية ولفت نظرك فيها أن من لم يقوموا بمعصية أبداً بالإجماع، بل هم مجتهدون في الطاعة يخافون الله، فكيف بنا نحن؟! اذكر أربع كلمات تدل هذا المعنى.	21	﴿يَعلَمُ ما بَينَ أَيديـهِم وَما خَلفَهُم وَلا يَشـفَعونَ إِلّا لِمَـنِ ارتَـضى #وَهُم مِن خَشيَـتِهِ مُشفِقونَ#﴾ [الأنبياء:28]  فأخبر سبحانه هنا عن خشية الملائكة ربهم سبحانه.	28	
اذكر كلمتين تدلان على أن هذا القرآن شرف لمن عمل بما فيه.	21	﴿لَقَد أَنزَلنا إِلَيكُم كِتابًا #فيهِ ذِكرُكُم# أَفَلا تَعقِلونَ﴾    [الأنبياء:10]  فيه ذكركم: يعني فيه شرفكم، كما قال تعالى في آية آخرى ﴿وَإِنّـَهُ لَـذِكْـرٌ لَّـكَ وَلِقَوْمِكَ﴾ [الزخرف:44].	10	
