نص السؤال	رقم السورة	رقم الآية	رقم آية1	رقم آية2	رقم آية3
المُبتلى يخَّفف عنه عادة وجود أناس حوله مصابين بالمصائب. لكن هذا التعزّي لا يكون واقعا مع أهل النار. اذكر آية تدل على ذلك.	43	﴿وَلَن يَنفَعَكُمُ اليَومَ إِذ ظَلَمتُم أَنَّكُم فِي العَذابِ مُشتَرِكونَ﴾    [الزخرف:39] قال البغوي: (﴿وَلَن يَنفَعَكُمُ اليَومَ﴾ في الآخرة ﴿إِذ ظَلَمتُم﴾ أشركتم في الدنيا ﴿أَنَّكُم فِي العَذابِ مُشتَرِكونَ﴾ يعني لا ينفعكم الاشتراك في العذاب ولا يخفف الاشتراك عنكم شيئا من العذاب؛ لأن لكل واحد من الكفار والشياطين الحظ الأوفر من العذاب. 	39		
يظن بعض الناس أن فيه مقومات شخصية ومجدا ذاتيا لا يؤهله إلا لكل كرامة واحترام، وأنه لا يليق به شيء من المشقة و الضرر، حتى يستبعد أن يتعرض لبلايا تكسر النفس وتذلها. اذكر آية تتحدث عن مثل هذه النفسيات	41	﴿وَلَئِن أَذَقنـاهُ رَحمَةً مِنّـا مِن بَعدِ ضَرّاءَ مَسَّتهُ لَيَقولَنَّ هذا لي وَما أَظُنُّ السّاعَةَ قائِمَةً وَلَئِن رُجِعـتُ إِلى رَبّي إِنَّ لي عِنـدَهُ لَلحُسنى فَلَنُنَبِّئَنَّ الَّذينَ كَفَـروا بِما عَمِلوا وَلَنُذيقَنَّهُم مِن عَذابٍ غَليظٍ﴾ [فصلت:50] قال الطبري: (﴿لَيَقولَنَّ هذا لي﴾ عند الله، لأن الله راض عني برضاه عملي، وما أنا عليه مقيم).	50		
يظن البعض أن مسألة وجود الله تعالى أغلبية قابلة للنقاش. ومما يؤدي به إلى هذا الوهم قوله: لو كان وجود الله أمرا قطعياً يقينياً فكيف يخفى على عدد من علماء الطبيعة الغربيين الأذكياء المتميزين في مجالهم. اذكر آية تقلب هذه الشبهة دليلا على قدرة الله.	45	﴿أَفَرَأَيتَ مَنِ اتَّخَذَ إِلهَهُ هَواهُ وَأَضَلَّهُ اللَّهُ عَلى عِلـمٍ وَخَتَمَ عَلى سَمعِهِ وَقَلبِهِ وَجَعَلَ عَلى بَصَرِهِ غِشاوَةً فَمَن يَهديهِ مِن بَعدِ اللَّهِ أَفَلا تَذَكَّرونَ﴾ [الجاثية:23] من أوجُه تفاسير ﴿وَأَضَلَّـهُ اللَّهُ عَلى عِلـمٍ﴾ أن أضلّه الله بعد بلوغ العلم إليه، وقيام الحجة عليه. (ابن كثير)	23		
الإعلام يَقرن التديّن المنفّرات و العصيان بالمرغوبات. كثيرا ما يقرن الحجاب والفقر والبُؤس، ويقرن التبرج بالغنى و الجمال و المستوى العلمي الرفيع والسعادة والضحكات. وقل مثل ذلك على اللحية والعديد من مظاهر الإسلام. بذلك يضرب على وتر نفسي مؤثر جدا، وهو توهم أن اقتران الأشياء يعني أن أحدها يسبب الأخر. و كأن التبرج وقلة الدين تُسبب "الرّقي" والسعادة بينما الحجاب سبب في البُؤس والفقر. ولذلك فمن زكاة النّعم التي يُنعم الله بها عليك أن تُظهر اقتران علمك أو مالك بالدين لتكسر الاقتران المشئوم الذي يريده المبطلون و إعلامهم. اذكر ثلاث آيات متتاليات تذكرك بهذا المعنى	43	﴿وَلَولا أَن يَكــونَ النّاسُ أُمَّةً واحِدَةً لَجَعَلنا لِمَن يَكفُــرُ بِالرَّحمنِ لِبُيوتِهِم سُقُفًا مِن فِضَّةٍ وَمَعــارِجَ عَلَيها يَظهَرونَ ۝ وَلِبُيوتِهِم أَبـوابًا وَسُرُرًا عَلَيهـا يَتَّكِئونَ ۝ وَزُخرُفًا وَإِن كُلُّ ذلِكَ لَمّا مَتـاعُ الحَياةِ الدُّنيـا وَالآخِـرَةُ عِنـدَ رَبِّكَ لِلمُتَّقينَ﴾ [الزخرف:33-35] قال العديد من المفسرين: معنى الآية أن الله رحم عباده بأن لم يجعل الكفر مقترنا دوما بالغنى. وإلا فلو جعل الله للكافرين بيوتا سقفها ودرجها وسلالمها وأبوابها وسررها من فضة وذهب لأصبح عامة الناس ﴿أُمَّـةً واحِـدَةً﴾ على الكفر! لأن الناس بجهلهم سيجعلون الكفر حينها سببا في رغد العيش. فهذا الاقتران -لو قدَّره الله- مؤثر جدا في النفوس، لكنه تعالى برحمته جعل في الأتقياء أغنياء وفي الأشقياء فقراء. في أهل الدين أغنياء متعلمون أذكياء راقون خلوقون. وفي المحجبات متعلمات غنيات جميلات راقيات الذوق. لكن الإعلام -الذي لا يريد إعلام الناس بالحقيقة- لا يسلط الضوء عليهم وعلى إنجازاتهم فله أهداف أخرى!	33	34	35
كل ما خالف أحكام الله تعالى فلا يمكن وصفه بأنه سياسة حسنة و لا إصلاح ولا عدل ولا مراعاة للتعددية ولا غير ذلك من الألفاظ التي تزين بها محادَّة الله في أحكامه. بل هي أهواء محضة منبعثة عن الشهوات المذمومة وأمراض القلوب. اذكر آيتين في سورتين مختلفتين تدلان على ذلك	45 , 42	﴿ثُمَّ جَعَلناكَ عَلى شَريـعَةٍ مِنَ الأَمـرِ فَاتَّبِعهـا وَلا تَتَّبِـع أَهـواءَ الَّذيـنَ لا يَعلَمـونَ﴾ [الجاثية:18] ﴿فَلِذلِكَ فَادعُ وَاستَقِم كَـما أُمِـرتَ وَلا تَتَّبِع أَهـواءَهُم وَقُل آمَنتُ بِما أَنزَلَ اللَّهُ مِن كِتــابٍ وَأُمِـرتُ لِأَعدِلَ بَينَـكُمُ اللَّهُ رَبُّنا وَرَبُّكُم لَنا أَعـمالُنا وَلَكُم أَعمالُكُم لا حُجَّةَ بَينَنـا وَبَينَكُمُ اللَّهُ يَجمَعُ بَينَنا وَإِلَيهِ المَصيرُ﴾ [الشورى:15].	18	15	
يتعمد أهل الباطل نشر الرذائل والشهوات المحرمة في أقوامهم ليسهل عليهم سوقهم في طريق الضلال وحملهم على تنفيذ ما يأمرونهم به من باطل. اذكر آية تشير إلى هذا المعنى.	43	﴿فَاستَخَفَّ قَومَهُ فَأَطاعوهُ إِنَّهُم كانوا قَومًا فاسِقينَ﴾ [الزخرف:54]	54		
كلمة أطلقها الله تعالى على وحيه؛ نستدل من خلالها على أن الإنسان الذي يعيش بعيداً عن الوحي وإقامة أمر الله يشبه جثة هامدة لا حياة فيها. اذكر الكلمة و الآية التي وردت فيها.	42	﴿وَكَـذلِكَ أَوحَينـا إِلَيكَ #روحًا# مِن أَمرِنا ما كُنــتَ تَدري مَا الكِتـابُ وَلَا الإيـمانُ وَلـكِن جَعَلنـاهُ نورًا نَهدي بِهِ مَن نَشـاءُ مِن عِبـادِنا وَإِنَّكَ لَتَهدي إِلى صِراطٍ مُستَقيمٍ﴾ [الشورى:52] قال السعدي: وهو هذا القرآن الكريم، سمّاه روحا، لأن الروح يحيا به الجسد، والقرآن تحيا به القلوب والأرواح، وتحيا به مصالح الدنيا والدين، لما فيه من الخير الكثير والعِلم الغزير. وهو محض منّة الله على رسوله وعباده المؤمنين، من غير سبب منهم. 	52		
آية فيها وصفان جميلان دقيقان للقرآن.  فحياة قلب كل واحد منا تكون بالقرآن ، و كذا نجاتُه من الظلمات ، السؤال هو : اذكر هاتين الكلمتين . 	42	﴿وَكَذَٰلِكَ أَوْحَيْنَا إِلَيْـكَ #رُوحًا# مِّنْ أَمْرِنَا ۚ مَا كُنـتَ تَدْرِي مَا الْكِتَـابُ وَلَا الْإِيمَانُ وَلَٰكِن جَعَلْنَاهُ #نُورًا# نَّهْدِي بِهِ مَن نَّشَاءُ مِنْ عِبَادِنَا ۚ وَإِنَّكَ لَتَهْدِي إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ﴾ [سورة الشورى: 52] قال السعدي (بتصرف): سماه روحا، لأن الروح يحيا به الجسد، والقرآن تحيا به القلوب والأرواح، وتحيا به مصالح الدنيا والدين، لما فيه من الخير الكثير والعلم الغزير. وقوله سبحانه: ﴿جَعَلْنَاهُ نُورًا نَهْدِي بِهِ مَنْ نَشَاءُ مِنْ عِبَادِنَا﴾ ... معنى نوراً: يستضيئون به في ظلمات الكفر والبدع، والأهواء المردِية، ويعرفون به الحقائق، ويهتدون به إلى الصراط المستقيم.	52		
قال إبراهيم عليه السلام لقومه : { وَقَالَ إِنَّمَا ٱتَّخَذۡتُم مِّن دُونِ ٱللَّهِ أَوۡثَـٰنࣰا مَّوَدَّةَ بَیۡنِكُمۡ فِی ٱلۡحَیَوٰةِ ٱلدُّنۡیَاۖ ثُمَّ یَوۡمَ ٱلۡقِیَـٰمَةِ یَكۡفُرُ بَعۡضُكُم بِبَعۡضࣲ وَیَلۡعَنُ بَعۡضُكُم بَعۡضࣰا وَمَأۡوَىٰكُمُ ٱلنَّارُ وَمَا لَكُم مِّن نَّـٰصِرِینَ }[سُورَةُ العَنكَبُوتِ: ٢٥] . اذكر آية كريمة تحمل نفس المعنى .	43	﴿الْأَخِلَّاءُ يَوْمَئِذٍ بَعْضُهُمْ لِبَعْضٍ عَدُوٌّ إِلَّا الْمُتَّقِينَ﴾ [الزخرف:67] قال ابن كثير: (أي: كل صداقة وصُحبة لغير الله فإنها تنقلب يوم القيامة عداوة إلا ما كان لله، عز وجل، فإنه دائم بدوامه).	67		
كلمة وَرَدَتْ في حق المؤمنين و الكافرين في السورة نفسها مرفوعة و منصوبة يما يذكر بحديث :( و عِزَّتِي لا أجمعُ على عَبدي خَوفيْنِ و أَمنيْنِ ، إذا خافَني في الدُّنيا أمَّنْتُه يومَ القيامةِ ، و إذا أمِنَني في الدُّنيا أَخَفْتُه في الآخِرةِ ) ( قال الألباني في صحيح الترغيب : حسن صحيح ).	42	﴿يَسْتَعْجِلُ بِهَا الَّذِينَ لَا يُؤْمِنُونَ بِهَا ۖ وَالَّذِينَ آمَنُوا #مُشْفِقُونَ# مِنْهَا وَيَعْلَمُونَ أَنَّهَا الْحَقُّ ۗ أَلَا إِنَّ الَّذِينَ يُمَارُونَ فِي السَّاعَةِ لَفِي ضَلَالٍ بَعِيدٍ﴾ [الشورى:18] ﴿تَرَى الظَّالِمِينَ #مُشْفِقِينَ# مِمَّا كَسَبُوا وَهُوَ وَاقِعٌ بِهِمْ ۗ وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ فِي رَوْضَاتِ الْجَنَّـاتِ ۖ لَهُم مَّا يَشَاءُونَ عِندَ رَبِّهِمْ ۚ ذَٰلِكَ هُوَ الْفَضْلُ الْكَبِيرُ﴾ [الشورى:22] "مشفقون" و "مشفقين" في سورة الشورى: وهي بمعنى "خائفين". فالمؤمنون أشفقوا من عذاب الله تعالى في الدنيا فأمَّنهم الله يوم القيامة كما قال سبحانه: ﴿قَـالُوا إِنَّا كُنَّا قَبْلُ فِي أَهْلِنَا مُشْفِقِينَ ۝ فَمَنَّ اللَّهُ عَلَيْنَا وَوَقَانَا عَذَابَ السَّمُومِ﴾ [الطور:26-27] بينما الكافرون أمِنوا من عذاب الله في الدنيا فأشفقوا مما كسبوا يوم القيامة. 	18	22	
