نص السؤال	رقم السورة	رقم الآية	رقم آية1	رقم آية2
اذكر آية قد يستدل بها المستدل الخطأً على عدم وجود أية بقية من دعوة الرسل عليهم السلام لدى المشركين في عهد النبي.	46	﴿قُل أَرَأَيـتُم ما تَدعـونَ مِن دونِ اللَّهِ أَروني ماذا خَلَـقوا مِنَ الأَرضِ أَم لَهُم شِركٌ فِي السَّـماواتِ #ائتوني بِكِتابٍ مِن قَبلِ هذا أَو أَثارَةٍ مِن عِـلمٍ# إِن كُنتُم صادِقينَ﴾ [الأحقاف:4] قال السعدي:  (قال تعالى: ﴿وَلَـقَدْ بَعَثْنَا فِي كُلِّ أُمَّةٍ رَسُـولًا أَنِ اُعْبُدُوا اللَّهَ وَاجْتَنِبُوا الطَّـاغُوتَ﴾، وكل رسول قال لقومه: ﴿اعْبُـدُوا اللَّهَ مَا لَكُمْ مِنْ إِلَهٍ غَيْرُهُ﴾، فَعُلِم أن جدال المشركين في شركهم غير مستندين فيه على برهان ولا دليل وإنما اعتمدوا على ظنون كاذبة وآراء كاسدة وعقول فاسدة. يدلك على فسادها استقراء أحوالهم وتتبع علومهم وأعمالهم والنظر في حال من أفنوا أعمارهم بعبادته هل أفادهم شيئا في الدنيا أو في الآخرة؟)	4	
ليس شرطا أن ينطبق النص في الكافرين أو المنافقين بكامل جزئياته على أحدنا حتى يشعر أنه يخاطبه. و بالتالي فإذا قرأ قارئ آيات تصف الكافرين أو المنافقين وأحس بداية بإنطباق الصفات عليه ثم جاءت صفة في الآيات لا تنطبق عليه فلا ينبغي أن يشعره ذلك أن الآيات لا تعنيه. بل له وعيد من تحُّقق اسم النفاق فيه بقدر انطباق الآيات عليه، وله من الإيمان بقدر مخالفتها لحاله. اذكر آية يمكن الاستدلال بها على مسلم متنعّم بالرغم من ذكر الكثير من المعاصي فيها، بل واستدل بها أحد الصحابة 	46	﴿وَيَومَ يُـعرَضُ الَّذينَ كَفَـروا عَلَى النّـارِ أَذهَبتُم طَيِّبـاتِكُم في حَيـاتِكُمُ الدُّنيا وَاستَمتَعتُم بِها فَاليَـومَ تُجزَونَ عَذابَ الهونِ بِما كُنتُـم تَستَـكبِرونَ فِي الأَرضِ بِغَيرِ الحَقِّ وَبِما كُنتُم تَفسُقونَ﴾ [الأحقاف:20] في الحديث الذي رواه الحاكم وقال فيه الذهبي في التلخيص (على شرط البخاري ومسلم) أن سعدا رضي الله عنه استأذن على ابن عامر و تحته مرافق من حرير فأمر بها فرُفعت فدخل عليه و عليه مطرف خز فقال له: استأذنت علي و تحتي مرافق من حرير فأمرت فرُفعت فقال له: نعم الرجل أنت يا ابن عامر إن لم تكن ممن قال الله عز و جل: ﴿أَذهَبتُـم طَيِّبـاتِكُم في حَيـاتِكُمُ الدُّنيا﴾. والله لأن أضطجع على جمر الغضا أحب إلي من أن اضطجع عليها.	20	
آية بمعنى قوله تعالى: {وَإِذَا قَرَأْتَ الْقُرْآنَ جَعَلْنَا بَيْنَكَ وَبَيْنَ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ حِجَابًا مَّسْتُورًا (45) وَجَعَلْنَا عَلَىٰ قُلُوبِهِمْ أَكِنَّةً أَن يَفْقَهُوهُ وَفِي آذَانِهِمْ وَقْرًا ۚ وَإِذَا ذَكَرْتَ رَبَّكَ فِي الْقُرْآنِ وَحْدَهُ وَلَّوْا عَلَىٰ أَدْبَارِهِمْ نُفُورًا (46)} [الإسراء : 45-46]	47	﴿وَمِنهُم مَن يَستَمِـعُ إِلَيكَ حَتّى إِذا خَرَجوا مِن عِنـدِكَ قالـوا لِلَّذينَ أوتُوا العِلمَ ماذا قالَ آنِفًا أُولئِـكَ الَّذينَ طَبَعَ اللَّهُ عَلى قُلوبِهِم وَاتَّبَعوا أَهواءَهُم﴾ [محمد:16].	16	
اذكر آيتين بمعنى قوله تعالى: {وَإِنْ أَطَعْتُمُوهُمْ إِنَّكُمْ لَمُشْرِكُونَ} [الأنعام : 121] 	47	﴿إِنَّ الَّذينَ ارتَدّوا عَلى أَدبـارِهِم مِن بَعدِ ما تَبَيَّنَ لَهُمُ الهُدَى الشَّيطانُ سَوَّلَ لَهُم وَأَملى لَهُم ۝ ذلِكَ بِأَنَّهُم قالوا لِلَّذينَ كَرِهوا ما نَـزَّلَ اللَّهُ سَنُطيـعُكُم في بَعضِ الأَمرِ وَاللَّهُ يَعلَمُ إِسرارَهُم﴾ [محمد:25-26] جاء في التحرير والتنوير لابن عاشور- بتصرف-: (فقوله: ﴿وَإِنْ   أَطَعْتُـمُوهُمْ إِنَّكـُـمْ لَمُشْرِكُـونَ﴾ أي: إن أطعتموهم فيما يجادلونكم فيه، وهو الطّعن في الإسلام، والشكّ في صحّة أحكامه، فإنكم صائرون إلى الشرك أو التحقتم بالمشركين). ونجد نفس المعنى هنا في سورة محمد، حيث جاء في تفسير البغوي -بتصرف-: (﴿ذلِكَ بِأَنَّهُم قـالوا لِلَّذينَ كَرِهـوا ما نَزَّلَ اللَّهُ سَنُطيعُكُم في بَعضِ الأَمرِ﴾ يعني المنافقين أو اليهود قالوا للمشركين سنطيعكم في التعاون على عداوة النبي -صلى الله عليه وسلم- والقعود عن الجهاد)، فوصفهم الله بالردة ﴿إِنَّ الَّذينَ ارتَدّوا عَلى أَدبارِهِم﴾.	25	26
يتعامل البعض مع سير الصحابة وكأنهم معصومون لا يخطئون. ومثل هذا يسهل عليهم تشكيكه في الصحابة. اذكر آية تدل على أنه لولا لطف الله بالصحابة في التكاليف الشرعية لبدر منهم ما يفسد دينهم.	47	﴿إِن يَسأَلكُموها فَيُحفِكُم تَبخَلوا وَيُخرِج أَضغانَكُم﴾ [محمد:37] قال الطبري: (﴿إِن يَسـأَلكُموها﴾: يقول جلّ ثناؤه: إن يسألكم ربكم أموالكم ﴿فَيُحفِكُم﴾ يقول: فيجهدكم بالمسألة، ويلحّ عليكم بطلبها منكم فيلحف، ﴿تَبخَلوا﴾: يقول: تبخلوا بها وتمنعوها إياه، ضنا منكم بها، ولكنه علم ذلك منكم، ومن ضيق أنفسكم فلم يسألكموها).	37	
عند الشدائد تتكشف الحقائق، وتظهر مُخبَّآت النفوس، فيتهاوى أقوام، اذكر آية تدل على هذا المعنى	47	﴿أَم حَسِبَ الَّذينَ في قُلوبِهِم مَرَضٌ أَن لَن يُخرِجَ اللَّهُ أَضغانَهُم﴾    [محمد:29] جاء في تفسير السعدي: (يقول تعالى: ﴿أَم حَسِـبَ الَّذينَ في قُلوبِهِم مَرَضٌ﴾ من شبهة أو شهوة، بحيث تخرج القلب عن حال صحته واعتداله، أن الله لا يخرج ما في قلوبهم من الأضغان والعداوة للإسلام وأهله؟ هذا ظن لا يليق بحكمة الله، فإنه لا بد أن يميز الصادق من الكاذب، وذلك بالابتلاء بالمحن، التي من ثبت عليها، ودام إيمانه فيها، فهو المؤمن حقيقة، ومن ردته على عقبيه فلم يصبر عليها، وحين أتاه الامتحان، جزع وضعف إيمانه، وخرج ما في قلبه من الضغن، وتبين نفاقه، هذا مقتضى الحكمة الإلهية، مع أنه تعالى قال: ﴿وَلَوْ نَشَاءُ لَأَرَيْنَاكَهُمْ فَلَعَرَفْتَهُمْ بِسِيمَاهُمْ﴾).	29	
آية فيها ذكر من يتعظ من الخلق بفعل الله في الأقوام السابقة. أفاد حرف (أو) فيها تباين هؤلاء المتعظين على مرتبتين إحداهما خير من الأخرى وإن كانوا جميعا ممدوحين. اذكر هذه الآية.	50	﴿إِنَّ في ذلِكَ لَذِكرى لِمَن كانَ لَهُ قَـلبٌ أَو أَلقَى السَّمعَ وَهُوَ شَهيدٌ﴾ [ق:37] قال ابن تيمية في الفتاوى: (من يؤتى الحكمة وينتفع بالعلم على منزلتين: إما رجل رأى الحق بنفسه، فقبله واتبعه، فذلك صاحب القلب، أو رجل لم يعقله بنفسه بل هو يحتاج إلى من يعلمه ويبينه له ويعظه ويؤدبه، فهذا أصغى فألقى السمع وهو شهيد، أي وهو حاضر القلب)( ابن تيمية/ مجموع الفتاوى/ 311/9).	37	
كلمة دلّت على خُلُق نبيٍ كريم في تعامله مع ضيوفه، بحيث لم يشعرهم بالحرج حين أراد الله أن يضيفهم. ماهي هذه الكلمة 	51	﴿#فَراغَ# إِلى أَهـلِهِ فَجاءَ بِعِجلٍ سَمينٍ﴾ [الذاريات:26] قال ابن كثير: (وَقوله: ﴿فَراغَ إِلى أَهلِهِ﴾ أي: انسَلَّ خُفيَةً فِي سُرعَة، ... فَإِنَّه جَاءَ بِطعامِهِ مِن حَيث لَا يَشعرونَ بِسُرعَة، وَلَم يَمتَنَّ عَلَيهِم أَوَّلًا فقالَ: "نَأتِيكُم بِطعامٍ؟ " بَل جاءَ بهِ بِسرعَةٍ  وَخفاء).	26	
لو شاء الله لأهلك الكافرين المعادين لحدود الله و لرسوله وللمؤمنين بكلمة منه، بل لَمَا خلقهم أصلا، لكنه سبحانه بيّن حكمته من وجودهم ومحاربتهم. اذكر آية توضح ذلك المعنى. 	47	﴿فَإِذا لَـقيتُمُ الَّذينَ كَفَروا فَضَـربَ الرِّقابِ حَتّى إِذا أَثخَنتُموهُم فَشُـدُّوا الوَثاقَ فَإِمّا مَنًّا بَعدُ وَإِمّــا فِداءً حَتّى تَضَعَ الحَــربُ أَوزارَها ذلِكَ #وَلَو يَشاءُ اللَّهُ لَانتَصَـرَ مِنهُم وَلكِــن لِيَبلُوَ بَعضَكُم بِبَعضٍ# وَالَّذينَ قُتِــلوا في سَبيلِ اللَّهِ فَلَن يُضِلَّ أَعـمالَهُم﴾ [محمد:4].	4	
قال الله تعالى : { أُو۟لَـٰۤىِٕكَ ٱلَّذِینَ هَدَى ٱللَّهُۖ فَبِهُدَىٰهُمُ ٱقۡتَدِهۡۗ قُل لَّاۤ أَسۡـَٔلُكُمۡ عَلَیۡهِ أَجۡرًاۖ إِنۡ هُوَ إِلَّا ذِكۡرَىٰ لِلۡعَـٰلَمِینَ }[سُورَةُ الأَنۡعَامِ: ٩٠] ، فكل إنسان يحتاج إلى قدوة ، حتى الرسول الكريم محمد ﷺ مأمور بالاقتداء . اذكر آية كريمة وافقت هذا المعنى . 	46	{ فَٱصۡبِرۡ كَمَا صَبَرَ أُو۟لُوا۟ ٱلۡعَزۡمِ مِنَ ٱلرُّسُلِ }[سُورَةُ الأَحۡقَافِ: ٣٥]	35	
