نص السؤال	رقم السورة	رقم الآية	رقم آية 1	رقم آية 2
من أشـرف المنح التي ينعم الله بها على من يطيعه ويتقيه أن يعلمه العلوم النافعة التي تحيي القلب وتصلح الدنيا والآخرة  وكثيرا ما يذكر في هذا المعنى قول الله تعالى : ( واتـــقــــوا الله ويعلمكم الله ) [ البقرة : 282 ] ، ويقولون منها حكمة ( اتق الله فيما تعلم يعلمك ما لم تعلم ) . اذكر آية تدل على أن الله يعلم من يطيعه كأنه يراه بأشرف العلوم .	6	﴿ثُمَّ آتَـينا موسَى الكِتابَ تَمـامًا عَلَى الَّذي أَحسَنَ وَتَفصيلًا لِكُلِّ شَيءٍ وَهُدًى وَرَحمَةً لَعَلَّهُـم بِلِقاءِ رَبِّهِم يُؤمِنونَ﴾ [الأنعام:154]. قال ابن كثير: (وقوله: ﴿عَلَى الَّذِي أَحْسَنَ﴾ أي: جزاءً على إحسَانه في العمل، وقيامه بأوامرنا وَطاعتنا).	154	
لا يحب الله تعالى أن يعنـت المسلمين بأحكـامـه أو يصـل بهم الأمر إلى الوسـوسـة اذكر جملة معترضـة تخفف عنا في تكليف قد تدفعنا فيه أنفسنا إلى الإفراط المذموم	6	﴿وَلا تَقرَبوا مـالَ اليَتيمِ إِلّا بِالَّتي هِيَ أَحسَنُ حَتّى يَبلُغَ أَشُدَّهُ وَأَوفُوا الكَيلَ وَالميزانَ بِالقِسطِ #لا نُكَلِّفُ نَفسًا إِلّا وُسعَهـا# وَإِذا قُلتُم فَاعدِلوا وَلَو كانَ ذا قُربى وَبِعَهدِ اللَّهِ أَوفوا ذلِكُم وَصّاكُم بِـهِ لَعَلَّكُم تَذَكَّرونَ﴾ [الأنعام:152] ﴿لا نُكَلِّفُ نَفسًا إِلّا وُسعَهـا﴾ جاءت هذه جملة معترضة بين مجموعة الوصايا الربانية بطريقة ملفتة تشعر بضرورة هذا التذكير في هذا الموضع ، حتى تحدث حالة من التوازن المطلوب في كيان الفرد ولا يغلب عليه الخوف المبالغ فيه. 	152	
ليس أحدنا مطالبا بقول الحق في كل مقام ، لكنه مطالب ألا يقول باطلا اذكر جزءا من آية يوضح هذا المفهوم	6	﴿وَلا تَقرَبوا مـالَ اليَتيمِ إِلّا بِالَّتي هِيَ أَحسَنُ حَتّى يَبلُغَ أَشُدَّهُ وَأَوفُوا الكَيلَ وَالميزانَ بِالقِسطِ لا نُكَلِّفُ نَفسًا إِلّا وُسعَهـا #وَإِذا قُلتُم فَاعدِلوا# وَلَو كانَ ذا قُربى وَبِعَهدِ اللَّهِ أَوفوا ذلِكُم وَصّـاكُم بِـهِ لَعَلَّكُم تَذَكَّرونَ﴾ [الأنعام:152].	152	
يدعي البعض أن الإيمان لا يستلزم العمل ، وأن العبـد قـد ينجو عند الله بإيمانه بقلبه فحسـب دون الحاجة إلى متابعة ذلك الإيمان بالأعمال الصالحات والطاعات والابتعاد عن المنهيات .. اذكر ( 5 كلمات ) من آية تبين أن نجاة العبد عند الله لا تتحقق بمجرد الإيمان القلبي فقط	6	﴿هَل يَنظُرونَ إِلّا أَن تَأتِيَهُمُ المَلائِكَةُ أَو يَأتِيَ رَبُّكَ أَو يَأتِيَ بَعضُ آياتِ رَبِّكَ يَومَ يَأتي بَعضُ آيـاتِ رَبِّكَ لا يَنــفَعُ نَفسًا إيمانُها لَم تَكُن آمَنَـت مِن قَبـلُ #أَو كَسَبَـت في إيمانِها خَيرًا# قُلِ انتَظِروا إِنّا مُنتَظِرونَ﴾  [الأنعام:158] قال ابن كثير: (﴿أَو كَسَـبَـت في إيـمانِهـا خَـيرًا﴾ أي: ولا يقبل منها كسب عمل صالح إذا لم يكن عاملا به قبل ذلك).	158	
يطمع المؤمن في أن يؤمن الزعماء والسـاسـة لأن ذلك مدعاة أن ينصلح حال الرعية ... لكن عدم إيمانهم لا ينبغي أن يكون سببا في استيحاش الطريق ، إذ أن من قدر الله تعالى أن تكون السيادة في كثير من الأماكن والأزمنة لأهل السوء  اذكر آية تدل على ذلك	6	﴿وَكَذلِكَ جَعَلنا في كُلِّ قَريَةٍ #أَكابِرَ# مُجرِميها لِيَمكُروا فيها وَما يَمكُرونَ إِلّا بِأَنفُسِهِم وَما يَشعُرونَ﴾ [الأنعام:123] قال البغوي: ﴿وَكَذلِكَ جَعَلنا في كُلِّ قَريَةٍ أَكابِرَ مُجرِميها﴾ أي: كما أن فساق مكة أكابرها، كذلك جعلنا فساق كل [قرية] أكابرها، أي: عظماءها، جمع أكبر، مثل أفضل وأفاضل، وأسود وأساود، وذلك سنة الله -تعالى- أنه جعل في كل قرية أتباع الرسل ضعفاءهم، كما قال في قصة نوح عليه السلام : ﴿قَـالُوا أَنُؤْمِنُ لَكَ وَاتَّبَعَكَ الْأَرْذَلُونَ﴾ [الشعراء:111]، وجعل فساقهم أكابرهم. 	123	
وحي الله عز وجل ، لا يختار الله له إلا الكمل من البشـر ، ولا يمكن أن يختار الله له شـخـصـا معيبا . اذكر آية تبين أن الله يختار لوحيه أفضل البشر . اذكر آية تحمل معنى الاصطفاء .	6	﴿وَإِذا جاءَتهُـم آيَةٌ قالوا لَن نُؤمِنَ حَتّى نُؤتى مِثلَ ما أوتِيَ رُسُلُ اللَّهِ #اللَّهُ أَعلَمُ حَيثُ يَجعَلُ رِسالَتَهُ# سَيُصيبُ الَّذينَ أَجرَموا صَغارٌ عِندَ اللَّهِ وَعَذابٌ شَديدٌ بِما كانوا يَمكُرونَ﴾ [الأنعام:124] قال السعدي: (﴿اللَّهُ أَعْلَمُ حَيْثُ يَجْعَـلُ رِسَالَتَهُ﴾ فيمن علمه يصلح لها، ويقوم بأعبائها، وهو متصف بكل خلق جميل، ومتبرئ من كل خلق دنيء، أعطاه الله ما تقتضيه حكمته أصلا وتبعا).	124	
من أعظم المحن التي يمر بها المسلم التخويف الذي يعانيه في حياته نتيجة تمسكه بأوامر الدين ، وقلة من ينصره على الخير وضعفهم . اذكر آية تسلي المؤمنين من هذين الأمرين .	6	{ لَهُمْ دَارُ السَّلَامِ عِندَ رَبِّهِمْ ۖ وَهُوَ وَلِيُّهُم بِمَا كَانُوا يَعْمَلُونَ} [الأنعام : 127]	127	
أن ترضى بالظلم حتى ولو لم تمارسه يجعلك من القوم الظالمين وملحقاً بهم .	7	﴿فَأَنجَيناهُ وَأَهلَهُ إِلَّا امرَأَتَهُ كانَت مِنَ الغابِرينَ﴾ [الأعراف:83] وذلك أن امرأة لوط لم تكن تمارس الفاشحة ومع ذلك ألحق الله بها العذاب وجعلها من القوم (الغابرين) يعني الهالكين، وذلك لرضاها بالظلم، وكانت تتجسس لهم على لوط وتأتيهم بأخباره.	83	
من نعم الله على الإنسـان : الفطرة السليمة ، فهي تعرف صـاحبها قبح المنكرات حتى لو لم يعرف حكم الشرع فيها . اذكر خمس كلمات من آية يفهم منها هذا المعنى .	7	﴿وَإِذَا فَعَلُوا فَاحِشَةً قَالُوا وَجَـدْنَا عَلَيْهَا آبَاءَنَا وَاللَّهُ أَمَرَنَا بِهَا ۗ قُلْ #إِنَّ اللَّهَ لَا يَأْمُرُ بِالْفَحْشَاءِ# ۖ أَتَقُولُونَ عَلَى اللَّهِ مَا لَا تَعْلَمُونَ﴾ [الأعراف:28].	28	
المبادئ الباطلة قبيحة في ذاتها. لذا فإنّها تحتاج إلى بهرجة وتزيين ليُفتن الناس بها. لاحظ قوله تعالى: ﴿وَكَذَٰلِكَ زَيَّنَ لِكَثِيـرٍ مِّنَ الْمُشْرِكِينَ قَتْلَ أَوْلَادِهِمْ شُرَكَاؤُهُمْ لِيُرْدُوهُمْ وَلِيَلْبِسُوا عَلَيْهِمْ دِينَهُمْ﴾ [الأنعام:137]. اذكر كلمة من آية أخرى تشير إلى هذا المعنى.	6	﴿وَكَـذَٰلِكَ جَعَلْنَا لِكُلِّ نَبِيٍّ عَدُوًّا شَيَاطِينَ الْإِنسِ وَالْجِنِّ يُوحِي بَعْضُهُمْ إِلَىٰ بَعْضٍ #زُخْرُفَ# الْقَوْلِ غُرُورًا ۚ وَلَوْ شَاءَ رَبُّكَ مَا فَعَلُوهُ ۖ فَذَرْهُمْ وَمَا يَفْتَرُونَ﴾ [الأنعام:112]. قال ابن عاشور رحمه الله: وأفهم وصف القول بالزُخرف أنّه محتاج إلى التّحسين والزخرفَة، وإنَّما يُحتاج القول إلى ذلك إذا كان غير مشتمل على ما يكسبه القبول في حدّ ذاته، وذلك أنّه كان يفضي إلى ضُرّ يحتاج قائله إلى تزيينه وتحسينه لإخفاء ما فيه من الضرّ، خشية أن ينفر عنه من يُسوِّله لهم. فذلك التّزيين ترويج يستهوون به النّفوس، كما تموّه للصّبيان اللُّعب بالألوان والتذهيب.	112	
يشتكي الناس من ظلم المتسلطين عليهم . لكن عليهم أن يتذكروا أن علو هؤلاء المتسلطين عليهم قد يكون من العقوبات القدرية على كونهم هم قد باشروا أشكالاً من الظلم . اذكر آية تشير إلى هذا المعنى .	6	﴿وَكَذَٰلِكَ نُوَلِّي بَعْضَ الظَّالِمِينَ بَعْضًا بِمَا كَانُوا يَكْسِبُونَ﴾ [الأنعام:129]. قال القرطبي: وهذا تهديد للظالم: إن لم يمتنع من ظلمه سلط الله عليه ظالما آخر. ويدخل في الآية جميع من يظلم نفسه أو يظلم الرعية، أو التاجر يظلم الناس في تجارته أو السارق وغيرهم.	129	
