نص السؤال	رقم السورة 	رقم الآية 	رقم الآية 1
اذكرآية ، ذكرت فيها أوصـاف للنبي صلى الله عليه وسلم تقوم بها الحجة على أهل الكتاب .	7	{الَّذِينَ يَتَّبِعُونَ الرَّسُولَ النَّبِيَّ الْأُمِّيَّ الَّذِي يَجِدُونَهُ مَكْتُوبًا عِندَهُمْ فِي التَّوْرَاةِ وَالْإِنجِيلِ يَأْمُرُهُم بِالْمَعْرُوفِ وَيَنْهَاهُمْ عَنِ الْمُنكَرِ وَيُحِلُّ لَهُمُ الطَّيِّبَاتِ وَيُحَرِّمُ عَلَيْهِمُ الْخَبَائِثَ وَيَضَعُ عَنْهُمْ إِصْرَهُمْ وَالْأَغْلَالَ الَّتِي كَانَتْ عَلَيْهِمْ ۚ فَالَّذِينَ آمَنُوا بِهِ وَعَزَّرُوهُ وَنَصَرُوهُ وَاتَّبَعُوا النُّورَ الَّذِي أُنزِلَ مَعَهُ ۙ أُولَٰئِكَ هُمُ الْمُفْلِحُونَ} [الأعراف : 157]	157
عادة ما يبدأ القرآن أخبار اليهود بقول الله تعالى : ( وإذ ) . في أحد المواضـع بدأ ببداية غير معتادة بما يشعر بأن لهذا الخبر شأنا آخر .	7	﴿#وَاسأَلهُم عَنِ القَريَـةِ# الَّتي كانَت حاضِـرَةَ البَحرِ إِذ يَعـدونَ فِي السَّبـتِ إِذ تَأتيـهِم حيتـانُـهُم  يَومَ  سَبتِهِم  شُرَّعًا وَيَـومَ  لا يَسبِتونَ لا تَأتـيهِم كَذلِكَ نَبلوهُم بِما كانوا يَفسُقونَ﴾ [الأعراف:163].	163
اذكر جزءا من آية يبين أن من تعلم العلم تقوم عليه بها حجة .	7	﴿فَخَلَفَ مِن بَعدِهِم خَلـفٌ وَرِثُوا الكِتـابَ يَأخُـذونَ عَـرَضَ هذَا الأَدنى وَيَقـولونَ سَيُغفَرُ لَنا وَإِن يَأتِهِـم عَرَضٌ مِثلُهُ يَأخُـذوهُ أَلَم يُؤخَذ عَلَيهِم ميثـاقُ الكِتابِ أَن لا يَقولوا عَلَى اللَّهِ إِلَّا الحَقَّ #وَدَرَسوا ما فيهِ# وَالدّارُ الآخِرَةُ خَيرٌ لِلَّذينَ يَتَّقونَ أَفَلا تَعقِلونَ﴾ [الأعراف:169].	169
كان من المتوقع أن يثني القرآن على النبي والصحابة في موضع ثناء لا يشوبه إظهار أي ضـعف لديهم ، ومع ذلك جاءت الآيات على غير المتوقع بما يشـعر انه تنزيل من حكيم عليم .	8	﴿كَما أَخرَجَـكَ رَبُّـكَ مِن بَيتِـكَ بِالحَـقِّ وَإِنَّ فَريـقًا مِنَ المُؤمِنينَ لَكارِهونَ﴾ [الأنفال:5] قال المبرد : تقديره الأنفال لله وللرسول وإن كرهوا ، كما أخرجك ربك من بيتك بالحق وإن كرهوا . وقيل : تقديره امض لأمر الله في الأنفال وإن كرهوا كما مضيت لأمر الله في الخروج من البيت لطلب العير وهم كارهون	5
الكُمل من المؤمنين يغضبون إذا انتهكت محارم الله . اذكر جزءا من آية يدل على هذا المعنى .	7	﴿وَلَمّا رَجَعَ موسى إِلى قَومِـهِ #غَضبانَ# أَسِفًا قالَ بِئسَما خَلَفتُموني مِن بَعدي أَعَجِلتُم أَمرَ رَبِّكُـم وَأَلقَى الأَلواحَ وَأَخَـذَ بِرَأسِ أَخيـهِ يَجُرُّهُ إِلَيـهِ قالَ ابـنَ أُمَّ إِنَّ القَـومَ استَضعَفوني وَكادوا يَقتُلونَني فَلا تُشمِت بِيَ الأَعداءَ وَلا تَجعَلني مَعَ القَومِ الظّالِمينَ﴾ [الأعراف:150].	150
بعض الناس إذا رأى أن اتباع الدين الحق لم يرفع عنه مصـائب الدنيا التي يعانيها فإنه يبدأ بالتشكيك من فائدة هذا الاتباع . اذكر آية تذكر هذا الخلل في التفكير .	7	﴿قالوا أوذينـا مِن قَبلِ أَن تَأتِيَنـا وَمِن بَعدِ ما جِئتَنـا قالَ عَسى رَبُّكُـم أَن يُهلِكَ عَدُوَّكُم وَيَستَخلِفَكُم فِي الأَرضِ فَيَنظُرَ كَيفَ تَعمَلونَ﴾  [الأعراف:129] قال بنو إسرائيل لموسى  متضجرين من طول ما مكثوا في عذاب فرعون، وأذيته: ﴿أُوذِينَا  مِنْ  قَبْلِ  أَنْ  تَأْتِيَنَا﴾ فإنهم يسوموننا سوء العذاب، يذبحون أبناءنا ويستحيون نساءنا ﴿وَمِنْ بَعْدِ مَا جِئْتَنَا﴾ كذلك بإعادة القتل علينا.  ومثله قول الله -تعالى- ﴿وَمِنَ النَّـاسِ مَن يَـعْبُدُ اللَّهَ عَلَىٰ حَـرْفٍ ۖ فَإِنْ أَصَـابَهُ  خَيْرٌ اطْمَـأَنَّ بِهِ ۖ وَإِنْ أَصَـابَتْهُ فِتْنَةٌ انقَلَبَ عَلَىٰ وَجْهِهِ خَسِرَ الدُّنْيَا وَالْآخِرَةَ ۚ ذَٰلِكَ هُوَ الْخُسْرَانُ الْمُبِينُ﴾ [العنكبوت:11].	129
إن أردت دعوة الناس إلى التمسك بأمر الله ، فعليك أن تكون من أهل العزم في العمل بأمر الله ، والجد والحرص دون تأخير ولا تـسـاهـل ولا انقطاع عنـد المشقة ولا ملل . اذكر كلمتين تشيران لهذا المعنى .	7	﴿وَكَتَبنـا لَـهُ فِي الأَلـواحِ مِن كُلِّ شَيءٍ مَوعِظَـةً وَتَفصيـلًا لِـكُلِّ شَيءٍ #فَخُذهـا بِقُوَّةٍ# وَأمُر قَومَـكَ يَأخُذوا بِأَحسَنِها سَأُريكُم دارَ الفاسِقينَ﴾ [الأعراف:145].	145
الداعي إلى الله يستفظع التراجع عن دعوته وإقرار الجاهليات على ما هي ؛ لأنه بذلك كأنه يثبت على نفسه تهمة أمام الناس أن ما كان يدعو إليه ما كان إلا تقولا على الله عز وجل ما لم يقله . فالذي يتجرأ أن يفعل ذلك مع الله فكيف يستأمنه الناس ؟ اذكر آية تدل على هذا المعنى .	7	﴿قَدِ افْتَرَيْنَا عَلَى اللَّهِ كَذِبًا إِنْ عُدْنَا فِي مِلَّتِكُم بَعْدَ إِذْ نَجَّانَا اللَّهُ مِنْهَا﴾ [الأعراف:89]. وهذا ما حكاه القرآن من قول شعيب عليه السلام لقومه. ومعنى كلام ابن عاشور في تفسيرها: إن عدنا في ملتكم فهذا يعني ان دعواي الرسالة واتباع المؤمنين لي على ذلك ودعوتهم للدين كان كلُّه افتراء. يدل على هذا المعنى قوله: ﴿قَدِ افْتَرَيْنَا﴾ بصيغة الماضي، وتقديمها على ﴿إِنْ﴾ الشرطية. بينما لو قصد بها المستقبل لكانت: إن عدنا في ملتكم فسنكون من المفترين. فالسير في طريق الدعوة إلى الله لا رجعة عنه. ومن تراجع عنه بتكذيب ما كان يقوله من قبل فسيسقط من عين الناس، لا من عين الله فحسب. 	89
يصـل الغرور والجهل ببعض الظالمين إلى الظن بأن الناس الذين تحت حكمه هم ملك له ، أجسادهم وأوقاتهم وأموالهم بل وحتى قلوبهم . اذكر آية تشير إلى هذا المعنى .	7	﴿قَالَ فِرْعَوْنُ #آمَنتُم بِهِ قَبْلَ أَنْ آذَنَ لَكُمْ# ۖ إِنَّ هَٰذَا لَمَكْرٌ مَّكَرْتُمُوهُ فِي الْمَدِينَةِ لِتُخْرِجُوا مِنْهَا أَهْلَهَا ۖ فَسَوْفَ تَعْلَمُونَ﴾ [الأعراف:123]. فالإيمان أصله إذعان في القلب لا علاقة له بالإِذن إلا من الله تعالى. وفرعون مع ذلك ينكر على السحرة أن آمنوا بموسى عليه السلام دون أن يستأذنوه! 	123
الداعي إلى الله رحيم بالناس يحـب لهم الهـدايـة ، لكنـه يشـتـد قلبه على المعاندين بقدر ما يبذل من جهد في إيصال دعوته ، لأنه يعلم يقينا أن عذرهم قد انقطع ، بل وأقيم عليهم من الحجة أكثر مما أقيم على غيرهم . اذكر خمس كلمات من آية فيها هذا المعنى .	7	﴿فَتَـوَلَّىٰ عَنْهـُمْ وَقَـالَ يَا قَوْمِ لَقَدْ أَبْلَغْتُكُمْ رِسَالَاتِ رَبِّي وَنَصَحْتُ لَكُمْ ۖ #فَكَيْفَ آسَىٰ عَلَىٰ قَوْمٍ كَافِرِينَ#﴾ [الأعراف:93] قال ابن كثير رحمه الله: (أي: فتولى عنهم " شعيب " عليه السلام بعد ما أصابهم ما أصابهم من العذاب والنقمة والنكال، وقال مقرعاً لهم وموبّخاً: ﴿يَا قَوْمِ لَقَدْ أَبْلَغْتُكُمْ رِسَالَاتِ رَبِّي وَنَصَحْتُ لَكُمْ﴾ أي: قد أديت إليكم ما أرسلت به، فلا أسفة عليكم وقد كفرتم بما جئتكم به، ولهذا قال: ﴿فَكَيْفَ آسَىٰ عَلَىٰ قَوْمٍ كَافِرِينَ﴾؟).	93
آية تشير إلى أن فهم كلام الله نعمة محروم منها من لا خير فيه .	8	﴿وَلَوْ عَـلِمَ اللَّهُ فِيهِمْ خَيْرًا لَّأَسْمَعَهُمْ ۖ وَلَوْ أَسْمَعَهُمْ لَتَوَلَّوا وَّهُم مُّعْرِضُونَ﴾ [الأنفال:23] وقد قال تعالى: ﴿وَإِذَا قَرَأْتَ الْقُرْآنَ جَعَلْنَا بَيْنَكَ وَبَيْنَ الَّذِينَ لَا يُؤْمِنُونَ بِالْآخِرَةِ حِجَابًا مَّسْتُورًا﴾ [الإسراء:45]	23
قال رسول الله ﷺ : ( لن يدخل أحدا عمله الجنة " . قالوا : ولا أنت يا رسـول الله ؟ قال : " لا ، ولا أنا ، إلا أن يتغمدني الله بفضـل ورحمة ، فسددوا وقاربوا ) والغمد هو الجراب الذي يحيط بالسيف . اذكر ثلاث كلمات من آية بمعنى هذا الحديث في وصف رحمة الله .	7	﴿قَالَ رَبِّ اغْفِرْ لِي وَلِأَخِي #وَأَدْخِلْنَا فِي رَحْمَتِكَ# ۖ وَأَنتَ أَرْحَمُ الرَّاحِمِينَ﴾ [الأعراف:151]. قال السعدي: ﴿وَأَدْخِلْنَا فِي رَحْمَتِكَ﴾ أي: في وسطها، واجعل رحمتك تحيط بنا من كل جانب، فإنها حصن حصين، من جميع الشرور.	151
 الخائف من ربه الخاضـع له هو الذي ينتفع بكلام ربه ويهتدي بما فيه . اذكر جزءاً من آية فيه هذا المعنى .	7	﴿وَلَمَّا سَكَتَ عَن مُّوسَى الْغَضَبُ أَخَذَ الْأَلْوَاحَ ۖ #وَفِي نُسْخَتِهَا هُدًى وَرَحْمَةٌ لِّلَّذِينَ هُمْ لِرَبِّهِمْ يَرْهَبُونَ#﴾ [الأعراف:154] قال السعدي: ولكن ليس كل أحد يقبل هدى اللّه ورحمته، وإنما يقبل ذلك وينقاد له ويتلقاه بالقـبول الذين ﴿هُمْ لِرَبِّهِمْ يَرْهَبُونَ﴾ أي: يخافون منه ويخشونه، وأما من لم يخف اللّه ولا المقام بين يديه، فإنه لا يزداد بها إلا عتوا ونفورا. وقال ابن كثير: ﴿لِّلَّذِينَ هُمْ لِرَبِّهِمْ يَرْهَبُونَ﴾ ضَمَّنَ الرَّهْبَةَ مَعْنَى الْخُضُوعِ؛ وَلِهَذَا عدَّاها بِاللَّامِ.	154
